"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GRIA4",0,2.68165652506972,0.703,0.17,0,"0","GRIA4"
"XKR4",0,1.96869918021553,0.746,0.237,0,"0","XKR4"
"RMST",0,2.10592019938598,0.856,0.348,0,"0","RMST"
"CELF4",0,2.37378909759516,0.718,0.225,0,"0","CELF4"
"SCN3A",0,1.98241544760535,0.71,0.223,0,"0","SCN3A"
"PPFIA2",0,1.80395930561992,0.84,0.354,0,"0","PPFIA2"
"TENM1",0,2.82720940227055,0.592,0.118,0,"0","TENM1"
"ENSG00000258162",0,2.16999993556899,0.667,0.203,0,"0","ENSG00000258162"
"RIMS1",0,2.00471393595906,0.702,0.24,0,"0","RIMS1"
"KLHL1",0,2.51307188390721,0.557,0.1,0,"0","KLHL1"
"DSCAM",0,1.86574630604958,0.668,0.216,0,"0","DSCAM"
"ANK3",0,2.04648426478829,0.912,0.46,0,"0","ANK3"
"GALNTL6",0,3.27844422854556,0.535,0.086,0,"0","GALNTL6"
"MIR325HG",0,1.68647341300672,0.802,0.353,0,"0","MIR325HG"
"RIMS2",0,1.86681324590602,0.813,0.364,0,"0","RIMS2"
"MYT1L",0,1.15394835579982,0.726,0.278,0,"0","MYT1L"
"CNTNAP5",0,2.47762052647698,0.56,0.114,0,"0","CNTNAP5"
"FGF14",0,2.34108985462413,0.629,0.183,0,"0","FGF14"
"GRIA2",0,1.38724451332718,0.79,0.347,0,"0","GRIA2"
"CTNNA2",0,1.66288631114654,0.88,0.438,0,"0","CTNNA2"
"CNTNAP2",0,2.05852562459032,0.878,0.439,0,"0","CNTNAP2"
"SYN3",0,2.14897601596819,0.564,0.125,0,"0","SYN3"
"NKAIN2",0,2.15734822564881,0.607,0.17,0,"0","NKAIN2"
"CDH18",0,2.90207861074412,0.565,0.131,0,"0","CDH18"
"NSG2",0,1.48519242704155,0.724,0.292,0,"0","NSG2"
"LINC01414",0,1.82957511351744,0.628,0.199,0,"0","LINC01414"
"LRFN5",0,1.94708703184201,0.608,0.181,0,"0","LRFN5"
"RAB3C",0,1.91761926136873,0.671,0.245,0,"0","RAB3C"
"SLC8A1",0,1.56420344377705,0.727,0.303,0,"0","SLC8A1"
"ADGRL3",0,1.8418472501941,0.925,0.506,0,"0","ADGRL3"
"NRG1",0,1.8827541440249,0.79,0.371,0,"0","NRG1"
"NALF1",0,1.94740640500468,0.888,0.471,0,"0","NALF1"
"MDGA2",0,2.05047604771585,0.644,0.229,0,"0","MDGA2"
"LINGO2",0,1.88964461243419,0.6,0.188,0,"0","LINGO2"
"KCND2",0,2.23250707366058,0.591,0.182,0,"0","KCND2"
"CNTN1",0,2.04070147684661,0.573,0.167,0,"0","CNTN1"
"SCN2A",0,1.83141002665596,0.578,0.173,0,"0","SCN2A"
"TENM2",0,1.93344748233368,0.835,0.43,0,"0","TENM2"
"CCSER1",0,1.22924369438642,0.85,0.447,0,"0","CCSER1"
"SEZ6L2",0,1.54746817625588,0.734,0.332,0,"0","SEZ6L2"
"RUNX1T1",0,1.67097629573692,0.724,0.324,0,"0","RUNX1T1"
"DCC",0,1.55187027850582,0.768,0.374,0,"0","DCC"
"RUNDC3B",0,1.9309017509288,0.553,0.16,0,"0","RUNDC3B"
"MGAT4C",0,2.49443890920947,0.548,0.158,0,"0","MGAT4C"
"STMN2",0,1.48318692172815,0.918,0.531,0,"0","STMN2"
"LRRTM4",0,1.80720292379728,0.634,0.252,0,"0","LRRTM4"
"CSMD1",0,1.94616813482965,0.612,0.235,0,"0","CSMD1"
"NRXN1",0,1.54201097883779,0.948,0.572,0,"0","NRXN1"
"PBX3",0,2.07577175951241,0.88,0.504,0,"0","PBX3"
"GRIN2B",0,1.54267654844531,0.576,0.2,0,"0","GRIN2B"
"TRPM3",0,1.91166347105465,0.545,0.17,0,"0","TRPM3"
"DPP10",0,2.84285549976166,0.54,0.167,0,"0","DPP10"
"CSMD3",0,1.67488135449215,0.713,0.341,0,"0","CSMD3"
"RALYL",0,2.34887093954007,0.559,0.188,0,"0","RALYL"
"INA",0,1.30287148394273,0.679,0.308,0,"0","INA"
"LHFPL3",0,2.50228471099618,0.504,0.134,0,"0","LHFPL3"
"KHDRBS2",0,1.93489339156642,0.633,0.266,0,"0","KHDRBS2"
"GRIK2",0,1.97986747185352,0.565,0.199,0,"0","GRIK2"
"EPHA6",0,2.4156812767466,0.483,0.119,0,"0","EPHA6"
"GABRB3",0,1.47150412132561,0.66,0.298,0,"0","GABRB3"
"DNM3",0,1.64807014017546,0.688,0.326,0,"0","DNM3"
"SORBS2",0,1.4352183321653,0.798,0.439,0,"0","SORBS2"
"RTN1",0,1.54608922507093,0.791,0.433,0,"0","RTN1"
"LUZP2",0,3.30249891193256,0.439,0.082,0,"0","LUZP2"
"EBF1",0,2.05628277603555,0.504,0.148,0,"0","EBF1"
"ERC2",0,1.41959511519125,0.679,0.324,0,"0","ERC2"
"EDIL3",0,1.95843686572203,0.604,0.25,0,"0","EDIL3"
"KCNB2",0,1.87174141959624,0.522,0.168,0,"0","KCNB2"
"TFAP2B",0,2.53372109677036,0.425,0.077,0,"0","TFAP2B"
"TSHZ2",0,2.57498684072409,0.519,0.175,0,"0","TSHZ2"
"NEGR1",0,2.09186606622544,0.819,0.475,0,"0","NEGR1"
"ELAVL2",0,1.52149121886005,0.68,0.337,0,"0","ELAVL2"
"IL1RAPL1",0,2.16271687041414,0.585,0.242,0,"0","IL1RAPL1"
"GREB1L",0,0.907993556343898,0.756,0.414,0,"0","GREB1L"
"TMEFF2",0,1.80891585322871,0.473,0.135,0,"0","TMEFF2"
"CELF5",0,1.36033116602209,0.592,0.254,0,"0","CELF5"
"RBMS3",0,2.07336916937444,0.566,0.23,0,"0","RBMS3"
"LINC02223",0,3.19796972417231,0.368,0.035,0,"0","LINC02223"
"ERBB4",0,1.58476129963435,0.757,0.426,0,"0","ERBB4"
"ZNF804B",0,3.25821972541516,0.375,0.047,0,"0","ZNF804B"
"CNTN5",0,2.18210671703136,0.434,0.111,0,"0","CNTN5"
"ELAVL4",0,1.23967349376787,0.595,0.272,0,"0","ELAVL4"
"GALNT13",0,1.98261188268232,0.55,0.228,0,"0","GALNT13"
"THSD7A",0,1.25155003500473,0.691,0.369,0,"0","THSD7A"
"TMEM163",0,1.94420102645198,0.473,0.153,0,"0","TMEM163"
"NXPH1",0,2.96189929099871,0.363,0.045,0,"0","NXPH1"
"CACNA1C",0,1.5092612343247,0.555,0.239,0,"0","CACNA1C"
"ENSG00000288105",0,3.24949669568239,0.392,0.076,0,"0","ENSG00000288105"
"RGS17",0,1.74230266398941,0.584,0.27,0,"0","RGS17"
"PRKAR2B",0,1.40515140425021,0.638,0.325,0,"0","PRKAR2B"
"SRRM4",0,1.37145653956437,0.552,0.24,0,"0","SRRM4"
"SCN3B",0,1.59065646142259,0.499,0.187,0,"0","SCN3B"
"ZFHX3",0,2.60389755091891,0.673,0.362,0,"0","ZFHX3"
"CSRNP3",0,1.27347290498769,0.769,0.458,0,"0","CSRNP3"
"SGIP1",0,1.59780663986537,0.51,0.2,0,"0","SGIP1"
"BRINP1",0,2.6458308226432,0.382,0.072,0,"0","BRINP1"
"UNC79",0,1.24944962331972,0.575,0.265,0,"0","UNC79"
"ENSG00000286863",0,2.16139514766965,0.462,0.153,0,"0","ENSG00000286863"
"FGF12",0,1.77129899243346,0.467,0.158,0,"0","FGF12"
"POU2F2",0,2.12486162775232,0.459,0.15,0,"0","POU2F2"
"DCX",0,0.953164172687228,0.837,0.528,0,"0","DCX"
"NSG1",0,1.15645770827333,0.685,0.378,0,"0","NSG1"
"FGF13",0,1.33495295823842,0.749,0.442,0,"0","FGF13"
"PGM2L1",0,1.34021311132235,0.585,0.279,0,"0","PGM2L1"
"ASXL3",0,1.25372612859679,0.667,0.362,0,"0","ASXL3"
"UBE2E2",0,1.49199552311646,0.641,0.337,0,"0","UBE2E2"
"PTPRD",0,1.8164627288245,0.91,0.607,0,"0","PTPRD"
"MAPT",0,1.21411585773139,0.751,0.45,0,"0","MAPT"
"STXBP5L",0,1.63883794812934,0.52,0.221,0,"0","STXBP5L"
"SYT4",0,1.54538291761195,0.488,0.19,0,"0","SYT4"
"EPB41L1",0,1.57989600672701,0.479,0.181,0,"0","EPB41L1"
"LY6H",0,1.30504697859426,0.57,0.274,0,"0","LY6H"
"ATP8A1",0,1.56541165967832,0.52,0.225,0,"0","ATP8A1"
"CXADR",0,1.35985150852754,0.717,0.422,0,"0","CXADR"
"DANT2",0,1.64235805518401,0.584,0.289,0,"0","DANT2"
"UNCX",0,2.80733500578697,0.329,0.035,0,"0","UNCX"
"NEFL",0,1.27324430439746,0.453,0.159,0,"0","NEFL"
"GLRA2",0,2.24282645662613,0.385,0.091,0,"0","GLRA2"
"SYT14",0,1.29400995369093,0.585,0.291,0,"0","SYT14"
"KCNIP4",0,2.18224444362084,0.497,0.203,0,"0","KCNIP4"
"LINC03051",0,1.53603131821781,0.527,0.235,0,"0","LINC03051"
"PTPRO",0,1.05599933290011,0.572,0.28,0,"0","PTPRO"
"PCDH7",0,1.78561028441878,0.55,0.262,0,"0","PCDH7"
"UNC5D",0,2.40943988419515,0.389,0.102,0,"0","UNC5D"
"SORCS3",0,2.22347246494369,0.353,0.066,0,"0","SORCS3"
"PLPPR1",0,1.09760287918042,0.513,0.227,0,"0","PLPPR1"
"FRMD5",0,1.11818622151416,0.706,0.42,0,"0","FRMD5"
"SPINT2",0,1.34261189174838,0.471,0.185,0,"0","SPINT2"
"ATP1A3",0,1.34558782593871,0.554,0.269,0,"0","ATP1A3"
"TENM3-AS1",0,3.32177883835922,0.337,0.053,0,"0","TENM3-AS1"
"NYAP2",0,1.4099619349242,0.435,0.152,0,"0","NYAP2"
"HECW1",0,0.724502610078558,0.538,0.255,0,"0","HECW1"
"TNIK",0,0.889804714278021,0.702,0.419,0,"0","TNIK"
"HS3ST5",0,2.7043902850889,0.347,0.064,0,"0","HS3ST5"
"CD24",0,1.03223159299657,0.768,0.486,0,"0","CD24"
"NRG3",0,1.49859824158204,0.913,0.631,0,"0","NRG3"
"ZNF521",0,1.91748956217594,0.54,0.258,0,"0","ZNF521"
"LRRC7",0,0.685504392167166,0.744,0.462,0,"0","LRRC7"
"FSTL5",0,1.95938865916688,0.514,0.233,0,"0","FSTL5"
"NRXN3",0,1.01648065950968,0.55,0.27,0,"0","NRXN3"
"CPEB3",0,1.52799268012975,0.482,0.202,0,"0","CPEB3"
