"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.134707858908206,0.348,0.69,0,0,"DDX46"
0,0.114180529724953,0.252,0.57,0,0,"ZFR"
0,0.226010206739903,0.316,0.633,0,0,"SF3B1"
0,0.158889160548238,0.302,0.617,0,0,"ZNF644"
0,0.140182394062186,0.302,0.614,0,0,"GPBP1"
0,0.150566604559119,0.275,0.583,0,0,"LUC7L2"
0,0.287868142599329,0.241,0.546,0,0,"NCKAP1"
0,0.193690769325776,0.336,0.64,0,0,"SYT11"
0,0.419151219862581,0.266,0.568,0,0,"PPP2R1A"
0,0.313626625825954,0.23,0.527,0,0,"NSD2"
0,0.177182157630406,0.237,0.529,0,0,"NDUFA10"
0,0.110365277894892,0.24,0.531,0,0,"COMMD1"
0,0.206928468257833,0.264,0.555,0,0,"CUL3"
0,0.19270632814698,0.222,0.509,0,0,"PHF3"
0,0.201805620873369,0.257,0.541,0,0,"RPL7L1"
0,0.124563265329662,0.244,0.528,0,0,"MED4"
0,0.167702197650103,0.199,0.481,0,0,"PSMD2"
0,0.158643443723057,0.243,0.522,0,0,"UBA2"
0,0.191986424128006,0.24,0.517,0,0,"MARCHF7"
0,0.252875524342025,0.237,0.511,0,0,"ZFAND5"
0,0.199914946949028,0.179,0.448,0,0,"MAPRE1"
0,0.363095550974892,0.162,0.43,0,0,"LRP1"
0,0.109914469841462,0.219,0.483,0,0,"RAB3GAP2"
0,0.160344267306222,0.213,0.476,0,0,"NME7"
0,0.287327772530383,0.198,0.45,0,0,"MED13"
0,0.112986062288361,0.185,0.436,0,0,"PSME3IP1"
0,0.387095890050352,0.176,0.426,0,0,"ATP2A2"
0,0.22728328516248,0.181,0.425,0,0,"MAPKAP1"
0,0.337427679665501,0.181,0.425,0,0,"SACS"
0,0.18699869112931,0.138,0.38,0,0,"TRIM37"
0,0.136131197379909,0.15,0.383,0,0,"RAP1A"
0,5.15240622866703,0.125,0.014,0,0,"DLX6-AS1"
0,3.54130938049404,0.095,0.011,0,0,"DLX5"
1.84095517126244e-307,0.118973631520762,0.186,0.431,7.10719153417579e-303,0,"TRIM28"
1.27333228062236e-303,0.280854982312589,0.238,0.509,4.915826602636e-299,0,"CDK13"
7.74762018904809e-302,0.114726981362682,0.273,0.565,2.99104625018375e-297,0,"MRPL21"
4.28407677150939e-300,0.142001208100851,0.19,0.435,1.65391067846866e-295,0,"SFXN1"
1.58343792998098e-299,0.140539966777338,0.217,0.48,6.11302047240336e-295,0,"PPP2R2A"
1.18511296994984e-298,0.21740677888945,0.204,0.458,4.57524713178859e-294,0,"ATG12"
1.24120565796076e-297,0.119863685551439,0.152,0.375,4.79179856312357e-293,0,"HNRNPH2"
7.84260714702506e-297,0.286021613226578,0.248,0.525,3.02771691518065e-292,0,"ZNF207"
1.55543479965439e-296,0.216036131142353,0.172,0.406,6.00491158754575e-292,0,"IMMT"
1.56290922049083e-296,0.185339653804408,0.291,0.585,6.03376733662692e-292,0,"DDX6"
5.20503651428919e-296,0.302091870845974,0.226,0.491,2.00945639670649e-291,0,"RNPS1"
1.01330827187541e-295,0.17282721242582,0.27,0.559,3.91197791440219e-291,0,"IK"
1.53684189568595e-295,0.15292793086007,0.226,0.488,5.93313182248518e-291,0,"EEF1E1"
1.55467617102497e-295,0.119469521471164,0.354,0.688,6.001982825859e-291,0,"TXNL1"
2.81355625861906e-295,0.166889240138793,0.206,0.457,1.08620152920247e-290,0,"PTP4A2"
1.32185969522873e-293,0.14999960311714,0.3,0.596,5.10317153940002e-289,0,"PIBF1"
3.50733746664112e-293,0.206838625625714,0.265,0.548,1.35404270237147e-288,0,"EPRS1"
5.75162116917546e-293,0.344843631404252,0.174,0.408,2.22047086857188e-288,0,"HIF1A"
4.21416570714697e-291,0.151760316967279,0.317,0.626,1.62692081290116e-286,0,"NDUFV3"
4.14626946348924e-290,0.119560759043265,0.16,0.383,1.60070878907466e-285,0,"MED27"
5.94436663290596e-290,0.154811000427777,0.159,0.383,2.29488218229968e-285,0,"SKIC8"
7.7351795671347e-289,0.261314109882868,0.341,0.658,2.98624342368802e-284,0,"UBE2V2"
6.03371437543155e-288,0.142509223024578,0.411,0.759,2.3293757717791e-283,0,"SRSF11"
3.47789927574137e-287,0.241947549707274,0.347,0.669,1.34267779439272e-282,0,"EIF3M"
