"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"query_1",TRUE,0.0182656554224358,143,91,6,0.0659340659340659,0.041958041958042,"GO:0071456","GO:BP","cellular response to hypoxia",21017,16690,"IDA,IMP IGI IEA,IDA IMP,IMP,IBA,IDA","CHCHD2,BNIP3,VEGFA,PDK1,EGLN3,PGK1"
"query_1",TRUE,0.0182656554224358,302,91,8,0.0879120879120879,0.0264900662251656,"GO:0001666","GO:BP","response to hypoxia",21017,377,"IDA,IEA,IMP IGI ISS IEA,IDA IBA IEA,IDA IMP IBA,IMP,IEP IBA,IDA","CHCHD2,COMT,BNIP3,DDIT4,VEGFA,PDK1,EGLN3,PGK1"
"query_1",TRUE,0.0182656554224358,933,91,14,0.153846153846154,0.015005359056806,"GO:0006082","GO:BP","organic acid metabolic process",21017,1947,"IEA,IEA,ISS IBA TAS IEA,IDA IBA TAS IEA,IDA,TAS IEA,IMP ISS IEA,IDA,IEA,IEA,IEA,IMP IBA TAS IEA,IBA IEA,TAS","COMT,DDIT4,ENO2,GAD1,MIF,PDK1,MTLN,EGLN3,FABP5,CTPS2,PM20D1,PGK1,GAPDH,SLC2A3"
"query_1",TRUE,0.0182656554224358,927,91,14,0.153846153846154,0.0151024811218986,"GO:0043436","GO:BP","oxoacid metabolic process",21017,10693,"IEA,IEA,ISS IBA TAS IEA,IDA IBA TAS IEA,IDA,TAS IEA,IMP ISS IEA,IDA,IEA,IEA,IEA,IMP IBA TAS IEA,IBA IEA,TAS","COMT,DDIT4,ENO2,GAD1,MIF,PDK1,MTLN,EGLN3,FABP5,CTPS2,PM20D1,PGK1,GAPDH,SLC2A3"
"query_1",TRUE,0.0182656554224358,905,91,14,0.153846153846154,0.0154696132596685,"GO:0019752","GO:BP","carboxylic acid metabolic process",21017,6036,"IEA,IEA,ISS IBA TAS IEA,IDA IBA TAS IEA,IDA,TAS IEA,IMP ISS IEA,IDA,IEA,IEA,IEA,IMP IBA TAS IEA,IBA IEA,TAS","COMT,DDIT4,ENO2,GAD1,MIF,PDK1,MTLN,EGLN3,FABP5,CTPS2,PM20D1,PGK1,GAPDH,SLC2A3"
"query_1",TRUE,0.0182656554224358,150,91,6,0.0659340659340659,0.04,"GO:0036294","GO:BP","cellular response to decreased oxygen levels",21017,9545,"IDA,IMP IGI IEA,IDA IMP,IMP,IBA,IDA","CHCHD2,BNIP3,VEGFA,PDK1,EGLN3,PGK1"
"query_1",TRUE,0.0215077304624268,316,91,8,0.0879120879120879,0.0253164556962025,"GO:0036293","GO:BP","response to decreased oxygen levels",21017,9544,"IDA,IEA,IMP IGI ISS IEA,IDA IBA IEA,IDA IMP IBA,IMP,IEP IBA,IDA","CHCHD2,COMT,BNIP3,DDIT4,VEGFA,PDK1,EGLN3,PGK1"
"query_1",TRUE,0.0219574715445592,167,91,6,0.0659340659340659,0.0359281437125748,"GO:0071453","GO:BP","cellular response to oxygen levels",21017,16687,"IDA,IMP IGI IEA,IDA IMP,IMP,IBA,IDA","CHCHD2,BNIP3,VEGFA,PDK1,EGLN3,PGK1"
"query_1",TRUE,0.0219574715445592,633,91,11,0.120879120879121,0.0173775671406003,"GO:0032787","GO:BP","monocarboxylic acid metabolic process",21017,7822,"IEA,IEA,ISS IBA TAS IEA,IDA IBA IEA,IDA,TAS IEA,IMP ISS IEA,IEA,IEA,IMP IBA TAS IEA,IBA IEA","COMT,DDIT4,ENO2,GAD1,MIF,PDK1,MTLN,FABP5,PM20D1,PGK1,GAPDH"
"query_1",TRUE,0.0251438019781513,255,91,7,0.0769230769230769,0.0274509803921569,"GO:0009199","GO:BP","ribonucleoside triphosphate metabolic process",21017,3365,"IEA,ISS IBA TAS IEA,IDA,IBA IEA,IMP IBA TAS IEA,IBA IEA,NAS","DDIT4,ENO2,HSPA1A,CTPS2,PGK1,GAPDH,MT-ND3"
"query_1",TRUE,0.0251438019781513,345,91,8,0.0879120879120879,0.0231884057971014,"GO:0070482","GO:BP","response to oxygen levels",21017,16143,"IDA,IEA,IMP IGI ISS IEA,IDA IBA IEA,IDA IMP IBA,IMP,IEP IBA,IDA","CHCHD2,COMT,BNIP3,DDIT4,VEGFA,PDK1,EGLN3,PGK1"
"query_1",TRUE,0.0268063743499536,271,91,7,0.0769230769230769,0.025830258302583,"GO:0009141","GO:BP","nucleoside triphosphate metabolic process",21017,3308,"IEA,ISS IBA TAS IEA,IDA,IBA IEA,IMP IBA TAS IEA,IBA IEA,NAS","DDIT4,ENO2,HSPA1A,CTPS2,PGK1,GAPDH,MT-ND3"
"query_1",TRUE,0.0268063743499536,5,91,2,0.021978021978022,0.4,"GO:0070370","GO:BP","cellular heat acclimation",21017,16081,"IMP,IDA","HSPA1A,RBBP7"
"query_1",TRUE,0.0268063743499536,120,91,5,0.0549450549450549,0.0416666666666667,"GO:0006090","GO:BP","pyruvate metabolic process",21017,1953,"IEA,ISS IBA TAS IEA,TAS IEA,IMP IBA TAS IEA,IBA IEA","DDIT4,ENO2,PDK1,PGK1,GAPDH"
"query_1",TRUE,0.0268063743499536,5,91,2,0.021978021978022,0.4,"GO:0010286","GO:BP","heat acclimation",21017,4046,"IMP,IDA","HSPA1A,RBBP7"
"query_1",TRUE,0.0492371623034917,509,91,9,0.0989010989010989,0.0176817288801572,"GO:0006091","GO:BP","generation of precursor metabolites and energy",21017,1954,"IDA IGI,IEA,IEA,IEA,ISS IBA TAS IEA,ISS IEA,IMP IBA TAS IEA,IBA IEA,IMP NAS IEA","CHCHD2,COMT,BNIP3,DDIT4,ENO2,MTLN,PGK1,GAPDH,MT-ND3"
"query_1",TRUE,0.0200454580241298,2236,93,22,0.236559139784946,0.00983899821109123,"GO:0030054","GO:CC","cell junction",22115,846,"IEA,IEA,IBA,IBA,IEA,IBA IEA,IDA,ISS IEA,IEA,IDA IMP IEA,IDA IBA,IBA IEA,HDA,ISS IEA,IEA,HDA,ISS IBA TAS NAS IEA,IEA,ISS NAS,IDA IEA,IEA,HDA IEA","CACNA1B,COMT,CDH4,POTEF,BNIP3,GAD1,VEGFA,C22orf39,PCDHB2,CALY,PTPRR,PDZRN3,PI4KA,FABP5,CADM2,HSPA1A,GRIN2B,ELAVL4,SPOCK1,SLC35F1,GRK3,RPS4X"
"query_1",TRUE,0.0200454580241298,1475,93,17,0.182795698924731,0.0115254237288136,"GO:0045202","GO:CC","synapse",22115,2106,"IEA,IEA,IBA,IEA,IBA IEA,ISS IEA,IEA,IDA IMP IEA,IBA IEA,ISS IEA,IEA,ISS IBA TAS NAS IEA,IEA,ISS NAS,IDA IEA,IEA,IEA","CACNA1B,COMT,POTEF,BNIP3,GAD1,C22orf39,PCDHB2,CALY,PDZRN3,FABP5,CADM2,GRIN2B,ELAVL4,SPOCK1,SLC35F1,GRK3,RPS4X"
"query_1",TRUE,0.045534260156251,21,90,3,0.0333333333333333,0.142857142857143,"GO:0031418","GO:MF","L-ascorbic acid binding",20196,3889,"IEA,IEA,IEA","P4HA1,EGLN3,PAM"
"query_1",TRUE,0.000244132831171695,37,19,5,0.263157894736842,0.135135135135135,"HP:0000778","HP","Hypoplasia of the thymus",5080,607,"HP,HP,HP,HP,HP","COMT,NEK9,PI4KA,UFD1,GP1BB"
"query_1",TRUE,0.000265851351515434,43,19,5,0.263157894736842,0.116279069767442,"HP:0010515","HP","Aplasia/Hypoplasia of the thymus",5080,6943,"HP,HP,HP,HP,HP","COMT,NEK9,PI4KA,UFD1,GP1BB"
"query_1",TRUE,0.000814904504786877,58,19,5,0.263157894736842,0.0862068965517241,"HP:0000777","HP","Abnormal thymus morphology",5080,606,"HP,HP,HP,HP,HP","COMT,NEK9,PI4KA,UFD1,GP1BB"
"query_1",TRUE,0.00171656947604413,32,19,4,0.210526315789474,0.125,"HP:0005435","HP","Impaired T cell function",5080,3669,"HP,HP,HP,HP","COMT,UFD1,ESS2,GP1BB"
"query_1",TRUE,0.00232390160311188,12,19,3,0.157894736842105,0.25,"HP:0011662","HP","Tricuspid atresia",5080,8034,"HP,HP,HP","COMT,UFD1,GP1BB"
"query_1",TRUE,0.00232390160311188,12,19,3,0.157894736842105,0.25,"HP:0011324","HP","Multiple suture craniosynostosis",5080,7703,"HP,HP,HP","COMT,UFD1,GP1BB"
"query_1",TRUE,0.00359902771508475,44,19,4,0.210526315789474,0.0909090909090909,"HP:0000829","HP","Hypoparathyroidism",5080,644,"HP,HP,HP,HP","COMT,UFD1,ESS2,GP1BB"
"query_1",TRUE,0.00532386131611154,17,19,3,0.157894736842105,0.176470588235294,"HP:0002691","HP","Platybasia",5080,1946,"HP,HP,HP","COMT,UFD1,GP1BB"
"query_1",TRUE,0.00661306796895139,57,19,4,0.210526315789474,0.0701754385964912,"HP:0012841","HP","Retinal vascular tortuosity",5080,9196,"HP,HP,HP,HP","COMT,UFD1,ESS2,GP1BB"
"query_1",TRUE,0.00661306796895139,22,19,3,0.157894736842105,0.136363636363636,"HP:0001281","HP","Tetany",5080,970,"HP,HP,HP","COMT,UFD1,GP1BB"
