"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"query_1",TRUE,1.79217219238944e-61,74,135,54,0.4,0.72972972972973,"CORUM:306","CORUM","Ribosome, cytoplasmic",3383,183,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","RPS21,RPL31,RPS17,RPS8,RPL4,RPL23,RPS27,RPL29,RPL24,RPL6,RPS19,RPL36A,RPS23,RPS3,RPL27A,RPL5,RPS25,RPL37A,RPL11,RPS15,RPS6,RPS11,RPS9,RPS7,RPL37,RPS28,RPL26,RPL7A,RPL18A,RPS20,RPL34,RPL28,RPL13A,RPL3,RPS13,RPL21,RPL17,RPS15A,RPL35,RPL9,RPL41,RPS10,RPLP2,RPL30,RPL38,RPS3A,RPL22,RPL36,RPLP0,RPS29,RPS5,RPS14,RPL39,RPL23A"
"query_1",TRUE,3.07692761205519e-40,93,135,46,0.340740740740741,0.494623655913978,"CORUM:3055","CORUM","Nop56p-associated pre-rRNA complex",3383,1362,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","RPL31,RPS17,NAP1L1,RPS8,RPL4,RPL23,RPL29,RPL24,RPL6,RPL36A,RPS23,IGF2BP1,RPL27A,RPL5,RPL37A,RPL11,RPS15,RPS6,RPS11,RPS9,RPS7,RPL26,RPL7A,RPL18A,RPL28,RPL13A,RPL3,RPS13,RPL21,RPL17,RPS15A,RPL35,RPL9,RPLP2,RPL30,RPS3A,EEF1A1,RPL22,RPL36,TUBA1A,RPLP0,RPS29,NPM1,RPS14,RPL39,RPL23A"
"query_1",TRUE,1.32772728465826e-35,43,135,32,0.237037037037037,0.744186046511628,"CORUM:308","CORUM","60S ribosomal subunit, cytoplasmic",3383,184,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","RPL31,RPL4,RPL23,RPL29,RPL24,RPL6,RPL36A,RPL27A,RPL5,RPL37A,RPL11,RPL37,RPL26,RPL7A,RPL18A,RPL34,RPL28,RPL13A,RPL3,RPL21,RPL17,RPL35,RPL9,RPL41,RPLP2,RPL30,RPL38,RPL22,RPL36,RPLP0,RPL39,RPL23A"
"query_1",TRUE,2.92280239563679e-23,31,135,22,0.162962962962963,0.709677419354839,"CORUM:305","CORUM","40S ribosomal subunit, cytoplasmic",3383,182,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","RPS21,RPS17,RPS8,RPS27,RPS19,RPS23,RPS3,RPS25,RPS15,RPS6,RPS11,RPS9,RPS7,RPS28,RPS20,RPS13,RPS15A,RPS10,RPS3A,RPS29,RPS5,RPS14"
"query_1",TRUE,1.51440460643704e-22,29,135,21,0.155555555555556,0.724137931034483,"CORUM:338","CORUM","40S ribosomal subunit, cytoplasmic",3383,199,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","RPS21,RPS17,RPS8,RPS19,RPS23,RPS3,RPS25,RPS15,RPS6,RPS11,RPS9,RPS7,RPS28,RPS20,RPS13,RPS15A,RPS10,RPS3A,RPS29,RPS5,RPS14"
"query_1",TRUE,7.9117489105292e-08,21,135,10,0.0740740740740741,0.476190476190476,"CORUM:5380","CORUM","TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)",3383,1658,"CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM,CORUM","RPL37A,RPL11,RPL7A,RPL18A,RPL34,RPL28,RPL21,RPLP2,RPL30,RPL36"
"query_1",TRUE,0.00355065426166911,13,135,5,0.037037037037037,0.384615384615385,"CORUM:5266","CORUM","TNF-alpha/NF-kappa B signaling complex 6",3383,1618,"CORUM,CORUM,CORUM,CORUM,CORUM","RPL4,RPL6,RPS11,RPS13,RPL30"
"query_1",TRUE,0.00772990659910993,4,135,3,0.0222222222222222,0.75,"CORUM:6806","CORUM","IGF1R-CXCR4-GNAI2-GNB1 complex",3383,2386,"CORUM,CORUM,CORUM","GNAI2,IGF1R,CXCR4"
"query_1",TRUE,0.00772990659910993,9,135,4,0.0296296296296296,0.444444444444444,"CORUM:6838","CORUM","IGF2BP1 complex",3383,2408,"CORUM,CORUM,CORUM,CORUM","IGF2BP1,RPS6,RPL26,STAU1"
"query_1",TRUE,0.0420576112552186,2,135,2,0.0148148148148148,1,"CORUM:180","CORUM","PNUTS-PP1 complex",3383,91,"CORUM,CORUM","PPP1R10,PPP1CA"
"query_1",TRUE,7.37755297063715e-64,160,432,65,0.150462962962963,0.40625,"GO:0002181","GO:BP","cytoplasmic translation",21017,729,"IDA NAS IC,IDA IBA NAS IC,NAS IC,NAS IC,NAS IC,NAS IC,NAS IC,IC,IBA NAS IC,IDA IBA NAS IC,IDA IBA NAS IC,NAS IC,NAS IC,IDA IC,IDA NAS IC,NAS IC,IBA NAS IC,IDA,NAS IC,NAS IC,NAS IC,NAS IC,IDA NAS IC,NAS IC,IDA NAS IC,NAS IC,NAS IC,NAS IEA,IDA,NAS IC,NAS IC,IDA NAS IC,IBA IC,NAS IC,IDA NAS IC,NAS IC,NAS IC,NAS IC,NAS IC,IDA NAS IC,IC,NAS IC,NAS IC,IBA NAS IC,NAS IC,NAS IC,IBA NAS IC,IMP IBA,IDA NAS,NAS IEA,NAS IC,NAS IEA,NAS IC,IDA NAS IC,NAS,IDA NAS IC,NAS IC,IBA IC,IDA IBA NAS IC,IBA NAS IC,IDA NAS IC,NAS IC,IMP NAS IC,IDA IC IEA,NAS IC","RPS21,RPL31,RPS17,RPL12,RPS8,RPL4,RPL23,RPS27,RPL29,RPL24,RPL6,RPS19,RPS12,RPL36A,RPS23,RPS3,RPL35A,IGF2BP1,RPL27A,RPL5,RPS25,RPL37A,RPL11,RPS15,RPS6,RPS11,RPS9,EIF3E,PABPC1,RPS7,RPL37,RPS28,RPL26,RPL7A,RPL18A,RPS20,RPL7,RPL34,RPL28,RPL13A,RPL3,RPS13,RPL21,RPL17,RPS15A,RPL35,RPL9,EIF2S2,RPL41,EIF3K,RPS10,RPLP2,RPS2,RPL30,RACK1,RPL38,RPS3A,RPL22,RPL36,RPLP0,RPS29,RPS5,RPS14,RPL39,RPL23A"
