"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"query_1",TRUE,0.0232426263225544,2,47,2,0.0425531914893617,1,"CORUM:7344","CORUM","NLGN1-NRXN1 complex",3383,2782,"CORUM,CORUM","NLGN1,NRXN1"
"query_1",TRUE,0.0235976962576508,11,47,3,0.0638297872340425,0.272727272727273,"CORUM:725","CORUM","P2X7 receptor signalling complex",3383,395,"CORUM,CORUM,CORUM","SVIL,PI4KA,HSPA1A"
"query_1",TRUE,1.53222594350927e-11,6478,270,145,0.537037037037037,0.0223834516826181,"GO:0032502","GO:BP","developmental process",21017,7612,"IBA IEA,IMP ISS TAS IEA,IEA,ISS IEA,ISS IEA,IEA,IDA IMP IGI ISS IBA TAS NAS IEA,IEA,IMP ISS IBA IEA,ISS IEA,IEP IEA,IDA ISS IBA IEA,IDA IMP,IMP IGI,IDA IMP ISS TAS IEA,IMP,IEA,HDA ISO IEA,IDA IMP IEA,IMP TAS IEA,ISS IEA,IBA,IMP IGI IBA IEA,ISS IEA,IEA,IMP,TAS,IEA,NAS,IBA IEA,IDA,ISS,IEP NAS IEA,IMP IBA IEA,IMP IBA IEA,ISS IEA,IEA,IEA,NAS IEA,IDA IMP ISS IBA TAS IEA,IBA,TAS,ISS IEA,IBA IEA,IMP,ISS IBA IEA,TAS,ISS,IEA,IDA IMP IEP ISS IBA IEA,IBA IEA,IEA,IDA IMP IEA,ISS IEA,IBA TAS,IEA,ISS IEA,ISS IEA,ISS IEA,IEA,IEA,IEA,IBA IEA,IEA,IEA,IMP IEP ISS,IEA,IGI ISS TAS NAS IEA,IEP ISS,IEA,IBA IEA,IDA IEA,ISO NAS,IBA IEA,IEA,ISS IEA,IEA,IEA,ISS IEA,IMP IBA,IEA,ISS,IEP,IDA TAS,IMP IEA,IMP IEA,ISS IEA,IEA,TAS,IMP IGI IBA,IMP,IDA IEA,IEA,IBA,IDA IEA,IEA,IEA,IMP IEP IEA,IDA IMP ISS IBA TAS IEA,IEP TAS IEA,ISS,IBA IEA,TAS,IEA,TAS IEA,TAS IEA,IBA IEA,TAS,IEA,IMP IEA,HEP IEA,ISS IBA TAS IEA,IBA IEA,IEP,ISS IBA IEA,IEA,IMP,IEP ISS,IMP ISS IBA NAS IEA,IEA,NAS IEA,TAS,IMP TAS,IMP,ISS IBA NAS IEA,IMP ISS IEA,ISS IBA IEA,ISS,IEP IBA,ISS IBA IEA,IDA IMP IGI ISS IBA TAS IEA,IEA,ISS IBA,IEP IEA,IDA IEA,ISS IEA,ISS IBA IEA,IEA,IEA,ISS IEA,IMP ISS IBA IEA,IEA,IEA,ISS,ISS IEA","COMT,HDAC9,SLC1A3,TCF4,MTLN,DOK5,NLGN1,NFIA,ZFPM2,ATP1A2,COL11A1,ADGRB3,CLU,ZNF804A,PTN,HSPB1,PCDHGB6,TNC,FUT9,OPHN1,MAGI2,HECW1,EZR,RORB,SLC4A10,SPIRE1,SCRG1,NAV3,GRIN2B,BCAN,TAGLN2,AKAP6,DNER,CHRDL1,NTRK3,PHACTR1,CRB1,TCIM,SMARCA2,SEMA3A,POTEF,UFD1,IL33,LDB2,SVIL,BRINP3,MRPL40,KIAA1217,RETREG1,SOX9,EMX1,PDGFD,LRRTM3,FZD8,IGF2BP2,MED15,PRDM16,PTGFRN,HERC4,PRKG1,TNFRSF19,EXT1,ASTN1,GSX2,SIK3,ITGA6,JPH1,NRXN1,RPL39L,RNASEH2B,CYFIP2,SYNE1,GP1BB,FAM120B,CHL1,ABCD2,LRIG3,NCAM2,FLRT2,ACTN1,CDO1,DDIT4,CBR1,MT3,CRKL,TIMP1,NAPEPLD,DIAPH2,FABP5,MSN,CST3,NOTCH2NLA,ATRN,PDLIM4,ENKUR,LGALS1,MAP2K6,DZIP1,LYN,DKK3,MYO3A,FRY,DGCR2,WIPF3,HIRA,PCDHB2,BMP2K,RAB6A,FJX1,DNAH11,NDRG2,CSPG5,GAP43,GSTK1,S1PR1,HTRA1,HSPA1A,PDE2A,GJA1,TSHR,FHL1,CLTCL1,CRIM1,LMO3,CDK16,CD9,DAAM2,PLPPR1,RTN1,DLX1,VEGFA,PCDHGC3,CRYGD,PBXIP1,BNIP3,RANBP3L,SOX12,IGFBP5,ATP1A4,TRIB3,PDGFRA,SP8,NR3C1,CTSL,LOX"
"query_1",TRUE,1.7092263904751e-11,2541,270,80,0.296296296296296,0.0314836678473042,"GO:0007399","GO:BP","nervous system development",21017,2898,"IEA,IEA,IEA,ISS IEA,IEA,IDA IMP IGI ISS IBA TAS NAS IEA,IEA,ISS IEA,ISS IBA IEA,IDA IMP,IMP IGI,IDA IMP ISS TAS IEA,IEA,ISO IEA,IDA IMP IEA,IMP TAS IEA,ISS IEA,IBA,ISS IEA,IEA,TAS,IEA,NAS,IBA IEA,IEP NAS IEA,IEA,IBA IEA,ISS IEA,IEA,IEA,IDA IMP ISS IBA TAS IEA,IBA,IEA,IBA,ISS IBA IEA,ISS IBA IEA,IBA IEA,IDA IMP IEA,ISS,IBA,IEA,IEA,IBA IEA,IEA,ISS,IGI ISS TAS NAS IEA,IBA IEA,IEA,IEA,ISS IEA,IEA,IEA,ISS,IDA TAS,IMP IEA,IDA,IEA,IMP IBA IEA,IBA,TAS IEA,TAS,IEA,HEP IEA,ISS TAS IEA,IBA IEA,IEA,IEA,IEA,TAS,ISS IBA IEA,IMP ISS IEA,ISS IBA IEA,ISS,IEP IBA,ISS IEA,ISS TAS,IEA,IEA,ISS IEA,IEA","COMT,HDAC9,SLC1A3,TCF4,DOK5,NLGN1,NFIA,ATP1A2,ADGRB3,CLU,ZNF804A,PTN,PCDHGB6,TNC,FUT9,OPHN1,MAGI2,HECW1,RORB,SLC4A10,SCRG1,NAV3,GRIN2B,BCAN,DNER,CHRDL1,NTRK3,PHACTR1,CRB1,SMARCA2,SEMA3A,POTEF,IL33,LDB2,BRINP3,SOX9,EMX1,LRRTM3,FZD8,IGF2BP2,PRKG1,EXT1,ASTN1,GSX2,ITGA6,NRXN1,CYFIP2,SYNE1,CHL1,ABCD2,NCAM2,FLRT2,DDIT4,MT3,CRKL,NOTCH2NLA,ATRN,LYN,FRY,PCDHB2,RAB6A,DNAH11,NDRG2,CSPG5,GAP43,S1PR1,GJA1,TSHR,CRIM1,CDK16,CD9,DAAM2,PLPPR1,RTN1,DLX1,VEGFA,PCDHGC3,BNIP3,SOX12,NR3C1"
"query_1",TRUE,8.27101288498267e-11,5924,270,134,0.496296296296296,0.0226198514517218,"GO:0048856","GO:BP","anatomical structure development",21017,13100,"IEA,IMP ISS TAS IEA,IEA,ISS IEA,ISS IEA,IEA,IDA IMP IGI ISS IBA TAS NAS IEA,IEA,IMP ISS IBA IEA,ISS IEA,IEP IEA,IDA ISS IBA IEA,IDA IMP,IMP IGI,IDA IMP ISS TAS IEA,IMP,IEA,ISO IEA,IDA IMP IEA,IMP TAS IEA,ISS IEA,IBA,IMP IGI IBA IEA,ISS IEA,IEA,IMP,TAS,IEA,NAS,IBA IEA,IDA,ISS,IEP NAS IEA,IMP IEA,IMP IBA IEA,ISS IEA,IEA,IEA,NAS IEA,IDA IMP ISS IBA TAS IEA,IBA,TAS,ISS IEA,IBA IEA,IMP,ISS IBA IEA,TAS,ISS,IDA IMP IEP ISS IBA IEA,IBA IEA,IEA,IDA IMP IEA,ISS IEA,IBA TAS,ISS IEA,IEA,IEA,IEA,IBA IEA,IEA,IEA,IMP IEP ISS,IEA,IGI ISS TAS NAS IEA,IEA,IBA IEA,IDA IEA,ISO NAS,IEA,ISS IEA,IEA,IEA,ISS IEA,IMP IBA,IEA,ISS,IEP,IDA TAS,IMP IEA,IMP IEA,IEA,TAS,IMP IGI IBA,IMP,IDA,IEA,IBA,IDA IEA,IEA,IEA,IMP IEP IEA,IDA IMP ISS IBA TAS IEA,IEP TAS IEA,ISS,IBA IEA,TAS,TAS IEA,TAS IEA,IBA IEA,TAS,IEA,IMP IEA,HEP IEA,ISS IBA TAS IEA,IBA IEA,IEP,ISS IBA IEA,IEA,IMP,IEP ISS,IMP ISS IBA NAS IEA,IEA,NAS IEA,TAS,TAS,ISS IBA IEA,IMP ISS IEA,ISS IBA IEA,ISS,IEP IBA,ISS IEA,IDA IMP IGI ISS IBA TAS IEA,IEA,ISS IBA,IEP IEA,IDA IEA,ISS IEA,ISS IBA IEA,IEA,ISS IBA IEA,IEA,IEA,ISS,ISS IEA","COMT,HDAC9,SLC1A3,TCF4,MTLN,DOK5,NLGN1,NFIA,ZFPM2,ATP1A2,COL11A1,ADGRB3,CLU,ZNF804A,PTN,HSPB1,PCDHGB6,TNC,FUT9,OPHN1,MAGI2,HECW1,EZR,RORB,SLC4A10,SPIRE1,SCRG1,NAV3,GRIN2B,BCAN,TAGLN2,AKAP6,DNER,CHRDL1,NTRK3,PHACTR1,CRB1,TCIM,SMARCA2,SEMA3A,POTEF,UFD1,IL33,LDB2,SVIL,BRINP3,MRPL40,KIAA1217,SOX9,EMX1,PDGFD,LRRTM3,FZD8,IGF2BP2,PTGFRN,PRKG1,TNFRSF19,EXT1,ASTN1,GSX2,SIK3,ITGA6,JPH1,NRXN1,RNASEH2B,CYFIP2,SYNE1,GP1BB,CHL1,ABCD2,LRIG3,NCAM2,FLRT2,ACTN1,CDO1,DDIT4,CBR1,MT3,CRKL,TIMP1,DIAPH2,FABP5,MSN,CST3,NOTCH2NLA,ATRN,PDLIM4,ENKUR,LGALS1,MAP2K6,DZIP1,LYN,DKK3,MYO3A,FRY,DGCR2,HIRA,PCDHB2,BMP2K,RAB6A,FJX1,DNAH11,NDRG2,CSPG5,GAP43,GSTK1,S1PR1,HTRA1,HSPA1A,PDE2A,GJA1,TSHR,FHL1,CLTCL1,CRIM1,CDK16,CD9,DAAM2,PLPPR1,RTN1,DLX1,VEGFA,PCDHGC3,CRYGD,PBXIP1,BNIP3,RANBP3L,SOX12,IGFBP5,PDGFRA,SP8,NR3C1,CTSL,LOX"
"query_1",TRUE,8.57346325638233e-10,3985,270,101,0.374074074074074,0.0253450439146801,"GO:0048731","GO:BP","system development",21017,12988,"IEA,IMP ISS IEA,IEA,ISS IEA,IEA,IDA IMP IGI ISS IBA TAS NAS IEA,IEA,IMP ISS IBA IEA,ISS IEA,IEA,ISS IBA IEA,IDA IMP,IMP IGI,IDA IMP ISS TAS IEA,IMP,IEA,ISO IEA,IDA IMP IEA,IMP TAS IEA,ISS IEA,IBA,ISS IEA,IEA,TAS,IEA,NAS,IBA IEA,ISS,IEP NAS IEA,IMP IEA,IMP IBA IEA,ISS IEA,IEA,IEA,IDA IMP ISS IBA TAS IEA,IBA,TAS,IEA,IBA,ISS IBA IEA,ISS,IDA IMP IEP ISS IBA IEA,IBA IEA,IEA,IDA IMP IEA,ISS IEA,IBA,IEA,IEA,IBA IEA,IEA,IEA,ISS,IGI ISS TAS NAS IEA,IBA IEA,IEA,IEA,ISS IEA,IEA,ISS IEA,ISS,IDA TAS,IMP IEA,IEA,IDA,IEA,IBA,IEA,IMP IEA,IMP ISS IBA TAS IEA,IEP,IBA,TAS IEA,TAS,IEA,IEA,HEP IEA,ISS TAS IEA,IBA IEA,ISS IBA IEA,ISS,ISS IBA NAS IEA,IEA,TAS,ISS IBA IEA,IMP ISS IEA,ISS IBA IEA,ISS,IEP IBA,ISS IEA,IDA IMP IGI ISS IBA TAS IEA,IEA,ISS IBA,IEA,IEA,ISS IEA,ISS IEA,IEA,ISS IBA IEA,IEA,ISS IEA","COMT,HDAC9,SLC1A3,TCF4,DOK5,NLGN1,NFIA,ZFPM2,ATP1A2,COL11A1,ADGRB3,CLU,ZNF804A,PTN,HSPB1,PCDHGB6,TNC,FUT9,OPHN1,MAGI2,HECW1,RORB,SLC4A10,SCRG1,NAV3,GRIN2B,BCAN,AKAP6,DNER,CHRDL1,NTRK3,PHACTR1,CRB1,SMARCA2,SEMA3A,POTEF,UFD1,IL33,LDB2,BRINP3,KIAA1217,SOX9,EMX1,PDGFD,LRRTM3,FZD8,IGF2BP2,PRKG1,EXT1,ASTN1,GSX2,SIK3,ITGA6,NRXN1,CYFIP2,SYNE1,CHL1,ABCD2,NCAM2,FLRT2,DDIT4,MT3,CRKL,TIMP1,NOTCH2NLA,ATRN,PDLIM4,MAP2K6,DZIP1,LYN,DKK3,FRY,PCDHB2,RAB6A,FJX1,DNAH11,NDRG2,CSPG5,GAP43,S1PR1,PDE2A,GJA1,TSHR,CRIM1,CDK16,CD9,DAAM2,PLPPR1,RTN1,DLX1,VEGFA,PCDHGC3,CRYGD,PBXIP1,BNIP3,RANBP3L,SOX12,IGFBP5,PDGFRA,NR3C1,LOX"
"query_1",TRUE,1.11641035505999e-09,1746,270,60,0.222222222222222,0.0343642611683849,"GO:0022008","GO:BP","neurogenesis",21017,6562,"IEA,IEA,ISS,IEA,IDA IGI ISS NAS IEA,IEA,ISS IBA IEA,IDA IMP,IMP IGI,IDA IMP ISS IEA,ISO IEA,IDA IMP,IMP TAS,ISS,IBA,ISS IEA,IEA,IEA,IBA,NAS IEA,IBA,ISS IEA,IEA,IDA IMP ISS IBA TAS IEA,IBA,IEA,ISS IEA,ISS IBA IEA,IBA IEA,ISS,IEA,IEA,IBA IEA,IEA,ISS,IGI ISS TAS NAS,IBA IEA,IEA,IEA,IEA,IEA,ISS,IDA TAS,IMP IEA,IMP IBA IEA,IBA,TAS,ISS IEA,IBA IEA,IEA,IEA,IEA,ISS IBA IEA,IMP,ISS IBA IEA,IEP IBA,ISS IEA,ISS,IEA,IEA","HDAC9,SLC1A3,TCF4,DOK5,NLGN1,NFIA,ADGRB3,CLU,ZNF804A,PTN,TNC,FUT9,OPHN1,MAGI2,HECW1,RORB,SLC4A10,NAV3,BCAN,DNER,NTRK3,PHACTR1,CRB1,SEMA3A,POTEF,IL33,BRINP3,SOX9,EMX1,FZD8,PRKG1,EXT1,ASTN1,GSX2,ITGA6,NRXN1,CYFIP2,SYNE1,CHL1,NCAM2,FLRT2,DDIT4,MT3,CRKL,LYN,FRY,RAB6A,CSPG5,GAP43,S1PR1,GJA1,TSHR,CDK16,CD9,DAAM2,RTN1,DLX1,VEGFA,BNIP3,NR3C1"
"query_1",TRUE,3.12860982985203e-09,4658,270,110,0.407407407407407,0.0236152855302705,"GO:0007275","GO:BP","multicellular organism development",21017,2802,"IEA,IMP ISS IEA,IEA,ISS IEA,IEA,IDA IMP IGI ISS IBA TAS NAS IEA,IEA,IMP ISS IBA IEA,ISS IEA,IEP IEA,ISS IBA IEA,IDA IMP,IMP IGI,IDA IMP ISS TAS IEA,IMP,IEA,ISO IEA,IDA IMP IEA,IMP TAS IEA,ISS IEA,IBA,ISS IEA,IEA,TAS,IEA,NAS,IBA IEA,ISS,IEP NAS IEA,IMP IEA,IMP IBA IEA,ISS IEA,IEA,IEA,NAS IEA,IDA IMP ISS IBA TAS IEA,IBA,TAS,IEA,IBA,ISS IBA IEA,ISS,IDA IMP IEP ISS IBA IEA,IBA IEA,IEA,IDA IMP IEA,ISS IEA,IBA,IEA,IEA,IBA IEA,IEA,IEA,IMP ISS,IGI ISS TAS NAS IEA,IEA,IBA IEA,IEA,IEA,ISS IEA,IEA,IEA,ISS IEA,ISS,IDA TAS,IMP IEA,IMP IEA,IDA,IEA,IBA,IDA IEA,IEA,IMP IEA,IMP ISS IBA TAS IEA,IEP IEA,ISS,IBA,IEA,TAS IEA,IBA IEA,TAS,IEA,IMP IEA,HEP IEA,ISS TAS IEA,IBA IEA,ISS IBA IEA,IMP,ISS,IMP ISS IBA NAS IEA,IEA,TAS,ISS IBA IEA,IMP ISS IEA,ISS IBA IEA,ISS,IEP IBA,ISS IEA,IDA IMP IGI ISS IBA TAS IEA,IEA,ISS IBA,IEA,IEA,ISS IEA,ISS IEA,IEA,ISS IBA IEA,IEA,IEA,ISS IEA","COMT,HDAC9,SLC1A3,TCF4,DOK5,NLGN1,NFIA,ZFPM2,ATP1A2,COL11A1,ADGRB3,CLU,ZNF804A,PTN,HSPB1,PCDHGB6,TNC,FUT9,OPHN1,MAGI2,HECW1,RORB,SLC4A10,SCRG1,NAV3,GRIN2B,BCAN,AKAP6,DNER,CHRDL1,NTRK3,PHACTR1,CRB1,TCIM,SMARCA2,SEMA3A,POTEF,UFD1,IL33,LDB2,BRINP3,KIAA1217,SOX9,EMX1,PDGFD,LRRTM3,FZD8,IGF2BP2,PRKG1,EXT1,ASTN1,GSX2,SIK3,ITGA6,NRXN1,RNASEH2B,CYFIP2,SYNE1,CHL1,ABCD2,LRIG3,NCAM2,FLRT2,DDIT4,MT3,CRKL,TIMP1,NOTCH2NLA,ATRN,PDLIM4,ENKUR,MAP2K6,DZIP1,LYN,DKK3,MYO3A,FRY,HIRA,PCDHB2,BMP2K,RAB6A,FJX1,DNAH11,NDRG2,CSPG5,GAP43,S1PR1,HSPA1A,PDE2A,GJA1,TSHR,CRIM1,CDK16,CD9,DAAM2,PLPPR1,RTN1,DLX1,VEGFA,PCDHGC3,CRYGD,PBXIP1,BNIP3,RANBP3L,SOX12,IGFBP5,PDGFRA,SP8,NR3C1,LOX"
"query_1",TRUE,6.04572307482658e-09,7234,270,147,0.544444444444444,0.0203207077688692,"GO:0032501","GO:BP","multicellular organismal process",21017,7611,"IEA,IDA IMP ISS TAS IEA,ISS NAS IEA,ISS IEA,IEA,IDA IMP IGI ISS IBA TAS NAS IEA,IEA,IMP ISS IBA IEA,ISS TAS NAS IEA,TAS IEA,IMP IEP IEA,ISS IBA IEA,IDA IMP,IMP IGI,IDA IMP ISS TAS IEA,IMP HMP ISS IEA,ISS IEA,IEA,HDA ISO IEA,IDA IMP IEA,IMP TAS IEA,ISS IEA,IBA,IMP IEA,ISS IEA,ISS IEA,TAS,IMP IEA,ISS ISO IBA TAS NAS,IBA IEA,IDA IBA IEA,ISS,IEP NAS IEA,IMP IEA,IMP IBA IEA,ISS IEA,IMP,IEA,IDA IBA IEA,NAS IEA,IDA IMP ISS IBA TAS IEA,IBA,IMP TAS,IDA ISS IBA IEA,IBA IEA,ISS IBA IEA,IMP,ISS,IMP,IDA IMP IEP ISS IBA IEA,IBA IEA,IEA,IDA IMP IEA,ISS IEA,IBA IC IEA,IEA,ISS,IMP IEA,ISS,IEA,IMP IEA,IBA IEA,IEA,IEA,IEA,IMP ISS,ISS IEA,IMP IGI ISS TAS NAS IEA,IMP ISS,TAS,IEA,IBA IEA,IEA,IDA IPI NAS IEA,IDA TAS IEA,IEA,ISS IEA,IEA,IEA,IDA,ISS IEA,ISS,IDA TAS,IMP IEA,IMP IEA,ISS IEA,IMP ISS IEA,IDA,IMP,IDA,IEA,IBA,IDA IEA,IEA,ISS IEA,IMP IEA,IMP ISS IBA TAS IEA,IEP IEA,IMP ISS IBA IEA,IDA,IBA,IMP,IEA,TAS IEA,IBA IEA,TAS,IEA,IMP IEA,HEP IEA,ISS TAS IEA,IBA IEA,ISS IBA IEA,IMP,IMP,IBA,IMP ISS,IMP ISS IBA TAS NAS IEA,ISS IEA,IEA,IMP TAS,ISS IBA IEA,IDA IMP ISS NAS IEA,IDA ISS IBA IEA,ISS,IEP IBA,TAS,IMP IEA,IMP,ISS IEA,IDA IMP IGI ISS IBA TAS IEA,IEA,IMP ISS IBA IEA,IEA,ISS,IEA,NAS IEA,IEA,ISS IEA,ISS IEA,IEA,NAS,IEA,IDA IMP ISS IBA TAS IEA,IEA,IEA,ISS,ISS IEA","COMT,HDAC9,SLC1A3,TCF4,DOK5,NLGN1,NFIA,ZFPM2,ATP1A2,DGKB,COL11A1,ADGRB3,CLU,ZNF804A,PTN,HSPB1,FBXO32,PCDHGB6,TNC,FUT9,OPHN1,MAGI2,HECW1,EZR,RORB,SLC4A10,SCRG1,NAV3,GRIN2B,BCAN,PAG1,AKAP6,DNER,CHRDL1,NTRK3,PHACTR1,ANKFN1,CRB1,TCIM,SMARCA2,SEMA3A,POTEF,UFD1,IL33,LDB2,BRINP3,LIPG,KIAA1217,RETREG1,SOX9,EMX1,PDGFD,LRRTM3,FZD8,IGF2BP2,MED15,PRDM16,PRKG1,FAM107A,TNFRSF19,EXT1,ASTN1,SFXN5,GSX2,SIK3,ITGA6,PDE9A,NRXN1,NOS1AP,GNAO1,RNASEH2B,CYFIP2,SYNE1,GP1BB,TFPI,CHL1,ABCD2,LRIG3,NCAM2,KLHL22,FLRT2,DDIT4,MT3,CRKL,TIMP1,NAPEPLD,FABP5,MSN,CST3,NOTCH2NLA,ATRN,PDLIM4,ENKUR,LGALS1,MAP2K6,DZIP1,LYN,DKK3,MYO3A,CYBRD1,FRY,DGCR2,HIRA,PCDHB2,BMP2K,RAB6A,FJX1,DNAH11,NDRG2,CSPG5,GAP43,S1PR1,HSPA1A,CBR3,NPB,PDE2A,GJA1,TSHR,CHST10,CRIM1,CDK16,CD9,DAAM2,PLPPR1,RTN1,MAP3K8,DENND1B,CTNNA3,DLX1,VEGFA,PCDHGC3,CRYGD,PBXIP1,NMB,RNF180,SLC16A1,BNIP3,RANBP3L,SOX12,IGFBP5,ATP1A4,IL13RA2,PDGFRA,SP8,NR3C1,CTSL,LOX"
"query_1",TRUE,1.03818389316647e-08,1517,270,53,0.196296296296296,0.034937376400791,"GO:0048699","GO:BP","generation of neurons",21017,12956,"IEA,IEA,ISS,IEA,IDA IGI ISS NAS IEA,IEA,ISS IBA IEA,IMP IGI,ISS IEA,ISO IEA,IDA IMP,IMP TAS,ISS,IBA,ISS IEA,IEA,IBA,NAS,IBA,ISS IEA,IEA,IDA IMP ISS IBA TAS IEA,IBA,ISS IEA,ISS IEA,IBA IEA,ISS,IEA,IEA,IBA IEA,IEA,ISS,IGI ISS TAS NAS,IBA IEA,IEA,IEA,IEA,IEA,ISS,IDA TAS,IEA,IMP IBA IEA,IBA,TAS,IEA,IBA IEA,IEA,IEA,IEA,ISS IBA IEA,IEP IBA,ISS IEA,ISS","HDAC9,SLC1A3,TCF4,DOK5,NLGN1,NFIA,ADGRB3,ZNF804A,PTN,TNC,FUT9,OPHN1,MAGI2,HECW1,RORB,SLC4A10,BCAN,DNER,NTRK3,PHACTR1,CRB1,SEMA3A,POTEF,BRINP3,SOX9,EMX1,FZD8,PRKG1,EXT1,ASTN1,GSX2,ITGA6,NRXN1,CYFIP2,SYNE1,CHL1,NCAM2,FLRT2,DDIT4,MT3,CRKL,LYN,FRY,RAB6A,CSPG5,GAP43,S1PR1,GJA1,TSHR,CDK16,RTN1,DLX1,VEGFA"
