"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"query_1",TRUE,0.00196613202211876,5,78,3,0.0384615384615385,0.6,"CORUM:2799","CORUM","RFC complex",3383,1203,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00196613202211876,5,78,3,0.0384615384615385,0.6,"CORUM:2797","CORUM","PCNA-CHL12-RFC2-5 complex",3383,1201,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00196613202211876,5,78,3,0.0384615384615385,0.6,"CORUM:2202","CORUM","CHTF18-RFC2-5 complex",3383,939,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00196613202211876,4,78,3,0.0384615384615385,0.75,"CORUM:2201","CORUM","PCNA-RFC2-5 complex",3383,938,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00196613202211876,4,78,3,0.0384615384615385,0.75,"CORUM:2200","CORUM","RFC2-5 subcomplex",3383,937,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00196613202211876,5,78,3,0.0384615384615385,0.6,"CORUM:277","CORUM","RFC complex",3383,159,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00196613202211876,5,78,3,0.0384615384615385,0.6,"CORUM:2810","CORUM","RAD17-RFC complex",3383,1212,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00196613202211876,8,78,4,0.0512820512820513,0.5,"CORUM:434","CORUM","BASC (Ab 80) complex (BRCA1-associated genome surveillance complex)",3383,251,"CORUM,CORUM,CORUM,CORUM","BLM,RFC4,MSH2,RFC2"
"query_1",TRUE,0.00196613202211876,5,78,3,0.0384615384615385,0.6,"CORUM:2199","CORUM","CHTF18-RFC2-5 complex",3383,936,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00196613202211876,5,78,3,0.0384615384615385,0.6,"CORUM:279","CORUM","RFC complex",3383,161,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00196613202211876,12,78,4,0.0512820512820513,0.333333333333333,"CORUM:433","CORUM","BASC complex (BRCA1-associated genome surveillance complex)",3383,250,"CORUM,CORUM,CORUM,CORUM","BLM,RFC4,MSH2,RFC2"
"query_1",TRUE,0.00196613202211876,5,78,3,0.0384615384615385,0.6,"CORUM:266","CORUM","RAD17-RFC complex",3383,151,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00196613202211876,5,78,3,0.0384615384615385,0.6,"CORUM:270","CORUM","RAD17-RFC complex",3383,154,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00359073043546175,6,78,3,0.0384615384615385,0.5,"CORUM:2203","CORUM","BRD4-RFC complex",3383,940,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00576751966462038,7,78,3,0.0384615384615385,0.428571428571429,"CORUM:2804","CORUM","CTF18-cohesion-RFC complex",3383,1207,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00591848603448027,2,78,2,0.0256410256410256,1,"CORUM:3087","CORUM","CCND1-CDK6 complex",3383,1387,"CORUM,CORUM","CCND1,CDK6"
"query_1",TRUE,0.00591848603448027,2,78,2,0.0256410256410256,1,"CORUM:1633","CORUM","CyclinD1-CDK4-CDK6 complex",3383,797,"CORUM,CORUM","CCND1,CDK6"
"query_1",TRUE,0.00591848603448027,8,78,3,0.0384615384615385,0.375,"CORUM:268","CORUM","9-1-1-RAD17-RFC complex",3383,153,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00591848603448027,2,78,2,0.0256410256410256,1,"CORUM:7240","CORUM","CHRNA7-GRIN2A complex",3383,2713,"CORUM,CORUM","GRIN2A,CHRNA7"
"query_1",TRUE,0.00591848603448027,8,78,3,0.0384615384615385,0.375,"CORUM:274","CORUM","9-1-1-RAD17-RFC complex",3383,156,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00591848603448027,2,78,2,0.0256410256410256,1,"CORUM:6748","CORUM","KCNMA1-LRRC26 complex",3383,2352,"CORUM,CORUM","LRRC26,KCNMA1"
"query_1",TRUE,0.00591848603448027,8,78,3,0.0384615384615385,0.375,"CORUM:3070","CORUM","CTF18-cohesion-RFC-POLH complex",3383,1375,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.00591848603448027,8,78,3,0.0384615384615385,0.375,"CORUM:1003","CORUM","RC complex (Replication competent complex)",3383,539,"CORUM,CORUM,CORUM","RFC3,RFC4,RFC2"
"query_1",TRUE,0.0133643606010044,3,78,2,0.0256410256410256,0.666666666666667,"CORUM:278","CORUM","RFC core complex",3383,160,"CORUM,CORUM","RFC4,RFC2"
"query_1",TRUE,0.0133643606010044,3,78,2,0.0256410256410256,0.666666666666667,"CORUM:7564","CORUM","LGR5-RNF43-RSPO1 complex",3383,2897,"CORUM,CORUM","LGR5,RNF43"
"query_1",TRUE,0.0133643606010044,3,78,2,0.0256410256410256,0.666666666666667,"CORUM:6528","CORUM","FLRT3-LPHN3-UNC5D complex",3383,2203,"CORUM,CORUM","ADGRL3,UNC5D"
"query_1",TRUE,0.0253537035665564,4,78,2,0.0256410256410256,0.5,"CORUM:2787","CORUM","BRCA1 C complex",3383,1195,"CORUM,CORUM","BARD1,RBBP8"
"query_1",TRUE,0.0401384589155956,5,78,2,0.0256410256410256,0.4,"CORUM:2224","CORUM","MSH2/6-BLM-p53-RAD51 complex",3383,954,"CORUM,CORUM","BLM,MSH2"
"query_1",TRUE,5.26705463128529e-25,4658,417,194,0.465227817745803,0.0416487762988407,"GO:0007275","GO:BP","multicellular organism development",21017,2802,"IEA,ISS IBA IEA,IEA,IEA,IEA,IEA,ISS IBA,IDA IMP IBA IEA,IEA,IBA IEA,ISS IBA IEA,IMP,IEA,TAS,IDA IEA,IBA TAS IEA,ISS IEA,IBA IEA,ISS IEA,ISS IEA,IDA,ISS IEA,IMP IEA,ISS,IBA TAS IEA,ISS IBA IEA,ISS IEA,IMP ISS IEA,IBA TAS,IEA,IMP IBA TAS IEA,IDA IMP ISS IEA,IEA,IBA IEA,IMP,IMP IBA IEA,IMP NAS,ISS IEA,ISS IEA,ISS IBA IEA,IEA,ISS IEA,IDA IMP ISS IEA,IEA,IEP ISS TAS NAS,IEA,ISS IEA,IMP IBA,IEA,ISS IEA,ISS,ISS IEA,ISS IEA,IEA,IMP ISS IBA,IBA IEA,IBA TAS IEA,IMP IEA,IEA,ISS IEA,ISS IEA,IEA,IMP ISS IBA,IEA,IBA,IBA IEA,IBA,IDA IMP ISS IBA IEA,ISS TAS IEA,IEA,IEA,IDA IEP ISS IBA IEA,TAS IEA,IEP ISS IBA IEA,IDA IMP,IMP ISS,IEA,IDA IMP ISS,IDA,ISS IEA,IEA,IMP ISS IBA NAS IEA,TAS IEA,IEA,IEA,TAS IEA,ISS IBA,IEA,IEA,IDA IBA,TAS,IMP IEP ISS IEA,IDA ISS IBA TAS IEA,IBA IEA,IMP ISS IBA IEA,IEA,IDA,IEA,IBA TAS,IMP IEA,TAS IEA,IMP IEA,IMP IEA,IBA IEA,IDA IEP ISS IEA,ISS IEA,IEA,ISS IEA,IBA IEA,IEA,IEA,IDA,IEA,IDA IMP IGI IBA IEA,IMP ISS IEA,IEA,IBA IEA,TAS,IMP ISS IEA,IEA,IBA IEA,IBA TAS,IMP IGI,TAS,IEA,IEA,ISS IBA TAS IEA,IEA,IMP ISS IEA,TAS,IDA IMP IEP ISS,IDA ISS NAS IEA,NAS IEA,IEA,ISS IBA IEA,ISS IEA,IEA,ISS IEA,IEA,ISS TAS IEA,ISS IEA,IDA IMP ISS IBA NAS IEA,IEA,IBA,IMP,ISS,ISS IBA IC,IBA IEA,IDA IMP IEA,IEP ISS IEA,IEA,IEA,TAS,ISS IBA IEA,IEA,ISS IBA NAS IEA,IEP IEA,ISS IEA,ISS IBA IEA,IMP ISS IBA IEA,IEA,IEA,ISS IEA,IEA,IEA,IEA,IEA,IEA,IMP ISS,IEA,IBA IEA,TAS,IMP ISS IEA,IMP IEP ISS IBA TAS NAS IEA,IMP ISS IEA,ISS,IEA,IEA,IDA IMP ISS IEA,HEP IBA TAS IEA,IDA ISS IEA,IEA,IBA IEA,IBA TAS IEA,IEA,ISS TAS NAS IEA,HEP,IEA,ISS IEA,ISS IEA,ISS IEA,IMP ISS IEA,IMP,IEA","PAX3,ERBB4,MUSTN1,CCND1,ID3,CRABP2,ADGRL3,GREB1L,THRB,IRX2,IRX3,RARRES2,LGR4,ID1,FST,DCC,MAP3K13,IRX1,CUX2,NPPC,RIMS2,LRP2,NELL2,FZD10,EFNA5,DOCK10,NTNG1,SFRP2,SPINK5,PRTG,COL2A1,PTPRD,NAV2,GFRA1,SMOC1,PRDM12,CD24,FOXB1,TUNAR,TIAM1,RBP1,GPC3,ZBTB16,PCDH17,CNTNAP2,HCN1,WLS,IRX5,SP9,TRIM71,AUTS2,TENT5A,CEMIP2,LARGE1,EPHA3,UNC5D,GBX2,NR2F2,CCN2,NASP,PCDH18,SALL4,TENM3,NR2F1,CMTM8,EMB,TENM2,TUBB3,FGF13,ASS1,TYMS,SLIT3,ALPL,WNT7B,CPNE1,CTNNA2,NEFL,CDK6,KANK1,SOX13,FOXO1,MSX1,PCDHB5,CPS1,SNX10,NNAT,MDGA2,HS3ST3B1,RIPOR2,LRRC4C,FGF14,PTCH1,UNC5C,GSX1,SEMA6B,PCDH8,SHROOM4,LGR5,NTF3,RARB,EYA2,DLL3,SLC2A1,EN2,KIT,HELLS,RND2,FOXD1,HES4,E2F1,DACH2,SYT1,PCDHGA3,THBS1,PCSK5,RRM2,IGF2BP1,FGF12,CYP26B1,RNF220,LRFN5,CNTN6,PHLDB2,NRGN,NDN,ASF1B,STMN3,GSDME,ABCA12,GRIK1,TFAP2A,BMP5,GRIN2A,HS3ST3A1,DRAXIN,IGF2,OLFM3,PIERCE1,LINGO2,EDNRB,MBOAT1,SLIT1,VAV3,DUSP4,FBXO5,CDKN2A,ENPP1,ZFHX3,RBM20,TFAP2B,LIN28A,TPBG,DPYSL4,MSH2,KCNQ1,RELN,ACTA2,SDK1,VAX2,WNT3,ATAD5,PPP4R4,SLC8A3,UST,ABCC9,EYA4,PSMG1,EXO1,CHRNA7,CYP26A1,PLXNA2,FGF19,SMAD6,WNT5A,PTF1A,DHFR,TNNI1,RBBP8,FOXC1,PLP1,NDNF,KCNB1,RFLNB,PBX3,ZBTB46,ANKH,ENO3,VGF,POLQ,FIGNL2,KREMEN2,COL3A1,COL1A2,GRHL1"
