"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"query_1",TRUE,0.00313148375186717,13,23,3,0.130434782608696,0.230769230769231,"CORUM:2919","CORUM","Respiratory chain complex I (gamma subunit) mitochondrial",3383,1289,"CORUM,CORUM,CORUM","MT-ND2,MT-ND1,MT-ND4L"
"query_1",TRUE,0.00313148375186717,44,23,4,0.173913043478261,0.0909090909090909,"CORUM:178","CORUM","Respiratory chain complex I (holoenzyme), mitochondrial",3383,90,"CORUM,CORUM,CORUM,CORUM","MT-ND2,MT-ND1,MT-ND5,MT-ND4L"
"query_1",TRUE,0.00313148375186717,3,23,2,0.0869565217391304,0.666666666666667,"CORUM:6528","CORUM","FLRT3-LPHN3-UNC5D complex",3383,2203,"CORUM,CORUM","ADGRL3,UNC5D"
"query_1",TRUE,0.00335531100195756,4,23,2,0.0869565217391304,0.5,"CORUM:2886","CORUM","Respiratory chain complex I (incomplete intermediate ND1, ND2, ND3, CIA30 assembly), mitochondrial",3383,1265,"CORUM,CORUM","MT-ND2,MT-ND1"
"query_1",TRUE,0.0329148488068456,2,23,1,0.0434782608695652,0.5,"CORUM:6748","CORUM","KCNMA1-LRRC26 complex",3383,2352,"CORUM","LRRC26"
"query_1",TRUE,0.0329148488068456,16,23,2,0.0869565217391304,0.125,"CORUM:2914","CORUM","Respiratory chain complex I (beta subunit) mitochondrial",3383,1286,"CORUM,CORUM","MT-ND4,MT-ND5"
"query_1",TRUE,0.0329148488068456,2,23,1,0.0434782608695652,0.5,"CORUM:2943","CORUM","Respiratory chain complex I (incomplete NDUFAF1 assembly), mitochondrial",3383,1301,"CORUM","MT-ND1"
"query_1",TRUE,0.0329148488068456,2,23,1,0.0434782608695652,0.5,"CORUM:3045","CORUM","hs4 enhancer complex (faster migrating complex)",3383,1355,"CORUM","POU2F2"
"query_1",TRUE,0.0329148488068456,2,23,1,0.0434782608695652,0.5,"CORUM:3121","CORUM","OCT2-TLE4 complex",3383,1407,"CORUM","POU2F2"
"query_1",TRUE,0.0329148488068456,2,23,1,0.0434782608695652,0.5,"CORUM:595","CORUM","Kv4.2-DPP10 channel complex",3383,330,"CORUM","KCND2"
