"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"query_1",TRUE,3.00400723820083e-06,7234,308,158,0.512987012987013,0.0218413049488526,"GO:0032501","GO:BP","multicellular organismal process",21017,7611,"IEA,IMP,IEA,IMP HMP ISS IEA,TAS IEA,IMP ISS IEA,IMP TAS,IDA IMP IEP ISS NAS IEA,IEA,ISS IBA IEA,IBA IEA,IDA NAS IEA,IEA,TAS IEA,IEA,ISS TAS IEA,IDA IBA IEA,ISS TAS IEA,IDA IMP ISS IEA,IBA,TAS IEA,IEA,IDA,IEA,ISS IBA IEA,ISS TAS NAS IEA,ISS IEA,ISS,TAS,NAS IEA,IMP ISS IBA TAS NAS IEA,IMP,IBA,IEA,IMP IEA,IMP,IEA,IDA IMP IEP ISS IEA,IEP IBA,IEA,IDA TAS,IDA IBA IEA,IEP ISS IBA NAS,TAS,ISS IEA,IEA,IBA IEA,TAS,IDA IMP IEP ISS TAS IEA,IBA IEA,IDA IMP IGI TAS,NAS IEA,ISS IEA,IEA,TAS,IDA IMP ISS NAS IEA,ISS ISO IBA TAS NAS,ISS ISO IBA TAS NAS IEA,IDA ISS IEA,IMP,IEA,IDA IEA,IBA TAS,IEA,IMP ISS NAS IEA,IMP ISS IEA,IDA ISS IEA,IDA IBA IEA,IBA IEA,TAS IEA,IEP IBA IEA,HMP,IEA,NAS,IMP IGI ISS IBA,IDA IPI NAS IEA,IMP IEA,IMP ISS IBA IEA,IEA,ISS IBA IEA,IBA TAS IEA,NAS,IDA,ISS,IEA,IMP,IEA,IMP IEA,IDA NAS IEA,IBA,IDA IBA TAS NAS IEA,IEA,IDA IEA,IDA,IBA,ISS,IEA,ISS IEA,IEA,TAS IEA,TAS,IEP NAS,IEA,IEA,IEP IBA IEA,IMP ISS NAS,IBA IEA,IDA IEP IBA IEA,ISS,TAS IEA,IMP ISS IBA IEA,ISS IEA,IMP TAS NAS IEA,ISS,IBA,IEA,IDA ISS IBA NAS IEA,IMP,IDA,IDA IMP IBA,IEA,IBA TAS IEA,NAS,IEA,ISS IEA,NAS,ISS IEA,IMP ISS IEA,IEA,IMP IBA,ISS IEA,IDA TAS IEA,IDA IBA IC IEA,IDA IMP IBA IEA,IBA IEA,IDA ISS IEA,IEA,TAS,TAS IEA,IEA,IDA IBA,IEP,ISS IEA,ISS IEA,IDA IBA,IEA,IBA,NAS,ISS,IEA,IEA,ISS IEA,TAS,IDA IGI IBA TAS IEA,IBA IEA,IBA,ISS NAS IEA,TAS IEA","COMT,HSPA1A,PCDHGB6,HSPB1,CRYAB,FABP5,UFD1,ROBO2,BNIP3,MEIS2,LHX2,HOPX,TSPO,ANGPTL4,NUPR1,PRNP,ADM,S100B,CCN3,BHLHE40,FOXG1,MED15,KLHL22,AGBL4,TANC2,ATP1A2,FBXO32,ESS2,RGS16,HOXB2,GJA1,DGCR2,POTEF,RNASEH2B,CRKL,HK2,SELENOM,SFRP1,RTN1,ARX,AKR1C1,TCIM,HEY1,CRYZ,ABCD2,SNCG,EMX1,PIR,TGFB2,EMX2,HMOX1,C1QL1,ESRRG,LYPD1,HNMT,CD9,GRIN2B,GRIN2A,ZNF703,ALDOA,GNGT1,HILPDA,TENM1,GSX2,MFSD2A,GATM,GDF15,CALCRL,NEUROD6,DGKB,HOXB3,CSRP1,SLC25A20,ACSBG1,SIRPA,GP1BB,DNAH11,MYO3A,GALC,C3orf70,GUCA1A,PPP1R17,RNLS,CNTNAP4,DMRTA2,CRYM,FEZF2,CHRDL1,CALCA,LHFPL3,CRH,DLX6-AS1,DYRK3,AKR1C2,PDLIM4,FAM107A,KCNJ10,IL1RAP,HBEGF,CNGA3,PCDH1,AKR1C3,PM20D1,HOXA2,HOXA3,SLC22A5,PGF,HOXA7,OCIAD2,FZD6,CRYGD,FZD8,CLDN5,ACOT11,NPB,ADAMTS2,ENPEP,PLAAT4,NLRP2,SCN4B,HMX3,EN1,RAI2,AKAP3,RIOX1,SDCBP2,SIGIRR,E2F7,HMCN1,HLA-DPB1,PRKCZ,LCAT,F12,SLITRK3,DPPA4,RNF112,VWA1,GUCY1B1,NDP,REC8,TRIL,DHRS2,G0S2,PLD6,NPW,KCNQ3,ECRG4,SLC6A6,ATG9B,XK,HRH1,NKX6-2,ARSL,EDN1,OTOS,SNPH,CLDN3,ADORA1"
"query_1",TRUE,2.05159712888523e-05,345,308,22,0.0714285714285714,0.063768115942029,"GO:0070482","GO:BP","response to oxygen levels",21017,16143,"IDA,IEA,IEA,IMP IGI ISS IEA,NAS,IEA,IEA,IEA,IEA,IEP,IEA,IEP,IMP,IEP,IEA,IEP,IBA,IBA,IEA,IEA,IEP,IEA","CHCHD2,COMT,CRYAB,BNIP3,ANGPTL4,ADM,MAP1LC3A,TXNRD2,HK2,SFRP1,ERO1A,PLOD2,TGFB2,HMOX1,GNGT1,HILPDA,PGF,GUCY1B1,NDP,EDN1,CLDN3,ADORA1"
"query_1",TRUE,2.26949356665921e-05,665,308,31,0.100649350649351,0.0466165413533835,"GO:0007610","GO:BP","behavior",21017,3067,"IEA,IEA,IEA,ISS TAS IEA,ISS IEA,ISS IEA,IEA,NAS IEA,IEA,ISS TAS,TAS IEA,ISS IEA,IMP,IDA IEA,IEA,ISS,ISS,IEA,IEA,TAS NAS IEA,IEA,TAS,IBA,IEA,IEA,IEA,IEA,IDA IBA,IEA,IEA,IEA","COMT,MEIS2,TSPO,PRNP,S100B,ATP1A2,SNCG,C1QL1,LYPD1,GRIN2B,GRIN2A,MFSD2A,GATM,GDF15,DNAH11,C3orf70,CNTNAP4,FEZF2,CALCA,CRH,KCNJ10,CLDN5,NPB,EN1,PRKCZ,VWA1,NDP,NPW,KCNQ3,HRH1,ADORA1"
"query_1",TRUE,3.14644969463891e-05,1130,308,42,0.136363636363636,0.0371681415929204,"GO:0009628","GO:BP","response to abiotic stimulus",21017,3549,"IDA,IEA,IDA IMP,IBA,IMP IBA IEA,IMP IGI IEP ISS IEA,IEA,IEA,NAS,IEA,ISS IEA,IEA,IEA,ISS IEA,IEA,IEA,IEP IEA,TAS IEA,IDA,IEP,IEA,IMP,IMP IEP,IEA,IEA,IEA,IEP,IMP,IBA,IEA,IEA,IEA,IBA,ISS,IBA,IEA,IEA,IDA IMP,IEA,IEA,IEP,IEA","CHCHD2,COMT,HSPA1A,HSPB1,CRYAB,BNIP3,MEIS2,TSPO,ANGPTL4,ADM,BHLHE40,MAP1LC3A,TXNRD2,ATP1A2,GJA1,HK2,SFRP1,ERO1A,TCIM,PLOD2,CYP2R1,TGFB2,HMOX1,NQO1,GRIN2A,GNGT1,HILPDA,TSPYL5,HSBP1L1,GUCA1A,CALCA,FBXO4,PGF,ACOT11,GUCY1B1,NDP,KCNQ3,HSPA6,HRH1,EDN1,CLDN3,ADORA1"
"query_1",TRUE,4.46358320418531e-05,316,308,20,0.0649350649350649,0.0632911392405063,"GO:0036293","GO:BP","response to decreased oxygen levels",21017,9544,"IDA,IEA,IEA,IMP IGI ISS IEA,NAS,IEA,IEA,IEA,IEP,IEA,IEP,IMP,IEP,IEA,IEP,IBA,IEA,IEA,IEP,IEA","CHCHD2,COMT,CRYAB,BNIP3,ANGPTL4,ADM,MAP1LC3A,HK2,SFRP1,ERO1A,PLOD2,TGFB2,HMOX1,GNGT1,HILPDA,PGF,NDP,EDN1,CLDN3,ADORA1"
"query_1",TRUE,7.6148782008447e-05,302,308,19,0.0616883116883117,0.0629139072847682,"GO:0001666","GO:BP","response to hypoxia",21017,377,"IDA,IEA,IEA,IMP IGI ISS IEA,NAS,IEA,IEA,IEP,IEA,IEP,IMP,IEP,IEA,IEP,IBA,IEA,IEA,IEP,IEA","CHCHD2,COMT,CRYAB,BNIP3,ANGPTL4,ADM,HK2,SFRP1,ERO1A,PLOD2,TGFB2,HMOX1,GNGT1,HILPDA,PGF,NDP,EDN1,CLDN3,ADORA1"
"query_1",TRUE,7.6148782008447e-05,2541,308,70,0.227272727272727,0.0275482093663912,"GO:0007399","GO:BP","nervous system development",21017,2898,"IEA,IEA,IDA IEP ISS NAS IEA,IEA,IBA,IBA IEA,IEA,IEA,ISS TAS IEA,IBA,TAS IEA,IEA,ISS IBA,ISS IEA,ISS,NAS IEA,IEA,IBA,IMP IEA,IEA,IEP IBA,IEA,IBA,ISS IEA,IBA IEA,IDA ISS TAS,IBA IEA,IEA,IMP ISS IEA,NAS,NAS IEA,IEA,IBA TAS,IEA,IMP ISS IEA,IBA IEA,IEA,NAS,IEA,IEA,ISS IBA IEA,NAS,IEA,IEA,IEA,IEA,IEA,IEA,ISS IEA,TAS,IEA,IEA,TAS IEA,ISS,IEA,IEA,IBA TAS IEA,NAS,IEA,IDA IMP IBA IEA,IDA IEA,TAS IEA,IEA,IBA,IEA,ISS IEA,IEA,IBA,ISS IEA,TAS","COMT,PCDHGB6,ROBO2,BNIP3,MEIS2,LHX2,TSPO,ADM,S100B,BHLHE40,FOXG1,AGBL4,TANC2,ATP1A2,ESS2,HOXB2,GJA1,POTEF,CRKL,SFRP1,RTN1,ARX,HEY1,ABCD2,EMX1,TGFB2,EMX2,C1QL1,CD9,GRIN2B,GRIN2A,GNGT1,TENM1,GSX2,MFSD2A,NEUROD6,HOXB3,ACSBG1,DNAH11,GALC,C3orf70,PPP1R17,DMRTA2,FEZF2,CHRDL1,CRH,DLX6-AS1,KCNJ10,IL1RAP,PCDH1,HOXA2,HOXA3,FZD6,FZD8,CLDN5,HMX3,EN1,SDCBP2,PRKCZ,SLITRK3,RNF112,NDP,KCNQ3,ECRG4,XK,NKX6-2,EDN1,SNPH,CLDN3,ADORA1"
"query_1",TRUE,0.00010154912952977,478,308,24,0.0779220779220779,0.0502092050209205,"GO:0007389","GO:BP","pattern specification process",21017,2889,"ISS,IBA,IEA,IBA,IEA,IEA,IEA,IEA,IDA IEA,IBA,IEA,IEA,IEA,IBA IEA,IMP IEA,IEA,IEA,IEA,IEA,IBA IEA,IBA IEA,IEA,ISS IEA,IEA","ROBO2,MEIS2,LHX2,BHLHE40,FOXG1,HOXB2,GJA1,CRKL,SFRP1,HEY1,EMX1,EMX2,GSX2,HOXB3,DNAH11,DMRTA2,FEZF2,CHRDL1,HOXA2,HOXA3,HOXA7,EN1,PLD6,EDN1"
"query_1",TRUE,0.000175472224297246,324,308,19,0.0616883116883117,0.058641975308642,"GO:0050890","GO:BP","cognition",21017,13334,"IEA,IEA,ISS TAS IEA,ISS IEA,IEA,IMP,IEA,ISS TAS,TAS IEA,IMP,IMP,IEA,TAS IEA,ISS,TAS,IEA,IEA,IEA,IEA","COMT,MEIS2,PRNP,S100B,ATP1A2,DGCR2,C1QL1,GRIN2B,GRIN2A,MFSD2A,GATM,DNAH11,CRH,FAM107A,CLDN5,EN1,PRKCZ,HRH1,ADORA1"
"query_1",TRUE,0.000197246684141186,2186,308,61,0.198051948051948,0.0279048490393413,"GO:0070887","GO:BP","cellular response to chemical stimulus",21017,16358,"IDA IGI,IEA,TAS,IMP,IDA,IDA,IEP,IMP IGI IEA,IEA,IBA TAS,IDA IGI IEA,IDA IMP,IEA,IEA,IDA IMP IEA,IDA IEA,TAS,IEA,ISS IEA,IEA,IDA IEP IEA,IBA,IDA TAS NAS,IEA,IDA,IBA,ISS,IEP IEA,IBA IEA,IBA IEA,IDA TAS IEA,IDA,IEA,IEP,ISS IEA,IDA,ISS,ISS,IDA,IEA,IDA,ISS,IEA,IMP,IDA,IEA,IBA,IDA,IMP,IBA IEA,IEP IBA IEA,TAS,IEA,IMP ISS IEA,ISS,IEA,IDA,TAS,IEA,ISS,IDA IEA","CHCHD2,COMT,HSPA1A,HSPB1,CBR1,IFIT1,ROBO2,BNIP3,TSPO,CCS,PRNP,CCN3,MAP1LC3A,TXNRD2,KLHL22,ATP1A2,EPHX1,FBXO32,GJA1,CRKL,SFRP1,CPNE8,AKR1C1,ERO1A,CRYZ,CYP2R1,TGFB2,HMOX1,ESRRG,LYPD1,NQO1,ZNF703,GNGT1,HILPDA,GDF15,CALCRL,SIRPA,GUCA1A,CALCA,CRH,AKR1C2,FAM107A,KCNJ10,HBEGF,AKR1C3,HOXA2,PGF,CRYGD,ECHDC3,SRXN1,MT1E,SIGIRR,GPX3,PRKCZ,GUCY1B1,NDP,DHRS2,UGT2B7,KCNQ3,HRH1,EDN1"
