"gene","module"
"AP1G2","bisque4"
"BTBD17","bisque4"
"CAPN10","bisque4"
"CCDC51","bisque4"
"CHRDL1","bisque4"
"DBN1","bisque4"
"ELAC2","bisque4"
"EPOR","bisque4"
"F2R","bisque4"
"GAPDHP21","bisque4"
"GUCD1","bisque4"
"IL12A","bisque4"
"KC6","bisque4"
"KIAA2013","bisque4"
"KIZ","bisque4"
"KTI12","bisque4"
"MSC-AS1","bisque4"
"NCSTN","bisque4"
"OTUB1","bisque4"
"PAMR1","bisque4"
"PELI2","bisque4"
"PIK3IP1","bisque4"
"PMPCA","bisque4"
"PNPO","bisque4"
"PTDSS2","bisque4"
"RBMS1P1","bisque4"
"RRP12","bisque4"
"SLC25A51","bisque4"
"SLC26A6","bisque4"
"SLC29A3","bisque4"
"SLC8A2","bisque4"
"SNHG15","bisque4"
"SPRY2","bisque4"
"ST6GAL1","bisque4"
"STK25","bisque4"
"TARBP2","bisque4"
"THNSL2","bisque4"
"TMEM97","bisque4"
"TPD52","bisque4"
"TRAF4","bisque4"
"TRIM16L","bisque4"
"TRMU","bisque4"
"UBE3D","bisque4"
"UGT3A2","bisque4"
"ULK3","bisque4"
"VAX2","bisque4"
"VPS33A","bisque4"
"WBP1","bisque4"
"WDR46","bisque4"
"YARS2","bisque4"
"ABCA12","black"
"ABCA9-AS1","black"
"ABCC13","black"
"ABCG2","black"
"ACBD3-AS1","black"
"ACSBG2","black"
"ACSM2A","black"
"ACTG1","black"
"ACTG1P21","black"
"ADAM7","black"
"ADAMTS9-AS2","black"
"ADAMTSL1","black"
"ADGRE3","black"
"ADIPOR1P2","black"
"ADRB1","black"
"AGR2","black"
"AIFM3","black"
"AK3P2","black"
"AKIRIN2","black"
"AKNAD1","black"
"ALDH16A1","black"
"ALDH3A1","black"
"ALKAL1","black"
"AMD1P4","black"
"ANAPC15P2","black"
"ANAPC1P6","black"
"ANKRD20A21P","black"
"ANKRD20A3P","black"
"ANKRD62","black"
"ANKUB1","black"
"ANXA2R","black"
"ANXA4","black"
"AP1M2","black"
"AP4B1","black"
"APOBEC3C","black"
"APOL2","black"
"APOM","black"
"AQP4-AS1","black"
"ARHGEF26-AS1","black"
"ARHGEF28","black"
"ARL4A","black"
"ARMCX5","black"
"ASB11","black"
"ASB15","black"
"ATP1B4","black"
"ATP5F1AP2","black"
"ATP5F1CP1","black"
"ATP5MC1P5","black"
"ATP5PBP3","black"
"ATP6V0A4","black"
"ATP6V0D2","black"
"AURKBP1","black"
"AZGP1","black"
"B3GALT5-AS1","black"
"BAX","black"
"BCAR4","black"
"BCAS1","black"
"BCAS2P1","black"
"BFSP2","black"
"BHMT","black"
"BIN2","black"
"BIRC3","black"
"BMS1P9","black"
"BNIP5","black"
"BOLA3P2","black"
"BOLA3P4","black"
"BORCS8","black"
"BRD7P2","black"
"BTF3P14","black"
"C12orf42","black"
"C12orf50","black"
"C12orf60","black"
"C1orf54","black"
"C4orf17","black"
"C5AR2","black"
"C6orf132","black"
"C6orf52","black"
"C6orf58","black"
"C8orf82","black"
"C9orf50","black"
"CA5A","black"
"CA8","black"
"CAHM","black"
"CAPN2","black"
"CARD11-AS1","black"
"CASC17","black"
"CASC19","black"
"CASC2","black"
"CBX8","black"
"CCDC12P1","black"
