"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,9.41202530035723e-06,1316,96,24,0.25,0.0182370820668693,"GO:0007267","GO:BP","cell-cell signaling",21017,2795,"ISS IBA TAS,TAS,IBA,IEA,ISS IBA NAS IC IEA,IEA,ISS IEA,IMP IBA IEA,IBA IEA,TAS IEA,IEA,IEA,TAS,IDA IBA,IEA,ISS IBA,IEA,TAS,ISS,IBA IEA,IEA,IEA,IBA,IBA","ADRA1B,AMPH,BDNF,CELF4,DRD2,EPHB1,FOXL1,GABRA2,GABRG3,GIPR,GLP1R,GLRA2,GPR176,GRM7,GUCY1B1,INSYN2A,ITPKA,MBP,MYRIP,NAPB,RASD2,RNF10,STX11,SYT17","ADRA1B,AMPH,BDNF,CELF4,DRD2,EPHB1,FOXL1,GABRA2,GABRG3,GIPR,GLP1R,GLRA2,GPR176,GRM7,GUCY1B1,INSYN2A,ITPKA,MBP,MYRIP,NAPB,RASD2,RNF10,STX11,SYT17","ENSG00000170214,ENSG00000078053,ENSG00000176697,ENSG00000101489,ENSG00000149295,ENSG00000154928,ENSG00000176678,ENSG00000151834,ENSG00000182256,ENSG00000010310,ENSG00000112164,ENSG00000101958,ENSG00000166073,ENSG00000196277,ENSG00000061918,ENSG00000188916,ENSG00000137825,ENSG00000197971,ENSG00000170011,ENSG00000125814,ENSG00000100302,ENSG00000022840,ENSG00000135604,ENSG00000103528","GO:BP - cell-cell signaling"
"query_1",TRUE,9.73407343233706e-06,6496,96,57,0.59375,0.00877463054187192,"GO:0007154","GO:BP","cell communication",21017,2718,"ISS IBA IEA,IDA ISS IBA TAS IEA,TAS,ISS IBA TAS IEA,IBA IEA,TAS IEA,IDA IGI ISS TAS IEA,IDA IMP,IEA,IEA,IEA,TAS,IDA IGI ISS IBA NAS IC IEA,IGI IBA TAS IEA,IDA IBA IEA,IEA,IDA IBA,IDA NAS,ISS IEA,IEA,IMP IBA IEA,IBA IEA,TAS,IDA IBA TAS IEA,IDA IBA IEA,IDA IBA IEA,ISS IBA TAS IEA,IBA IEA,IDA IBA IEA,IDA ISS IBA TAS IEA,ISS IBA,TAS IEA,IEA,IDA TAS,ISS,IBA IEA,IEP IBA,IBA,NAS,IDA IEA,NAS,TAS,IDA ISS IBA TAS IC IEA,IEA,ISS IBA IEA,IBA IEA,IMP IBA IEA,IBA,IEA,IMP IBA,IBA,IBA,IMP IEA,ISS,IDA IBA IEA,ISS IBA IEA,IDA IBA IEA","ADCY2,ADRA1B,AMPH,BDNF,BEND6,CCK,CD36,CDH13,CELF4,CSRNP1,DCLK3,DDAH1,DRD2,DTX1,EPHB1,FAM3C,FAM83G,FOS,FOXL1,FREM3,GABRA2,GABRG3,GABRQ,GIPR,GLP1R,GLRA2,GPR176,GPR22,GRM7,GUCY1B1,INSYN2A,ITPKA,KLB,MBP,MYRIP,NAPB,NDRG1,NDRG3,NXPH4,PID1,PLA2G4C,PLPP4,PTH1R,RAB9B,RASD2,RASGEF1B,RCAN1,RFX8,RNF10,RNF183,STX11,SYT17,TIMP1,TMEM196,VEGFB,VWC2,WNT4","ADCY2,ADRA1B,AMPH,BDNF,BEND6,CCK,CD36,CDH13,CELF4,CSRNP1,DCLK3,DDAH1,DRD2,DTX1,EPHB1,FAM3C,FAM83G,FOS,FOXL1,FREM3,GABRA2,GABRG3,GABRQ,GIPR,GLP1R,GLRA2,GPR176,GPR22,GRM7,GUCY1B1,INSYN2A,ITPKA,KLB,MBP,MYRIP,NAPB,NDRG1,NDRG3,NXPH4,PID1,PLA2G4C,PLPP4,PTH1R,RAB9B,RASD2,RASGEF1B,RCAN1,RFX8,RNF10,RNF183,STX11,SYT17,TIMP1,TMEM196,VEGFB,VWC2,WNT4","ENSG00000078295,ENSG00000170214,ENSG00000078053,ENSG00000176697,ENSG00000151917,ENSG00000187094,ENSG00000135218,ENSG00000140945,ENSG00000101489,ENSG00000144655,ENSG00000163673,ENSG00000153904,ENSG00000149295,ENSG00000135144,ENSG00000154928,ENSG00000196937,ENSG00000188522,ENSG00000170345,ENSG00000176678,ENSG00000183090,ENSG00000151834,ENSG00000182256,ENSG00000268089,ENSG00000010310,ENSG00000112164,ENSG00000101958,ENSG00000166073,ENSG00000172209,ENSG00000196277,ENSG00000061918,ENSG00000188916,ENSG00000137825,ENSG00000134962,ENSG00000197971,ENSG00000170011,ENSG00000125814,ENSG00000104419,ENSG00000101079,ENSG00000182379,ENSG00000153823,ENSG00000105499,ENSG00000203805,ENSG00000160801,ENSG00000123570,ENSG00000100302,ENSG00000138670,ENSG00000159200,ENSG00000196460,ENSG00000022840,ENSG00000165188,ENSG00000135604,ENSG00000103528,ENSG00000102265,ENSG00000173452,ENSG00000173511,ENSG00000188730,ENSG00000162552","GO:BP - cell communication"
"query_1",TRUE,1.23960112431077e-05,783,96,18,0.1875,0.0229885057471264,"GO:0099536","GO:BP","synaptic signaling",21017,19115,"TAS,IBA,IEA,ISS IBA NAS IC IEA,IEA,IBA,IBA,IEA,TAS,IDA IBA,IEA,ISS IBA,IEA,TAS,IBA IEA,IEA,IEA,IBA","AMPH,BDNF,CELF4,DRD2,EPHB1,GABRA2,GABRG3,GLRA2,GPR176,GRM7,GUCY1B1,INSYN2A,ITPKA,MBP,NAPB,RASD2,RNF10,STX11","AMPH,BDNF,CELF4,DRD2,EPHB1,GABRA2,GABRG3,GLRA2,GPR176,GRM7,GUCY1B1,INSYN2A,ITPKA,MBP,NAPB,RASD2,RNF10,STX11","ENSG00000078053,ENSG00000176697,ENSG00000101489,ENSG00000149295,ENSG00000154928,ENSG00000151834,ENSG00000182256,ENSG00000101958,ENSG00000166073,ENSG00000196277,ENSG00000061918,ENSG00000188916,ENSG00000137825,ENSG00000197971,ENSG00000125814,ENSG00000100302,ENSG00000022840,ENSG00000135604","GO:BP - synaptic signaling"
"query_1",TRUE,1.36631959872629e-05,6471,96,56,0.583333333333333,0.0086539947457889,"GO:0023052","GO:BP","signaling",21017,6640,"ISS IBA IEA,IDA ISS IBA TAS IEA,TAS,ISS IBA TAS IEA,IBA IEA,TAS IEA,IDA IGI ISS TAS IEA,IDA IMP,IEA,IEA,IEA,TAS,IDA IGI ISS IBA NAS IC IEA,IGI IBA TAS IEA,IDA IBA IEA,IEA,IDA IBA,IDA NAS,ISS IEA,IMP IBA IEA,IBA IEA,TAS,IDA IBA TAS IEA,IDA IBA IEA,IDA IBA IEA,ISS IBA TAS IEA,IBA IEA,IDA IBA IEA,IDA ISS IBA TAS IEA,ISS IBA,TAS IEA,IEA,IDA TAS,ISS,IBA IEA,IEP IBA,IBA,NAS,IDA IEA,NAS,TAS,IDA ISS IBA TAS IC IEA,IEA,ISS IBA IEA,IBA IEA,IMP IBA IEA,IBA,IEA,IMP IBA,IBA,IBA,IMP IEA,ISS,IDA IBA IEA,ISS IBA IEA,IDA IBA IEA","ADCY2,ADRA1B,AMPH,BDNF,BEND6,CCK,CD36,CDH13,CELF4,CSRNP1,DCLK3,DDAH1,DRD2,DTX1,EPHB1,FAM3C,FAM83G,FOS,FOXL1,GABRA2,GABRG3,GABRQ,GIPR,GLP1R,GLRA2,GPR176,GPR22,GRM7,GUCY1B1,INSYN2A,ITPKA,KLB,MBP,MYRIP,NAPB,NDRG1,NDRG3,NXPH4,PID1,PLA2G4C,PLPP4,PTH1R,RAB9B,RASD2,RASGEF1B,RCAN1,RFX8,RNF10,RNF183,STX11,SYT17,TIMP1,TMEM196,VEGFB,VWC2,WNT4","ADCY2,ADRA1B,AMPH,BDNF,BEND6,CCK,CD36,CDH13,CELF4,CSRNP1,DCLK3,DDAH1,DRD2,DTX1,EPHB1,FAM3C,FAM83G,FOS,FOXL1,GABRA2,GABRG3,GABRQ,GIPR,GLP1R,GLRA2,GPR176,GPR22,GRM7,GUCY1B1,INSYN2A,ITPKA,KLB,MBP,MYRIP,NAPB,NDRG1,NDRG3,NXPH4,PID1,PLA2G4C,PLPP4,PTH1R,RAB9B,RASD2,RASGEF1B,RCAN1,RFX8,RNF10,RNF183,STX11,SYT17,TIMP1,TMEM196,VEGFB,VWC2,WNT4","ENSG00000078295,ENSG00000170214,ENSG00000078053,ENSG00000176697,ENSG00000151917,ENSG00000187094,ENSG00000135218,ENSG00000140945,ENSG00000101489,ENSG00000144655,ENSG00000163673,ENSG00000153904,ENSG00000149295,ENSG00000135144,ENSG00000154928,ENSG00000196937,ENSG00000188522,ENSG00000170345,ENSG00000176678,ENSG00000151834,ENSG00000182256,ENSG00000268089,ENSG00000010310,ENSG00000112164,ENSG00000101958,ENSG00000166073,ENSG00000172209,ENSG00000196277,ENSG00000061918,ENSG00000188916,ENSG00000137825,ENSG00000134962,ENSG00000197971,ENSG00000170011,ENSG00000125814,ENSG00000104419,ENSG00000101079,ENSG00000182379,ENSG00000153823,ENSG00000105499,ENSG00000203805,ENSG00000160801,ENSG00000123570,ENSG00000100302,ENSG00000138670,ENSG00000159200,ENSG00000196460,ENSG00000022840,ENSG00000165188,ENSG00000135604,ENSG00000103528,ENSG00000102265,ENSG00000173452,ENSG00000173511,ENSG00000188730,ENSG00000162552","GO:BP - signaling"
"query_1",TRUE,2.06243056794912e-05,753,96,17,0.177083333333333,0.0225763612217795,"GO:0007268","GO:BP","chemical synaptic transmission",21017,2796,"TAS,IBA,IEA,ISS IBA NAS IC IEA,IEA,IBA,IBA,IEA,TAS,IDA IBA,IEA,ISS IBA,IEA,TAS,IBA IEA,IEA,IBA","AMPH,BDNF,CELF4,DRD2,EPHB1,GABRA2,GABRG3,GLRA2,GPR176,GRM7,GUCY1B1,INSYN2A,ITPKA,MBP,NAPB,RASD2,STX11","AMPH,BDNF,CELF4,DRD2,EPHB1,GABRA2,GABRG3,GLRA2,GPR176,GRM7,GUCY1B1,INSYN2A,ITPKA,MBP,NAPB,RASD2,STX11","ENSG00000078053,ENSG00000176697,ENSG00000101489,ENSG00000149295,ENSG00000154928,ENSG00000151834,ENSG00000182256,ENSG00000101958,ENSG00000166073,ENSG00000196277,ENSG00000061918,ENSG00000188916,ENSG00000137825,ENSG00000197971,ENSG00000125814,ENSG00000100302,ENSG00000135604","GO:BP - chemical synaptic transmission"
"query_1",TRUE,2.06243056794912e-05,753,96,17,0.177083333333333,0.0225763612217795,"GO:0098916","GO:BP","anterograde trans-synaptic signaling",21017,18949,"TAS,IBA,IEA,ISS IBA NAS IC IEA,IEA,IBA,IBA,IEA,TAS,IDA IBA,IEA,ISS IBA,IEA,TAS,IBA IEA,IEA,IBA","AMPH,BDNF,CELF4,DRD2,EPHB1,GABRA2,GABRG3,GLRA2,GPR176,GRM7,GUCY1B1,INSYN2A,ITPKA,MBP,NAPB,RASD2,STX11","AMPH,BDNF,CELF4,DRD2,EPHB1,GABRA2,GABRG3,GLRA2,GPR176,GRM7,GUCY1B1,INSYN2A,ITPKA,MBP,NAPB,RASD2,STX11","ENSG00000078053,ENSG00000176697,ENSG00000101489,ENSG00000149295,ENSG00000154928,ENSG00000151834,ENSG00000182256,ENSG00000101958,ENSG00000166073,ENSG00000196277,ENSG00000061918,ENSG00000188916,ENSG00000137825,ENSG00000197971,ENSG00000125814,ENSG00000100302,ENSG00000135604","GO:BP - anterograde trans-synaptic signaling"
"query_1",TRUE,2.06243056794912e-05,759,96,17,0.177083333333333,0.0223978919631094,"GO:0099537","GO:BP","trans-synaptic signaling",21017,19116,"TAS,IBA,IEA,ISS IBA NAS IC IEA,IEA,IBA,IBA,IEA,TAS,IDA IBA,IEA,ISS IBA,IEA,TAS,IBA IEA,IEA,IBA","AMPH,BDNF,CELF4,DRD2,EPHB1,GABRA2,GABRG3,GLRA2,GPR176,GRM7,GUCY1B1,INSYN2A,ITPKA,MBP,NAPB,RASD2,STX11","AMPH,BDNF,CELF4,DRD2,EPHB1,GABRA2,GABRG3,GLRA2,GPR176,GRM7,GUCY1B1,INSYN2A,ITPKA,MBP,NAPB,RASD2,STX11","ENSG00000078053,ENSG00000176697,ENSG00000101489,ENSG00000149295,ENSG00000154928,ENSG00000151834,ENSG00000182256,ENSG00000101958,ENSG00000166073,ENSG00000196277,ENSG00000061918,ENSG00000188916,ENSG00000137825,ENSG00000197971,ENSG00000125814,ENSG00000100302,ENSG00000135604","GO:BP - trans-synaptic signaling"
"query_1",TRUE,7.60624278013633e-05,3985,96,40,0.416666666666667,0.0100376411543287,"GO:0048731","GO:BP","system development",21017,12988,"IEP IBA,ISS IEA,IEA,IDA ISS IBA TAS,IBA IEA,ISS,IDA IBA,IEA,IEA,IEA,IEA,ISS IEA,IGI IEA,IDA ISS IBA IEA,IEA,IEA,IMP ISS IEA,ISS IEA,IEA,IMP,IEA,IBA IEA,IEA,HEP IBA TAS IEA,IEA,IMP IBA,IEA,IEA,TAS IEA,IBA,ISS IBA IEA,ISS,IDA,IEA,IMP IEP ISS,IEA,IDA IBA IEA,ISS IEA,IMP IEP IBA NAS IEA,IDA ISS IBA IEA","ADAP2,AQP11,AQP5,BDNF,BEND6,CCK,CDH13,CELF4,CSRNP1,DDAH1,DIO3,DRD2,DTX1,EPHB1,FIG4,FOS,FOXL1,GABRA2,GIPR,GRM7,ITPKA,KLHL1,LRRN3,MBP,MYH15,MYH7,NAP1L2,NDRG1,PTH1R,RFX8,RNF10,SAMD11,SYT17,TAL1,TFAP2A,TIMP1,VEGFB,VWC2,WNT4,ZNF365","ADAP2,AQP11,AQP5,BDNF,BEND6,CCK,CDH13,CELF4,CSRNP1,DDAH1,DIO3,DRD2,DTX1,EPHB1,FIG4,FOS,FOXL1,GABRA2,GIPR,GRM7,ITPKA,KLHL1,LRRN3,MBP,MYH15,MYH7,NAP1L2,NDRG1,PTH1R,RFX8,RNF10,SAMD11,SYT17,TAL1,TFAP2A,TIMP1,VEGFB,VWC2,WNT4,ZNF365","ENSG00000184060,ENSG00000178301,ENSG00000161798,ENSG00000176697,ENSG00000151917,ENSG00000187094,ENSG00000140945,ENSG00000101489,ENSG00000144655,ENSG00000153904,ENSG00000197406,ENSG00000149295,ENSG00000135144,ENSG00000154928,ENSG00000112367,ENSG00000170345,ENSG00000176678,ENSG00000151834,ENSG00000010310,ENSG00000196277,ENSG00000137825,ENSG00000150361,ENSG00000173114,ENSG00000197971,ENSG00000144821,ENSG00000092054,ENSG00000186462,ENSG00000104419,ENSG00000160801,ENSG00000196460,ENSG00000022840,ENSG00000187634,ENSG00000103528,ENSG00000162367,ENSG00000137203,ENSG00000102265,ENSG00000173511,ENSG00000188730,ENSG00000162552,ENSG00000138311","GO:BP - system development"
"query_1",TRUE,7.60624278013633e-05,12671,96,81,0.84375,0.00639254991713361,"GO:0065007","GO:BP","biological regulation",21017,15890,"IEA,ISS IBA IEA,IDA ISS IBA TAS IEA,TAS,IDA IMP ISS IEA,IEP IEA,IDA ISS IBA TAS IEA,IBA IEA,TAS IEA,IDA IMP IGI ISS IBA TAS IEA,IDA IMP,IDA IBA IEA,ISS IBA IEA,IEA,IDA ISS IBA TAS IEA,IGI IBA TAS IEA,IDA IMP IGI ISS IBA NAS IC IEA,IGI IBA TAS IEA,IDA ISS IBA IEA,IEA,IDA IBA,IEA,IDA IMP IGI ISS IBA TAS NAS IEA,ISS IBA IEA,IDA IMP IEA,IMP IBA IEA,IBA IEA,TAS,IDA IBA TAS IEA,IDA IBA TAS IEA,IDA IBA IEA,ISS IBA TAS IEA,IBA IEA,IDA ISS IBA IEA,IEA,IDA ISS IBA TAS IEA,IDA IMP ISS IBA IEA,IMP,ISS IBA,TAS IEA,IEA,IEA,IDA TAS,IDA IMP IEA,ISS,IEA,IBA IEA,IEP IBA IEA,IBA NAS,NAS,IMP IBA,IDA IMP ISS IBA TAS IC IEA,NAS,IBA,IMP TAS,IDA ISS IBA TAS IC IEA,IEA,ISS IBA IEA,IBA IEA,IMP IBA IEA,IMP,IBA IEA,IDA ISS IBA IEA,IMP IBA,IBA IEA,IDA,IEA,ISS IBA IEA,IBA,IDA IMP,IDA IBA,IDA IMP ISS IBA IEA,IDA IMP ISS IBA IEA,IDA IMP IBA IEA,IDA IMP ISS,IBA TAS IEA,IDA IBA IEA,ISS IBA IEA,IDA IMP ISS IBA IEA,IDA IMP ISS IBA IEA,IBA IEA","ADAP2,ADCY2,ADRA1B,AMPH,AQP11,AQP5,BDNF,BEND6,CCK,CD36,CDH13,CELF4,CSRNP1,DCLK3,DDAH1,DIO3,DRD2,DTX1,EPHB1,FAM3C,FAM83G,FIG4,FOS,FOXL1,FTO,GABRA2,GABRG3,GABRQ,GIPR,GLP1R,GLRA2,GPR176,GPR22,GRM7,GSG1L,GUCY1B1,HABP4,HSPA1L,INSYN2A,ITPKA,KLB,LRRN3,MBP,MYH7,MYRIP,NAP1L2,NAPB,NDRG1,NDRG3,NXPH4,ODAPH,PID1,PLA2G4C,PLEKHB2,PLPP4,PTH1R,RAB9B,RASD2,RASGEF1B,RCAN1,RFK,RFX8,RNF10,RNF183,SAMD11,SERPINB8,ST3GAL1,STAC2,STX11,STX7,SYT17,TAL1,TFAP2A,TIMP1,TMEM196,TNFRSF9,VEGFB,VWC2,WNT4,ZNF365,ZNF442","ADAP2,ADCY2,ADRA1B,AMPH,AQP11,AQP5,BDNF,BEND6,CCK,CD36,CDH13,CELF4,CSRNP1,DCLK3,DDAH1,DIO3,DRD2,DTX1,EPHB1,FAM3C,FAM83G,FIG4,FOS,FOXL1,FTO,GABRA2,GABRG3,GABRQ,GIPR,GLP1R,GLRA2,GPR176,GPR22,GRM7,GSG1L,GUCY1B1,HABP4,HSPA1L,INSYN2A,ITPKA,KLB,LRRN3,MBP,MYH7,MYRIP,NAP1L2,NAPB,NDRG1,NDRG3,NXPH4,ODAPH,PID1,PLA2G4C,PLEKHB2,PLPP4,PTH1R,RAB9B,RASD2,RASGEF1B,RCAN1,RFK,RFX8,RNF10,RNF183,SAMD11,SERPINB8,ST3GAL1,STAC2,STX11,STX7,SYT17,TAL1,TFAP2A,TIMP1,TMEM196,TNFRSF9,VEGFB,VWC2,WNT4,ZNF365,ZNF442","ENSG00000184060,ENSG00000078295,ENSG00000170214,ENSG00000078053,ENSG00000178301,ENSG00000161798,ENSG00000176697,ENSG00000151917,ENSG00000187094,ENSG00000135218,ENSG00000140945,ENSG00000101489,ENSG00000144655,ENSG00000163673,ENSG00000153904,ENSG00000197406,ENSG00000149295,ENSG00000135144,ENSG00000154928,ENSG00000196937,ENSG00000188522,ENSG00000112367,ENSG00000170345,ENSG00000176678,ENSG00000140718,ENSG00000151834,ENSG00000182256,ENSG00000268089,ENSG00000010310,ENSG00000112164,ENSG00000101958,ENSG00000166073,ENSG00000172209,ENSG00000196277,ENSG00000169181,ENSG00000061918,ENSG00000130956,ENSG00000204390,ENSG00000188916,ENSG00000137825,ENSG00000134962,ENSG00000173114,ENSG00000197971,ENSG00000092054,ENSG00000170011,ENSG00000186462,ENSG00000125814,ENSG00000104419,ENSG00000101079,ENSG00000182379,ENSG00000174792,ENSG00000153823,ENSG00000105499,ENSG00000115762,ENSG00000203805,ENSG00000160801,ENSG00000123570,ENSG00000100302,ENSG00000138670,ENSG00000159200,ENSG00000135002,ENSG00000196460,ENSG00000022840,ENSG00000165188,ENSG00000187634,ENSG00000166401,ENSG00000008513,ENSG00000141750,ENSG00000135604,ENSG00000079950,ENSG00000103528,ENSG00000162367,ENSG00000137203,ENSG00000102265,ENSG00000173452,ENSG00000049249,ENSG00000173511,ENSG00000188730,ENSG00000162552,ENSG00000138311,ENSG00000198342","GO:BP - biological regulation"
"query_1",TRUE,0.000129163763198703,7234,96,57,0.59375,0.0078794581144595,"GO:0032501","GO:BP","multicellular organismal process",21017,7611,"IEP IBA,IBA IEA,ISS IEA,IEP IEA,IDA ISS IBA TAS,IBA IEA,ISS IBA IEA,IMP ISS IBA TAS IEA,IDA IBA,NAS IEA,IEA,IEA,IDA ISS IEA,IEA,IDA ISS NAS IEA,IGI IEA,IDA ISS IBA IEA,IEA,IEA,IMP ISS IEA,IEA,ISS IEA,IEA,IBA IEA,IEA,ISS IEA,IMP,TAS,ISS IBA,IEA,IBA IEA,IEA,IDA HEP IBA TAS IEA,IEA,IDA IMP IBA TAS IEA,IEA,IEA,IMP IBA,NAS,IEA,TAS IEA,ISS IEA,IEA,IBA,ISS IBA IEA,ISS,IEA,IBA,IDA,IDA IMP IEP ISS IEA,IDA IMP IEP ISS,IMP IEA,IEA,IDA IBA IEA,ISS IEA,IDA IMP IEP IBA NAS IEA,IDA ISS IBA IEA","ADAP2,ADRA1B,AQP11,AQP5,BDNF,BEND6,CCK,CD36,CDH13,CELF4,CFAP221,CSRNP1,DDAH1,DIO3,DRD2,DTX1,EPHB1,FIG4,FOS,FOXL1,FTO,GABRA2,GIPR,GLP1R,GLRA2,GPR176,GRM7,GUCY1B1,INSYN2A,ITPKA,KLHL1,LRRN3,MBP,MYH15,MYH7,NAP1L2,NDRG1,ODAPH,PLA2G4C,PLPP4,PTH1R,RASD2,RCAN1,RFX8,RNF10,SAMD11,ST3GAL1,STAC2,SYT17,TAL1,TFAP2A,TIMP1,TNFRSF9,VEGFB,VWC2,WNT4,ZNF365","ADAP2,ADRA1B,AQP11,AQP5,BDNF,BEND6,CCK,CD36,CDH13,CELF4,CFAP221,CSRNP1,DDAH1,DIO3,DRD2,DTX1,EPHB1,FIG4,FOS,FOXL1,FTO,GABRA2,GIPR,GLP1R,GLRA2,GPR176,GRM7,GUCY1B1,INSYN2A,ITPKA,KLHL1,LRRN3,MBP,MYH15,MYH7,NAP1L2,NDRG1,ODAPH,PLA2G4C,PLPP4,PTH1R,RASD2,RCAN1,RFX8,RNF10,SAMD11,ST3GAL1,STAC2,SYT17,TAL1,TFAP2A,TIMP1,TNFRSF9,VEGFB,VWC2,WNT4,ZNF365","ENSG00000184060,ENSG00000170214,ENSG00000178301,ENSG00000161798,ENSG00000176697,ENSG00000151917,ENSG00000187094,ENSG00000135218,ENSG00000140945,ENSG00000101489,ENSG00000163075,ENSG00000144655,ENSG00000153904,ENSG00000197406,ENSG00000149295,ENSG00000135144,ENSG00000154928,ENSG00000112367,ENSG00000170345,ENSG00000176678,ENSG00000140718,ENSG00000151834,ENSG00000010310,ENSG00000112164,ENSG00000101958,ENSG00000166073,ENSG00000196277,ENSG00000061918,ENSG00000188916,ENSG00000137825,ENSG00000150361,ENSG00000173114,ENSG00000197971,ENSG00000144821,ENSG00000092054,ENSG00000186462,ENSG00000104419,ENSG00000174792,ENSG00000105499,ENSG00000203805,ENSG00000160801,ENSG00000100302,ENSG00000159200,ENSG00000196460,ENSG00000022840,ENSG00000187634,ENSG00000008513,ENSG00000141750,ENSG00000103528,ENSG00000162367,ENSG00000137203,ENSG00000102265,ENSG00000049249,ENSG00000173511,ENSG00000188730,ENSG00000162552,ENSG00000138311","GO:BP - multicellular organismal process"
