"module","cor","p.value","p.adj"
"MEplum1",-0.70493151689955,0.00229074082291704,0.109955559500018
"MEblack",0.647304760594405,0.00671429045653867,0.13081265002006
"MEdarkmagenta",0.635341671815649,0.00817579062625376,0.13081265002006
"MEdarkorange",0.535578314937122,0.0325060795180694,0.261619717679339
"MEbrown4",0.528928475105414,0.0351494226075856,0.261619717679339
"MEblue",0.510905847241589,0.0431321517642388,0.261619717679339
"MEtan",0.502831006802171,0.047119324033551,0.261619717679339
"MEivory",0.499623663908995,0.0487770106821547,0.261619717679339
"MEorange",0.499096260061884,0.049053697064876,0.261619717679339
"MEdarkgreen",0.485798739602879,0.0564228540754008,0.270829699561924
"MEpink",-0.446171808058583,0.0832215725125214,0.363148680054639
"MEturquoise",-0.401383134834744,0.123331111966913,0.453831273184805
"MEdarkolivegreen",-0.371849006170337,0.156131561777562,0.453831273184805
"MEfloralwhite",-0.358702461955408,0.172459193313739,0.453831273184805
"MEdarkturquoise",0.35486305959781,0.177433455124607,0.453831273184805
"MEbrown",-0.339559770615137,0.198197474455092,0.453831273184805
"MEcyan",0.336902831758512,0.201956383979826,0.453831273184805
"MEdarkred",-0.332170880774483,0.208764461862279,0.453831273184805
"MEsteelblue",-0.331958948462287,0.209072788063486,0.453831273184805
"MEyellow",0.326578590304533,0.216998459485095,0.453831273184805
"MElightgreen",0.324035249651754,0.220810842496429,0.453831273184805
"MEgreenyellow",0.31333924851833,0.237308047224285,0.453831273184805
"MEpurple",0.312830429782958,0.23811156188982,0.453831273184805
"MEsienna3",-0.304982340516161,0.250720918336901,0.453831273184805
"MEsalmon",0.296589448937228,0.264654504176373,0.453831273184805
"MEmagenta",0.295553984402223,0.266405702310579,0.453831273184805
"MEyellowgreen",-0.291380081128936,0.273536272984813,0.453831273184805
"MEdarkorange2",0.291340613112013,0.273604246239106,0.453831273184805
"MEskyblue",-0.287582544239614,0.280123466615956,0.453831273184805
"MEgreen",0.28557471938412,0.283644545740503,0.453831273184805
"MEorangered4",-0.272374709660863,0.307451177013514,0.464512784271729
"MEpaleturquoise",0.271172929845492,0.309675189514486,0.464512784271729
"MEwhite",-0.265628858735626,0.320056705849397,0.465537026690032
"MEmediumpurple3",-0.259683220666478,0.331411593325658,0.467875190577399
"MEbisque4",-0.251678817733216,0.347057847656282,0.475965048214329
"MElightcyan",0.245105797589376,0.360212237730575,0.480282983640766
"MEdarkgrey",-0.227962338489105,0.395800008508074,0.513470281307772
"MEmidnightblue",0.13049252154408,0.630020776103806,0.795815717183755
"MElightcyan1",0.116899370000338,0.666358935816442,0.820134074851006
"MEgrey",0.0971887003242485,0.720291484340353,0.864349781208424
"MEred",-0.0812812322899396,0.764751850192001,0.878109142674881
"MEviolet",0.0800069004000881,0.768345499840521,0.878109142674881
"MEskyblue3",0.0574795506816222,0.832542825830463,0.926051704724648
"MElightsteelblue1",-0.048039746023323,0.859765829703961,0.926051704724648
"MEsaddlebrown",-0.0451351724086303,0.868173473179358,0.926051704724648
"MEroyalblue",0.0290661393021187,0.914903986097405,0.954682420275553
"MEgrey60",0.0175560419040749,0.948546572049983,0.968728414008494
"MElightyellow",0.00578094508898987,0.983047834150885,0.983047834150885
