"","004-A","004-B","004-C","004-185-KD-A","004-185-KD-B","004-185-KD-C"
"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",-0.3320749761551,-0.142902384840922,-0.303527721867156,0.31600117443324,0.428187459950953,0.107614654768522
"GOBP_REPRODUCTION",-0.0102636739739759,-0.0422633996674379,-0.077499785122057,0.0508720076604574,0.0391944836472529,0.0547512862175771
"GOBP_SINGLE_STRAND_BREAK_REPAIR",-0.137842189714962,-0.421315195263652,0.0568042812294334,0.215591884100856,0.0640715905580191,0.429251003325188
"GOBP_REGULATION_OF_DNA_RECOMBINATION",-0.289905874298156,-0.216565793043953,-0.277776035858788,0.224776123088341,0.244040532665833,0.394314838968232
"GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",-0.246949532925697,0.101530774907403,-0.383367658278037,0.574664535823198,-0.108820932399169,0.286568605300331
"GOBP_MITOTIC_SPINDLE_ELONGATION",-0.579524715764552,-0.273572225128469,-0.196097538220601,0.363433760428684,0.313267769147614,0.507416060090798
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",-0.583428414909851,0.481723624380964,-0.502413318978066,0.36580160210853,0.269580674220163,0.0191185662397929
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",-0.460382450923621,0.464579126353893,-0.447929860969759,-0.087877746299636,0.0529251421122319,0.211112503151062
"GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.319648872758363,0.197955318597416,0.152356414177285,0.0273578345565098,-0.0773951184788575,-0.378697143444485
"GOBP_TRANSITION_METAL_ION_TRANSPORT",0.269526016055644,0.162543090269921,0.00606375288596789,-0.284269921072648,-0.116191370409696,-0.0805402204724503
"GOBP_UREA_CYCLE",-0.272986369320646,-0.130478747243837,0.0478479671788087,0.20485035832251,-0.381595637136613,0.539320345252964
"GOBP_CITRULLINE_METABOLIC_PROCESS",-0.0621791019736862,-0.0780919649227684,-0.155134801682216,0.314072858038234,-0.258577609100708,0.244336185868699
"GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.52880572528315,-0.410707439511215,-0.363389946751266,0.352476613714028,0.558555453448519,0.454527660203201
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.506192042011275,-0.290363347178181,-0.144654951142694,0.270738706771276,0.63014336978483,0.225567020819916
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.493478302491902,-0.265614945855693,-0.306444695824476,0.214526579449787,0.477738343664723,0.356536763474905
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",-0.170043995711817,-0.229531906316334,-0.297498633234479,0.27817801593258,0.308140167049139,0.322832436021942
"GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING",-0.189263881113751,-0.255848407576733,-0.251456534915733,0.239009786780081,0.176488182622367,0.300202974013804
"GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING",-0.281273151455724,-0.456221638709248,-0.235559690916935,0.261861011608544,0.420885637492023,0.540369569711179
"GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",-0.116428520646957,0.0292443159353539,0.057212512335238,0.0400718154999447,-0.0903278172003779,0.103908467851184
"GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS",0.128948393777865,0.0905616978316618,-0.148033572732184,-0.164199996935903,-0.244446785820472,0.178471794837311
"GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS",0.0333134534186878,0.0540629894924217,-0.32527815571671,0.0732383965588376,-0.134706353468693,0.108799972586305
"GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS",0.0195456618688637,0.38598597051958,0.415395884692526,-0.190902279368777,-0.671267086944988,0.237378776203063
"GOBP_SULFUR_AMINO_ACID_TRANSPORT",-0.107304745248999,0.118883657726814,-0.0835478966510232,-0.127466107712628,0.168137358061504,-0.32499377377522
"GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",-0.0932162196547698,-0.126211798125922,-0.113517055454894,0.0796729028949973,0.151048144981893,0.137621668251924
"GOBP_RRNA_MODIFICATION",-0.590506680720172,0.0782216089526805,-0.441525654199284,0.268887596358386,0.340138585115191,0.481478589461265
"GOBP_MAPK_CASCADE",0.109508080358564,0.00459992362906256,0.0684434310340574,-0.0569747526061668,-0.0953283604493962,-0.0631590212095974
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",-0.364840054316444,-0.0836776364901641,-0.304297768571138,0.304126756615259,0.0156071865397089,0.382944533511992
"GOBP_PROTEIN_POLYUBIQUITINATION",-0.0047468624056525,-0.14046618466477,-0.0157699807252485,0.0723821257417909,0.174245823127798,-0.00832289870017054
"GOBP_MEIOTIC_SPINDLE_ORGANIZATION",-0.26955402569698,-0.0843233988320076,-0.476585001184481,0.32869978615659,0.317484483635009,0.232736418413308
"GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION",-0.0129002307303585,-0.107468475813945,-0.0418695539613406,0.0371010738533938,0.0601095691576216,0.0605341485891848
"GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY",-0.443184769702389,0.0990686471460518,-0.252455430656427,0.187148381479429,0.316026111454456,0.232587543059392
"GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY",-0.38305166223705,-0.00690130798083796,-0.36480314162833,0.321254216015051,0.152447165199113,0.274610907637885
"GOBP_ALLANTOIN_METABOLIC_PROCESS",-0.280749986068161,-0.265184584618383,-0.232961515748628,0.53462651602461,0.109238163678186,0.30653158114808
"GOBP_MITOCHONDRIAL_FISSION",0.107898287925022,0.104506307529239,-0.108450444440952,-0.193733906538345,-0.00900091563556199,0.0818013372702883
"GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS",0.454675479195894,-0.744606069575565,0.615128339640157,0.403486690113682,0.419156847811436,-0.703807719059452
"GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS",0.149268402682139,-0.0233342396648325,0.0423665921925963,-0.0553785013130423,-0.125528035252859,-0.110542899333394
"GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS",0.300815431456658,0.294489648937895,-0.0734971075533085,-0.429597262781706,-0.341872188721488,0.0387908599130312
"GOBP_MITOTIC_CELL_CYCLE",-0.121699556185527,-0.0695601585450425,-0.139047653924055,0.115112752018133,0.0916230665051238,0.167952873224652
"GOBP_MITOTIC_CYTOKINESIS",-0.192662108389441,0.0184963160484804,0.025050148816217,0.0669218866529805,-0.0335779079004579,0.17596480562385
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",-0.235371077408095,-0.301657912009476,-0.32335284506697,0.326725046367741,0.314772654926675,0.413302291854836
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING",-0.174595227139486,-0.284051903509031,-0.300658479531657,0.372068013614978,0.272976928441663,0.370476729985874
"GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA",-0.251497358282985,-0.319803977818162,-0.467492242086205,0.447392958237869,0.529230073164106,0.268205243109976
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC",-0.00351588660665772,-0.0639024351695546,-0.503178615303503,0.362638919535754,0.151046261674354,0.237042161531771
"GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI",-0.575384247048208,-0.488761056331126,-0.606339583682808,0.498408311180693,0.669620328024235,0.606874635932053
"GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES",0.0197875348301297,0.181191608802521,-0.0249376449181474,-0.133432413599753,-0.100494604288984,-0.0581570050653534
"GOBP_RESPONSE_TO_OXYGEN_RADICAL",0.311562105589448,0.300931561673257,0.125108219716435,-0.294002349011303,-0.0782636356992996,-0.398909894409347
"GOBP_PROTEIN_DENEDDYLATION",-0.477183637553658,0.449607576543274,-0.485069970142067,0.329082247597028,0.0186691830019488,0.338865842533702
"GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP",-0.210483870967673,0.233699461560269,0.184587813620104,-0.53530413080349,-0.0504562249956204,0.268818846680399
"GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",-0.381529148683134,0.0685499666412949,-0.318081446716078,0.239046476840817,0.216924996453808,0.28164041278044
"GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",-0.123817766613559,-0.124017614190733,-0.0303185355613887,0.0915870254034662,-0.0428244514393644,0.189751823886619
"GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",-0.0307990433340837,-0.107276169082599,0.00719076167861665,-0.0206247277400252,-0.103670683464065,0.136259101241287
"GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY",-0.470729384547863,0.247258856177083,-0.379857427073776,0.224585113850092,0.311622407686766,0.185018465197454
"GOBP_MRNA_3_SPLICE_SITE_RECOGNITION",-0.734922484092859,0.22732808564709,-0.2846423660701,0.494936822296003,0.487332519353111,0.374420577284827
"GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION",-0.641534918777096,0.280442546002876,-0.248669661957494,0.596263273444209,0.388908062207645,0.0588163907206267
"GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION",-0.376985469492766,-0.115151882077316,-0.0333972467083967,0.254449778617429,0.274678754860347,0.15475504333083
"GOBP_MRNA_5_SPLICE_SITE_RECOGNITION",-0.0726710475445537,-0.121207605930259,0.203148466357559,0.17691861602135,-0.235133983524158,-0.0731681928077069
"GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION",-0.447657666596084,0.358183086572274,-0.254143213884389,-0.0277103661494817,0.111736467864509,0.205717501238695
"GOBP_AUTOPHAGY_OF_MITOCHONDRION",-0.220282676785769,0.264237809483823,-0.261582791117916,-0.0134720144494082,0.0283274947625307,0.0268382900221149
"GOBP_MITOPHAGY",-0.173084656082366,0.236134184667129,-0.171175104739877,0.0405330051248436,-0.127101898048893,0.090552012719074
"GOBP_PEXOPHAGY",-0.0839680974998042,0.277265666106562,-0.196678291700459,0.086269473832404,-0.200336101430848,0.0837355187638061
"GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.354188281879602,-0.120762005000263,-0.346082598509091,0.34230131733293,0.545790577921416,0.178711105997008
"GOBP_MATURATION_OF_5_8S_RRNA",-0.47586995918207,-0.102414067004326,-0.383565558871579,0.395734146331543,0.383999646954663,0.363468132844556
"GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.472772492505461,0.16360654673777,-0.417804073456007,0.231435546946563,0.380490649106045,0.32875345865505
"GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.585053417471935,-0.247861141573015,-0.581862412757165,0.481852510307431,0.399188731961629,0.572504370433515
"GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.47679459130505,-0.184426849181834,-0.383193222096365,0.391279659979984,0.440691715461942,0.407258653375427
"GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING",-0.499696184563084,-0.138385111056314,-0.397852164823119,0.421950373132929,0.413589857571663,0.427991419800486
"GOBP_MATURATION_OF_LSU_RRNA",-0.604846606160677,-0.16908649720523,-0.571991964944094,0.479259284391995,0.375006213603289,0.542369378968201
"GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING",-0.442712815626123,-0.218588067021956,-0.462412644428686,0.449287909824344,0.468608903709358,0.36829209324797
"GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.627530372126179,-0.322603245032508,-0.469425468839761,0.477962122555407,0.649138193761743,0.566736125631145
"GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY",-0.547249441812958,0.141113940651596,-0.286705279513563,0.190678617282819,0.186301328979044,0.477254162583742
"GOBP_BOX_C_D_SNORNP_ASSEMBLY",-0.49848944500601,0.235713498580386,-0.260145017791944,0.0840624077171579,-0.0313540564458357,0.482950528854078
"GOBP_EMBRYONIC_AXIS_SPECIFICATION",0.319351641570345,-0.154883278547645,0.211355740587098,-0.124038482214104,-0.102556636878172,-0.0620318940035661
"GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES",0.019583078219431,0.29233913200001,-0.209435835208324,0.0748304008061647,-0.339679707622974,0.234221816116073
"GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION",-0.308753991272731,0.0744827149851311,-0.34479210520604,0.115358876801356,0.31378080137421,0.142671336074445
"GOBP_TELOMERE_MAINTENANCE",-0.343069494721108,-0.104637955385552,-0.290731230311706,0.249445036596246,0.20957324991844,0.339757864729205
"GOBP_RECOMBINATIONAL_REPAIR",-0.147067218179654,-0.190430806447805,-0.262983699496664,0.184358662034616,0.108314365157333,0.340248847954637
"GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION",-0.0362326027036517,-0.132274429988889,-0.52741472232205,0.562712132968031,-0.234514725413468,0.375901186008175
"GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING",-0.320253172741642,-0.297019187926042,-0.324323990926836,0.3715923285171,0.341251217561841,0.363287500807784
"GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR",-0.30542305096246,0.0969276263130666,-0.194392652243148,0.26587712328379,0.250014872281031,-0.054776733340246
"GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC",0.137649606316718,0.536125580057461,-0.0204162131922375,-0.0551458350471252,-0.387610990673758,-0.388730779449
"GOBP_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC",-0.597306236122576,0.154917629134216,-0.689259425999452,0.363554834648251,0.634429924978925,0.186114810207204
"GOBP_SISTER_CHROMATID_SEGREGATION",-0.165266922148442,-0.197464689923629,-0.276181839000504,0.282675512661099,0.228271099985402,0.33144683930726
"GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS",0.520307062675869,0.538364558320308,0.553149534620965,-0.719525679177819,-0.462305244561987,-0.617767616135611
"GOBP_CELL_MORPHOGENESIS",0.268457614669455,-0.0646488267947752,0.264054148667006,-0.221259165671056,-0.198604637794735,-0.149902673392472
"GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION",0.271837492218827,-0.0324196388019445,0.278239708712173,-0.239997088344405,-0.262430071329176,-0.155395264421012
"GOBP_CYTOKINESIS",-0.091908442817586,-0.0615348731749226,0.0233207418583591,0.0615005345025402,0.0683004939246537,0.197993940744098
