"","004-A","004-B","004-C","004-214-OE-A","004-214-OE-B","004-214-OE-C"
"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",-0.0673041861279532,-0.0534383253762085,-0.252132293669329,-0.0249609358025538,0.125907447084736,0.304887963252933
"GOBP_REPRODUCTION",0.0285801368104933,-0.0505486111702362,-0.0812145222013432,0.0212322547241403,0.0413462426543662,0.0461895786533236
"GOBP_SINGLE_STRAND_BREAK_REPAIR",0.0623508844343623,-0.206225746040904,-0.171759390002848,0.233682821064875,0.0845385095657482,0.00660657094651165
"GOBP_REGULATION_OF_DNA_RECOMBINATION",-0.132166089639122,-0.113552207872342,-0.172069106928053,0.134546000586551,0.123287277085075,0.13042358438294
"GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",-0.465672768811678,-0.111005372493493,-0.537945281982667,0.510043204223029,-0.0933370976848581,0.396287408243959
"GOBP_MITOTIC_SPINDLE_ELONGATION",-0.177257550806798,-0.132735387853575,-0.260268869634997,0.32334086665052,0.025849938262434,0.462703970835982
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",-0.359965917882887,0.53717968105058,-0.340946664479224,-0.158541562342096,-0.0296874443750275,0.140767465935663
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",-0.500399685538682,0.425590046746455,-0.366819065824658,-0.361627864659299,0.243846125564736,0.101143374072552
"GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.106303420987728,0.0228558941758378,-0.090282888684901,0.0833413663756817,0.132043273356211,-0.205122727437112
"GOBP_TRANSITION_METAL_ION_TRANSPORT",0.231507984972446,-0.00235652400007549,-0.193544537078698,-0.0804160201748991,-0.0131711896113208,-0.0546175571830837
"GOBP_UREA_CYCLE",0.0433483186943749,0.0247755957392919,0.343833628335663,-0.724378189729293,0.268013752452416,-0.0447820194261923
"GOBP_CITRULLINE_METABOLIC_PROCESS",0.41495875711708,0.00872405959210956,0.295845470049509,-0.707295796112472,0.071774682866626,-0.0139451626339448
"GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.00238983107200055,-0.204538365710168,-0.00177999090715544,0.416062913587906,0.13683729765442,-0.352729593334804
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.315732807994449,-0.413632581000046,0.231408347977608,0.649735607783984,-0.065371825770614,-0.103072721038243
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",0.138934101731468,-0.239305010198982,0.135896240787931,0.285562069262302,-0.0153508937502816,-0.564496349133874
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.030442624003931,-0.112826939474125,-0.152662888825936,0.240322936687905,-0.0226700029263864,0.15956088375095
"GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING",-0.0654359554248825,-0.178458731162319,-0.137074913851557,0.212015872753092,0.164426748404555,0.131860738461795
"GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING",-0.0381307947141845,-0.117581495352659,0.163954435128718,-0.00868084036791497,0.0713637202013451,-0.0498335847383682
"GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",-0.296360452532606,-0.188783814962011,-0.218552281073712,0.371336974299722,0.246006779080173,0.0245171918966117
"GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS",0.234222809271234,0.118836652050303,0.217698811820861,-0.104492606435875,-0.151110196187437,-0.335635079140875
"GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS",0.151719253417673,0.0168126261941732,0.099258009625485,-0.231440638438333,-0.122751057323325,-0.267366143590961
"GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS",0.114624362238722,0.171194188758414,0.5026392183535,0.239193988189423,-0.441075619502596,-0.464373485048926
"GOBP_SULFUR_AMINO_ACID_TRANSPORT",0.00982859654810597,0.203991470194166,0.0983811311036945,-0.431296606565546,-0.132596507248246,0.213372957639624
"GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",-0.080497625308633,-0.110012617066948,-0.111803980814567,0.0838508275298862,0.105139637624077,0.138369738686594
"GOBP_RRNA_MODIFICATION",-0.485944879314224,0.360048752262636,-0.153027858227168,0.123333319877741,-0.033126397783768,0.296076626690185
"GOBP_MAPK_CASCADE",0.144201923543654,-0.0307459606990603,0.15488771867171,-0.151133400397778,-0.103336300757349,-0.0417029916724149
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",-0.191461942877668,0.170805914206262,0.0127955234131331,-0.0106407125197119,0.0494181913324111,-0.138738348432632
"GOBP_PROTEIN_POLYUBIQUITINATION",0.215898498419438,0.0184399982313605,0.273595992845191,-0.094514896718287,-0.266649884362049,-0.241848245652338
"GOBP_MEIOTIC_SPINDLE_ORGANIZATION",0.138802969790028,0.230579080136765,-0.113803538979771,0.253084248973119,-0.285185945847548,-0.283964295711106
"GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION",0.0611441713426449,-0.065259430991486,0.064273500834753,0.0362395903838967,-0.0424883770623585,-0.0638845514143366
"GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY",-0.506705031023554,0.114812012804494,-0.241664170671495,0.534008411396244,0.152294895231733,0.21959118994376
"GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY",-0.351891889726334,0.0231008413640029,-0.282574095863919,0.231754442403755,0.231528600299452,0.181676021011149
"GOBP_ALLANTOIN_METABOLIC_PROCESS",0.403045076130966,-0.14487911968501,0.206728663164228,-0.686735222513773,0.570656370960093,-0.0336210535603647
"GOBP_MITOCHONDRIAL_FISSION",0.256149834211002,0.171773087254995,-0.0667120195070648,-0.134587790726731,-0.09552789166865,-0.27551447040325
"GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS",0.082942806165213,-0.804478762430567,0.562110293643746,-0.602961846190158,0.848529328741648,-0.0931519223169681
"GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS",0.155852917662567,-0.0319049553007343,0.0531521057810073,-0.0405288407143027,-0.171203608984626,-0.024724194939951
