"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KLF10",3111.33954419471,4.67729518926183,0.0817557009728025,57.2106303732607,0,0
"KIF5B",13960.931732592,1.721639595233,0.0540612232418634,31.8461087632181,1.49015301207953e-222,1.61681601810629e-218
"JUN",7949.73609366285,1.45739039324597,0.0504909403821157,28.8643939331775,3.34295995887163e-183,2.41807437025048e-179
"NES",7910.32186731161,1.25506126668225,0.0463351787077698,27.0865744275588,1.41730182243584e-161,7.68886238671444e-158
"AEN",1034.59770627308,2.69036711082918,0.104370393078989,25.7771100736687,1.60150545427143e-146,6.950533671538e-143
"NR1D1",452.427269007817,4.7954855505889,0.194595300508657,24.6433780160871,4.33370547300273e-134,1.56735681273599e-130
"TCHH",988.634619468314,2.5501471039978,0.116586774540785,21.8733824144495,4.65736390742363e-106,1.44378281130132e-102
"LHX9",1755.2689571118,-1.65539943154444,0.0850396744943013,-19.466201409971,2.1245420867483e-84,5.12250703138202e-81
"NPTX2",3188.35047377159,1.23360522827596,0.0633654508718724,19.4681046422341,2.0470679883839e-84,5.12250703138202e-81
"EDA2R",448.880832708065,2.96155119323327,0.158246541786694,18.7147924990692,3.75079361040543e-78,8.13922213457979e-75
"SLC3A2",6048.36786041137,0.954665032350942,0.0512163898137614,18.6398345494948,1.52712382541366e-77,3.01259881922513e-74
"ATF3",750.733301281713,2.18752468713029,0.117625977713288,18.5972922789416,3.37952111767663e-77,6.11130068779858e-74
"MIAT",37231.8399878363,-0.794740842210063,0.043461463600926,-18.2861039726497,1.06779555567939e-74,1.7823971967879e-71
"TINCR",439.527206948831,2.89725935914024,0.159637039037252,18.1490422060769,1.3065929102668e-73,2.02521901091355e-70
"H3-3B",16326.7026705225,0.779330648780128,0.043245224121906,18.0211957413664,1.32841028017708e-72,1.92176687198951e-69
"P2RX3",11080.3658288952,-0.901017339317788,0.0510471384417023,-17.6506924153404,1.00516252963999e-69,1.36325168082424e-66
"DUSP6",2884.11670137122,1.14604367618177,0.0650031182062516,17.6305953899847,1.43448479385765e-69,1.83107764863006e-66
"SON",14468.3809773865,0.720727451189403,0.0419227718858796,17.1917890627875,3.05944039867652e-66,3.68832536951558e-63
"GRIN3A",5146.9053227066,-0.92764858294973,0.0547573598609452,-16.9410757805977,2.2399076258933e-64,2.55821028852024e-61
"TNFRSF10B",1591.91663871527,1.46604526316455,0.0869132466148372,16.867915079291,7.74833115140354e-64,8.40693929927284e-61
"CALB1",1508.13594351649,-1.48316967827385,0.0882765582307553,-16.8013990123725,2.38355079485189e-63,2.46300248801362e-60
"CDKN1A",709.05067076011,2.18816351012526,0.131313503786197,16.6636594640564,2.40827648425138e-62,2.37543635037523e-59
"SLIT1",7213.89715578149,-0.780283978919678,0.0471602411014873,-16.5453772223202,1.72878468014398e-61,1.63107076344019e-58
"MIR4435-2HG",476.061767391918,2.17101065880928,0.13176624402819,16.4762278444,5.43733116756805e-61,4.91625359734278e-58
"PTN",7902.01576561275,-0.823124629920856,0.0502398237980054,-16.383907579579,2.49205973832489e-60,2.163107852866e-57
"UBR4",17838.866635191,0.684919199084677,0.0423704159183122,16.1650336500157,8.89893165710392e-59,7.42718526765981e-56
"MEG3",83908.3209453845,-0.577546736619461,0.0358386203913758,-16.1152056165209,1.9949929539088e-58,1.60338322591929e-55
"PPM1D",1077.46678336761,1.53408408373006,0.0966551909795455,15.8717195443202,9.94777011726511e-57,7.70952184088046e-54
"EPHA5",4548.82078346099,-0.914312965024306,0.0583855908591867,-15.659907719859,2.84309448128518e-55,2.12741897392718e-52
"DNTTIP2",3540.77395260873,0.865907153062363,0.0561717729884171,15.4153430984085,1.29083467343581e-53,9.3370374711857e-51
"CRY1",1422.73351572476,1.27087578110702,0.0829171903907027,15.3270482890061,5.04391416121756e-53,3.53073991285229e-50
"CSRNP1",579.540110549426,1.92624036674813,0.126655277484582,15.208528258782,3.10444080528915e-52,2.1051989210867e-49
"CLIC1",4048.18488260601,0.880915139595946,0.0587494454746708,14.9944417769142,7.98310448600063e-51,5.24949598018829e-48
"ATP1B2",2287.2035890371,-0.984440118097925,0.0659945306036664,-14.9169955311908,2.55522330310658e-50,1.63083369639449e-47
"H2AJ",508.879986955595,1.95785941898644,0.132286766898004,14.8001154227013,1.46231474961979e-49,9.06635144764267e-47
"CDH20",366.980785664173,-2.3506351821857,0.159100253909278,-14.774553304774,2.13769767864128e-49,1.28855665629211e-46
"FOSL2",590.712860593948,1.97654576001846,0.134845460315593,14.6578591180789,1.1999718558758e-48,7.03767277635265e-46
"FOS",1900.90801956628,1.12257163223483,0.078643754223216,14.2741358588836,3.17195242794794e-46,1.8113517812229e-43
"RGS8",1291.07699005708,-1.22676359030151,0.0869825689573895,-14.103556666652,3.6110181834561e-45,2.00920755335891e-42
"BBC3",752.607476596293,1.56332926425003,0.111101735554904,14.071150702029,5.71321437412029e-45,3.09941879796026e-42
"SYT7",8075.8332146533,-0.897697740397923,0.0638223659296432,-14.0655666289077,6.18256700035579e-45,3.27223668067611e-42
"CHST3",197.283849027044,3.17891452817646,0.226647257275007,14.0258239450887,1.08346434754629e-44,5.59789912898917e-42
"SOX4",7713.19760157205,-0.78465113495088,0.0563564534180145,-13.9230041523526,4.59190167819846e-44,2.31730852132341e-41
"RRN3",2937.57661605544,0.868572087313774,0.062802309155526,13.8302571831047,1.67420866331689e-43,8.25689272590377e-41
"MDGA1",7093.11215939644,-0.724089217503524,0.0524317540149137,-13.8101276813582,2.2143875471309e-43,1.06782688383868e-40
"HRK",608.383597700778,1.56953211466392,0.114288648153639,13.7330534573652,6.43627285156682e-43,3.03624175823913e-40
"ALOXE3",288.805836183074,2.59290915950705,0.190417751387223,13.6169508389701,3.17551493831732e-42,1.46614200343587e-39
"MT-ND2",123379.516071119,-0.618153498544444,0.0455176797147431,-13.5805142621148,5.22582277787154e-42,2.36250738082943e-39
"ARRDC4",1946.39931275734,0.962252620998873,0.0709428242330954,13.5637766243591,6.56661253181431e-42,2.9080712640892e-39
