"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KLF10",3111.33954419471,4.67729518926183,0.0817557009728025,57.2106303732607,0,0
"AEN",1034.59770627308,2.69036711082918,0.104370393078989,25.7771100736687,1.60150545427143e-146,6.950533671538e-143
"NR1D1",452.427269007817,4.7954855505889,0.194595300508657,24.6433780160871,4.33370547300273e-134,1.56735681273599e-130
"TCHH",988.634619468314,2.5501471039978,0.116586774540785,21.8733824144495,4.65736390742363e-106,1.44378281130132e-102
"EDA2R",448.880832708065,2.96155119323327,0.158246541786694,18.7147924990692,3.75079361040543e-78,8.13922213457979e-75
"ATF3",750.733301281713,2.18752468713029,0.117625977713288,18.5972922789416,3.37952111767663e-77,6.11130068779858e-74
"TINCR",439.527206948831,2.89725935914024,0.159637039037252,18.1490422060769,1.3065929102668e-73,2.02521901091355e-70
"CDKN1A",709.05067076011,2.18816351012526,0.131313503786197,16.6636594640564,2.40827648425138e-62,2.37543635037523e-59
"MIR4435-2HG",476.061767391918,2.17101065880928,0.13176624402819,16.4762278444,5.43733116756805e-61,4.91625359734278e-58
"CDH20",366.980785664173,-2.3506351821857,0.159100253909278,-14.774553304774,2.13769767864128e-49,1.28855665629211e-46
"CHST3",197.283849027044,3.17891452817646,0.226647257275007,14.0258239450887,1.08346434754629e-44,5.59789912898917e-42
"ALOXE3",288.805836183074,2.59290915950705,0.190417751387223,13.6169508389701,3.17551493831732e-42,1.46614200343587e-39
"DIO3",171.464524933166,3.25882614046877,0.245079339455881,13.2970251499124,2.4086229018717e-40,9.86172018313506e-38
"HLF",201.553942303981,3.11224971043592,0.249338295432384,12.4820365240682,9.35625407923574e-36,2.74365829080291e-33
"GADD45B",108.056124737011,3.77808195313651,0.337423466540208,11.1968559622581,4.22461578774248e-29,8.34328459203276e-27
"MYH8",108.048823164419,3.09135700648967,0.293696211673626,10.5256958844433,6.57736183531435e-26,1.02682555270735e-23
"CFAP53",136.847458133246,2.77133782595214,0.26626308863169,10.4082689049912,2.27317522373864e-25,3.4328053758987e-23
"CDC42EP1",79.1538846955125,3.86974545359094,0.391620150402193,9.88137471888696,5.01402656285387e-23,6.18206684170051e-21
"BHLHE40",161.861228908865,2.25187452443532,0.232644357958019,9.67947189521648,3.68615112719936e-22,4.2547595457567e-20
"AOC3",205.569284237614,2.60236452038992,0.275863915515254,9.43350824093563,3.96597232663286e-21,4.21870585725162e-19
"GULP1",173.376548210313,2.24873284259705,0.239213656183689,9.40052034851335,5.42938916335783e-21,5.66431465600312e-19
"CHST9",77.7497134723285,-3.42513527925216,0.36850816722328,-9.29459801409739,1.47763497935058e-20,1.47085683724347e-18
"LINC00299",79.5449799535901,3.6137924890731,0.391833269172099,9.22278115053541,2.89492257179933e-20,2.84252578316947e-18
"NPFFR2",85.9231677638119,3.15074792551408,0.344252890878116,9.15242256202175,5.56708481925274e-20,5.25242350338193e-18
"LRRN4CL",77.3143395291119,3.56646436553455,0.390255451159836,9.13879448688044,6.31523543792318e-20,5.85643628217663e-18
"TNXB",189.573327644548,2.03898690374918,0.224585980904472,9.07886990780812,1.0970797146736e-19,9.91942908684047e-18
"TBX2",87.0636658695109,3.02531825905177,0.352332582322825,8.58654127048579,8.96266277782613e-18,6.66060898215161e-16
