"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.00573518442737219,2,43,2,0.0465116279069767,1,"CORUM:2695","CORUM","ETS2-FOS-JUN complex",3383,1133,"CORUM,CORUM","JUN,FOS","JUN,FOS","ENSG00000177606,ENSG00000170345","CORUM - ETS2-FOS-JUN complex"
"query_1",TRUE,0.00573518442737219,2,43,2,0.0465116279069767,1,"CORUM:6092","CORUM","c-Jun-ATF3 complex",3383,1885,"CORUM,CORUM","JUN,ATF3","JUN,ATF3","ENSG00000177606,ENSG00000162772","CORUM - c-Jun-ATF3 complex"
"query_1",TRUE,0.00573518442737219,2,43,2,0.0465116279069767,1,"CORUM:2694","CORUM","ERG-JUN-FOS DNA-protein complex",3383,1132,"CORUM,CORUM","JUN,FOS","JUN,FOS","ENSG00000177606,ENSG00000170345","CORUM - ERG-JUN-FOS DNA-protein complex"
"query_1",TRUE,0.00853322841227323,3,43,2,0.0465116279069767,0.666666666666667,"CORUM:2693","CORUM","NFAT-JUN-FOS DNA-protein complex",3383,1131,"CORUM,CORUM","JUN,FOS","JUN,FOS","ENSG00000177606,ENSG00000170345","CORUM - NFAT-JUN-FOS DNA-protein complex"
"query_1",TRUE,0.00853322841227323,3,43,2,0.0465116279069767,0.666666666666667,"CORUM:6235","CORUM","c-Fos-c-Jun-SAF-1 complex",3383,1993,"CORUM,CORUM","JUN,FOS","JUN,FOS","ENSG00000177606,ENSG00000170345","CORUM - c-Fos-c-Jun-SAF-1 complex"
"query_1",TRUE,0.00853322841227323,3,43,2,0.0465116279069767,0.666666666666667,"CORUM:2086","CORUM","NFKB1-NFKB2-RELA-RELB complex",3383,904,"CORUM,CORUM","RELB,NFKB2","RELB,NFKB2","ENSG00000104856,ENSG00000077150","CORUM - NFKB1-NFKB2-RELA-RELB complex"
"query_1",TRUE,0.0126964462131895,4,43,2,0.0465116279069767,0.5,"CORUM:2692","CORUM","SMAD3-SMAD4-cJun-cFos complex",3383,1130,"CORUM,CORUM","JUN,FOS","JUN,FOS","ENSG00000177606,ENSG00000170345","CORUM - SMAD3-SMAD4-cJun-cFos complex"
"query_1",TRUE,0.0126964462131895,4,43,2,0.0465116279069767,0.5,"CORUM:2084","CORUM","NFKB1-NFKB2-REL-RELA-RELB complex",3383,903,"CORUM,CORUM","RELB,NFKB2","RELB,NFKB2","ENSG00000104856,ENSG00000077150","CORUM - NFKB1-NFKB2-REL-RELA-RELB complex"
"query_1",TRUE,1.17073071432047e-13,7322,318,184,0.578616352201258,0.0251297459710462,"GO:0032501","GO:BP","multicellular organismal process",21026,7557,"IEA,ISS IEA,ISS NAS IEA,IBA,IEA,IEA,ISS IEA,IDA IBA IEA,IBA IEA,ISS IEA,IEA,ISS IEA,IEA,IEA,IEA,IEA,ISS IEA,IEA,IEA,IMP IBA TAS NAS,ISS IEA,ISS IEA,ISS IEA,IEA,ISS TAS IEA,IBA IEA,IDA,ISS IEA,IDA IEA,IDA IMP ISS TAS NAS IC IEA,IEA,IBA,IMP ISS,IMP ISS IEA,ISO IBA,IBA,IDA IMP NAS IEA,ISS IEA,IBA TAS IEA,IDA ISS,IDA,IDA ISS IEA,ISS IEA,TAS IEA,NAS,IDA IGI IEA,IEA,IEA,IDA IEA,IMP ISS NAS IC,ISS IEA,ISS IEA,IMP IBA,ISS IEA,IEA,IMP IBA,ISO IBA NAS IEA,IMP,IBA IEA,ISS IEA,IMP IEA,IDA IMP,IEA,IBA IEA,IDA,IMP,IMP,IEA,IDA ISS TAS IEA,TAS,ISS TAS IEA,IEA,IDA IBA TAS NAS,IEA,IEA,IDA IMP IEP IBA TAS IEA,IMP IEA,IEA,ISS IBA IEA,IDA IBA IEA,ISS,IEA,IDA ISS IEA,ISS IEA,ISS IEA,IEA,IDA IMP IBA TAS IEA,IDA IMP IEP ISS NAS IEA,IEA,IEA,IDA IEA,IDA ISS IEA,IEA,IEP,IMP IEA,IEA,ISS IEA,NAS,IEA,IMP IEA,ISS IEA,IDA IBA,IDA IMP ISS IEA,IMP IEA,IMP IBA TAS IEA,TAS,IDA IMP ISS IBA TAS IEA,IBA,IBA IEA,IMP IBA,IDA IEA,IEA,IEA,ISS IEA,TAS IEA,ISS TAS IEA,IDA IEA,IMP ISS TAS IEA,IMP IEA,IEA,TAS,IDA TAS IEA,IDA IMP,IEP IBA IEA,IMP IBA IEA,ISS,IEA,IEA,IEA,ISS NAS,IMP ISS IEA,IEA,IDA IMP IBA IEA,IEA,IEA,IMP,IGI ISS NAS IEA,IEA,IDA IMP IBA IEA,IMP ISS TAS IEA,IBA TAS IEA,IEA,IBA IEA,IDA IBA IEA,IMP IEA,ISS IEA,IEA,ISS IBA IEA,ISS IEA,NAS,IEA,IDA IMP ISS NAS IEA,IDA ISS IBA,IEA,ISS IBA IEA,IBA IEA,IEA,IMP IEA,IEA,ISS IEA,IBA TAS IEA,IEA,ISS IEA,IDA IMP TAS IEA,IBA IEA,ISS IBA IEA,IMP ISS,IDA IMP IBA TAS,IEA,NAS IEA,IMP IEP IBA IEA,IEA,IDA ISS IEA,ISS NAS IEA,IEA,IEA,IMP HMP IEA,IMP IEP IEA,IMP ISS IBA IEA,TAS,IEA,IMP IBA,IMP IEA,IEA","KLF10,NR1D1,NES,KIF5B,TCHH,NPTX2,ALOXE3,ECM1,DUSP6,CDKN1A,CSRNP1,NR1D2,FOS,DIO3,H2AJ,FOSL2,EGR1,CRY1,CHST3,MYH8,CIART,IER2,NPR3,FOSB,ARC,BHLHE40,H4C8,BBC3,GAL,IL6R,GPR35,BHLHE41,CFAP53,TBX2,TNXB,ZBTB2,GPNMB,PIWIL2,MAFF,ESRRB,H4C5,SPHK1,NGEF,F2RL2,PLA2G4C,WWTR1,MFGE8,GABRR2,NR4A1,ABCB1,KIF20B,CCDC88B,ODAPH,FOXS1,LTA,NPC1L1,GRIN2C,RPS17,LPAR5,TMEM63A,RASGRP1,SFRP4,GAD1,LHX8,SIGLEC1,SERPINB3,MYH14,MYH15,SERPINF2,TULP2,EGR2,DLX6-AS1,MYH2,ARID5A,ITPKA,AQP1,FUT7,TNFRSF9,CCK,THBS2,PKD1L1,LGR5,NFATC1,KLF15,NEMP1,NLRP3,MYH7,FOXJ1,WEE1,OR5H1,ADRA2B,GDF15,FOSL1,ITGB5,MAP3K20,FMO2,DUOX2,ESAM,CFAP43,ALDH1A2,FOXO1,NCR3,ISG15,FREM2,COL2A1,KLHL41,SYK,POTEF,ZIC5,NLRP7,KLKB1,PTGDR2,SLC32A1,DRD1,MOBP,CX3CR1,ADAMTS1,CSF1R,TRPM1,GPR18,NTSR2,GLI1,HLA-G,ASCL2,CD38,BEST2,TIMP3,IL5RA,FGFRL1,ABCC2,FOXL1,CTRB1,CETP,TUBB1,JPH2,CENPF,IL13,CTRB2,GATA2,CORIN,IRX4,DNASE1L2,EN2,CYP19A1,RELB,OXT,TNFRSF12A,CD79A,AQP8,IL31RA,NFKB2,CD9,HPN,ANPEP,ERBB3,OR2K2,OR52E4,SRD5A2,NPS,DMRT1,TBR1,TLX2,TESPA1,MTTP,OR2B6,TNFRSF11A,MYH11,TNNC2,ST8SIA6,KLK6,ESM1,IAPP,TNFSF11,FGF21,LRIT3,RAD54L,HBB,ITGB4,MPIG6B,KLRF2,OR7D2,MYO1A,FOXF2,PPEF2","KLF10,NR1D1,NES,KIF5B,TCHH,NPTX2,ALOXE3,ECM1,DUSP6,CDKN1A,CSRNP1,NR1D2,FOS,DIO3,H2AJ,FOSL2,EGR1,CRY1,CHST3,MYH8,CIART,IER2,NPR3,FOSB,ARC,BHLHE40,H4C8,BBC3,GAL,IL6R,GPR35,BHLHE41,CFAP53,TBX2,TNXB,ZBTB2,GPNMB,PIWIL2,MAFF,ESRRB,H4C5,SPHK1,NGEF,F2RL2,PLA2G4C,WWTR1,MFGE8,GABRR2,NR4A1,ABCB1,KIF20B,CCDC88B,ODAPH,FOXS1,LTA,NPC1L1,GRIN2C,RPS17,LPAR5,TMEM63A,RASGRP1,SFRP4,GAD1,LHX8,SIGLEC1,SERPINB3,MYH14,MYH15,SERPINF2,TULP2,EGR2,DLX6-AS1,MYH2,ARID5A,ITPKA,AQP1,FUT7,TNFRSF9,CCK,THBS2,PKD1L1,LGR5,NFATC1,KLF15,NEMP1,NLRP3,MYH7,FOXJ1,WEE1,OR5H1,ADRA2B,GDF15,FOSL1,ITGB5,MAP3K20,FMO2,DUOX2,ESAM,CFAP43,ALDH1A2,FOXO1,NCR3,ISG15,FREM2,COL2A1,KLHL41,SYK,POTEF,ZIC5,NLRP7,KLKB1,PTGDR2,SLC32A1,DRD1,MOBP,CX3CR1,ADAMTS1,CSF1R,TRPM1,GPR18,NTSR2,GLI1,HLA-G,ASCL2,CD38,BEST2,TIMP3,IL5RA,FGFRL1,ABCC2,FOXL1,CTRB1,CETP,TUBB1,JPH2,CENPF,IL13,CTRB2,GATA2,CORIN,IRX4,DNASE1L2,EN2,CYP19A1,RELB,OXT,TNFRSF12A,CD79A,AQP8,IL31RA,NFKB2,CD9,HPN,ANPEP,ERBB3,OR2K2,OR52E4,SRD5A2,NPS,DMRT1,TBR1,TLX2,TESPA1,MTTP,OR2B6,TNFRSF11A,MYH11,TNNC2,ST8SIA6,KLK6,ESM1,IAPP,TNFSF11,FGF21,LRIT3,RAD54L,HBB,ITGB4,MPIG6B,KLRF2,OR7D2,MYO1A,FOXF2,PPEF2","ENSG00000155090,ENSG00000126368,ENSG00000132688,ENSG00000170759,ENSG00000159450,ENSG00000106236,ENSG00000179148,ENSG00000143369,ENSG00000139318,ENSG00000124762,ENSG00000144655,ENSG00000174738,ENSG00000170345,ENSG00000197406,ENSG00000246705,ENSG00000075426,ENSG00000120738,ENSG00000008405,ENSG00000122863,ENSG00000133020,ENSG00000159208,ENSG00000160888,ENSG00000113389,ENSG00000125740,ENSG00000198576,ENSG00000134107,ENSG00000158406,ENSG00000105327,ENSG00000069482,ENSG00000160712,ENSG00000178623,ENSG00000123095,ENSG00000172361,ENSG00000121068,ENSG00000168477,ENSG00000181472,ENSG00000136235,ENSG00000197181,ENSG00000185022,ENSG00000119715,ENSG00000276966,ENSG00000176170,ENSG00000066248,ENSG00000164220,ENSG00000105499,ENSG00000018408,ENSG00000140545,ENSG00000111886,ENSG00000123358,ENSG00000085563,ENSG00000138182,ENSG00000168071,ENSG00000174792,ENSG00000179772,ENSG00000226979,ENSG00000015520,ENSG00000161509,ENSG00000182774,ENSG00000184574,ENSG00000196187,ENSG00000172575,ENSG00000106483,ENSG00000128683,ENSG00000162624,ENSG00000088827,ENSG00000057149,ENSG00000105357,ENSG00000144821,ENSG00000167711,ENSG00000104804,ENSG00000122877,ENSG00000231764,ENSG00000125414,ENSG00000196843,ENSG00000137825,ENSG00000240583,ENSG00000180549,ENSG00000049249,ENSG00000187094,ENSG00000186340,ENSG00000158683,ENSG00000139292,ENSG00000131196,ENSG00000163884,ENSG00000166881,ENSG00000162711,ENSG00000092054,ENSG00000129654,ENSG00000166483,ENSG00000231192,ENSG00000274286,ENSG00000130513,ENSG00000175592,ENSG00000082781,ENSG00000091436,ENSG00000094963,ENSG00000140279,ENSG00000149564,ENSG00000197748,ENSG00000128918,ENSG00000150907,ENSG00000204475,ENSG00000187608,ENSG00000150893,ENSG00000139219,ENSG00000239474,ENSG00000165025,ENSG00000196604,ENSG00000139800,ENSG00000167634,ENSG00000164344,ENSG00000183134,ENSG00000101438,ENSG00000184845,ENSG00000168314,ENSG00000168329,ENSG00000154734,ENSG00000182578,ENSG00000134160,ENSG00000125245,ENSG00000169006,ENSG00000111087,ENSG00000204632,ENSG00000183734,ENSG00000004468,ENSG00000039987,ENSG00000100234,ENSG00000091181,ENSG00000127418,ENSG00000023839,ENSG00000176678,ENSG00000168925,ENSG00000087237,ENSG00000101162,ENSG00000149596,ENSG00000117724,ENSG00000169194,ENSG00000168928,ENSG00000179348,ENSG00000145244,ENSG00000113430,ENSG00000167968,ENSG00000164778,ENSG00000137869,ENSG00000104856,ENSG00000101405,ENSG00000006327,ENSG00000105369,ENSG00000103375,ENSG00000164509,ENSG00000077150,ENSG00000010278,ENSG00000105707,ENSG00000166825,ENSG00000065361,ENSG00000171133,ENSG00000180974,ENSG00000277893,ENSG00000214285,ENSG00000137090,ENSG00000136535,ENSG00000115297,ENSG00000135426,ENSG00000138823,ENSG00000124657,ENSG00000141655,ENSG00000133392,ENSG00000101470,ENSG00000148488,ENSG00000167755,ENSG00000164283,ENSG00000121351,ENSG00000120659,ENSG00000105550,ENSG00000183423,ENSG00000085999,ENSG00000244734,ENSG00000132470,ENSG00000204420,ENSG00000256797,ENSG00000188000,ENSG00000166866,ENSG00000137273,ENSG00000156194","GO:BP - multicellular organismal process"
"query_1",TRUE,9.4815428612904e-09,4438,318,120,0.377358490566038,0.0270392068499324,"GO:0048869","GO:BP","cellular developmental process",21026,12943,"IEA,ISS IBA IEA,IBA,IEA,IEA,ISS IEA,IEA,IC IEA,IEA,IEA,IEA,ISS IBA IEA,IEA,IEA,IEA,IEA,IEA,ISS IEA,ISS TAS IEA,IMP,IBA IEA,IDA,ISS TAS IEA,ISS IBA IEA,ISS IEA,ISS IBA IEA,ISO IBA NAS,ISS IEA,IBA IEA,ISS,IDA,ISS IEA,IDA IGI IEA,ISS IEA,ISS IEA,IBA,IEA,IEA,IDA IEA,IBA IEA,IMP,IDA IEA,ISS IEA,IEA,IEA,IEA,IEA,ISS,IEA,IEA,IDA IEA,ISS IEA,ISS IEA,IEA,IBA,IDA IEP ISS IEA,IEA,IDA,IEA,IEP,NAS,IMP ISS IBA IEA,IBA IEA,IEA,ISS IEA,IEA,IEA,ISS IBA IEA,IEA,IMP IBA IEA,IBA,IEA,IEA,IEA,ISS IEA,IEA,ISS TAS IEA,IMP ISS IBA TAS IEA,IEA,IDA IEA,IDA IMP,IBA IEA,IEA,IEA,ISS IEA,IBA,IC,IEA,IEA,NAS,IDA IMP IBA IEA,IBA,IEA,IBA IEA,IMP IEA,IEA,ISS IBA IEA,ISS IEA,IEP NAS IEA,IEA,IEA,IMP ISS IEA,IDA IBA,IEA,ISS IBA IEA,IEA,ISS IEA,IBA IEA,IEA,ISS IEA,IMP ISS IBA IEA,IMP ISS,NAS IEA,IEA,IEA,IDA ISS NAS IEA,IBA IEA,IEP IEA,IMP ISS IBA IEA,NAS","KLF10,NR1D1,KIF5B,ATF3,TCHH,ALOXE3,ECM1,EDA2R,DUSP6,CDKN1A,HLF,NR1D2,FOS,DIO3,FOSL2,EGR1,GADD45B,IER2,ARC,IQCN,BHLHE40,H4C8,IL6R,BHLHE41,CFAP53,TBX2,TNXB,PIWIL2,MAFF,ESRRB,H4C5,NGEF,WWTR1,NR4A1,KIF20B,FOXS1,LTA,RASGRP1,SFRP4,LHX8,SERPINB3,SERPINF2,EGR2,ARID5A,ITPKA,FUT7,TNFRSF9,CCK,TAF4B,LGR5,NFATC1,KLF15,NEMP1,NLRP3,MYH7,FOXJ1,WEE1,ADRA2B,GDF15,ITGB5,MAP3K20,CFAP43,CATSPER3,ALDH1A2,FOXO1,ISG15,COL2A1,KLHL41,MAJIN,SYK,POTEF,ZIC5,OSGIN1,MYCBPAP,DRD1,MOBP,CX3CR1,CSF1R,GPR18,GLI1,HLA-G,ASCL2,CD38,PNPLA1,ACRBP,FOXL1,CETP,TUBB1,CENPF,IL13,GATA2,IRX4,DNASE1L2,EN2,RELB,TNFRSF12A,CD79A,AQP8,IL31RA,NKAPL,NFKB2,CD9,HPN,ANPEP,ERBB3,SRD5A2,DMRT1,TBR1,TLX2,TESPA1,TNFRSF11A,MYH11,KLK6,IAPP,ASCL5,TNFSF11,FGF21,ITGB4,MPIG6B,FOXF2","KLF10,NR1D1,KIF5B,ATF3,TCHH,ALOXE3,ECM1,EDA2R,DUSP6,CDKN1A,HLF,NR1D2,FOS,DIO3,FOSL2,EGR1,GADD45B,IER2,ARC,IQCN,BHLHE40,H4C8,IL6R,BHLHE41,CFAP53,TBX2,TNXB,PIWIL2,MAFF,ESRRB,H4C5,NGEF,WWTR1,NR4A1,KIF20B,FOXS1,LTA,RASGRP1,SFRP4,LHX8,SERPINB3,SERPINF2,EGR2,ARID5A,ITPKA,FUT7,TNFRSF9,CCK,TAF4B,LGR5,NFATC1,KLF15,NEMP1,NLRP3,MYH7,FOXJ1,WEE1,ADRA2B,GDF15,ITGB5,MAP3K20,CFAP43,CATSPER3,ALDH1A2,FOXO1,ISG15,COL2A1,KLHL41,MAJIN,SYK,POTEF,ZIC5,OSGIN1,MYCBPAP,DRD1,MOBP,CX3CR1,CSF1R,GPR18,GLI1,HLA-G,ASCL2,CD38,PNPLA1,ACRBP,FOXL1,CETP,TUBB1,CENPF,IL13,GATA2,IRX4,DNASE1L2,EN2,RELB,TNFRSF12A,CD79A,AQP8,IL31RA,NKAPL,NFKB2,CD9,HPN,ANPEP,ERBB3,SRD5A2,DMRT1,TBR1,TLX2,TESPA1,TNFRSF11A,MYH11,KLK6,IAPP,ASCL5,TNFSF11,FGF21,ITGB4,MPIG6B,FOXF2","ENSG00000155090,ENSG00000126368,ENSG00000170759,ENSG00000162772,ENSG00000159450,ENSG00000179148,ENSG00000143369,ENSG00000131080,ENSG00000139318,ENSG00000124762,ENSG00000108924,ENSG00000174738,ENSG00000170345,ENSG00000197406,ENSG00000075426,ENSG00000120738,ENSG00000099860,ENSG00000160888,ENSG00000198576,ENSG00000130518,ENSG00000134107,ENSG00000158406,ENSG00000160712,ENSG00000123095,ENSG00000172361,ENSG00000121068,ENSG00000168477,ENSG00000197181,ENSG00000185022,ENSG00000119715,ENSG00000276966,ENSG00000066248,ENSG00000018408,ENSG00000123358,ENSG00000138182,ENSG00000179772,ENSG00000226979,ENSG00000172575,ENSG00000106483,ENSG00000162624,ENSG00000057149,ENSG00000167711,ENSG00000122877,ENSG00000196843,ENSG00000137825,ENSG00000180549,ENSG00000049249,ENSG00000187094,ENSG00000141384,ENSG00000139292,ENSG00000131196,ENSG00000163884,ENSG00000166881,ENSG00000162711,ENSG00000092054,ENSG00000129654,ENSG00000166483,ENSG00000274286,ENSG00000130513,ENSG00000082781,ENSG00000091436,ENSG00000197748,ENSG00000152705,ENSG00000128918,ENSG00000150907,ENSG00000187608,ENSG00000139219,ENSG00000239474,ENSG00000168070,ENSG00000165025,ENSG00000196604,ENSG00000139800,ENSG00000140961,ENSG00000136449,ENSG00000184845,ENSG00000168314,ENSG00000168329,ENSG00000182578,ENSG00000125245,ENSG00000111087,ENSG00000204632,ENSG00000183734,ENSG00000004468,ENSG00000180316,ENSG00000111644,ENSG00000176678,ENSG00000087237,ENSG00000101162,ENSG00000117724,ENSG00000169194,ENSG00000179348,ENSG00000113430,ENSG00000167968,ENSG00000164778,ENSG00000104856,ENSG00000006327,ENSG00000105369,ENSG00000103375,ENSG00000164509,ENSG00000189134,ENSG00000077150,ENSG00000010278,ENSG00000105707,ENSG00000166825,ENSG00000065361,ENSG00000277893,ENSG00000137090,ENSG00000136535,ENSG00000115297,ENSG00000135426,ENSG00000141655,ENSG00000133392,ENSG00000167755,ENSG00000121351,ENSG00000232237,ENSG00000120659,ENSG00000105550,ENSG00000132470,ENSG00000204420,ENSG00000137273","GO:BP - cellular developmental process"
