"pathway","ref_mean","cmp_mean","mean_diff","p_value","FDR"
"GOMF_ACYLTRANSFERASE_ACTIVITY_ACYL_GROUPS_CONVERTED_INTO_ALKYL_ON_TRANSFER",0.611837503928551,-0.590703330496882,-1.20254083442543,2.65096680155476e-07,0.00278855197855545
"GOBP_FORMATE_METABOLIC_PROCESS",-0.551585200844197,0.5863778617549,1.1379630625991,1.68634279605753e-06,0.00886931993586459
"GOBP_PROTEIN_LOCALIZATION_TO_CENP_A_CONTAINING_CHROMATIN",-0.477272987152793,0.438903597765614,0.916176584918408,4.55612767316816e-06,0.015975302331352
"GOBP_TELOMERE_MAINTENANCE",-0.268074205494111,0.288215499738799,0.556289705232911,9.61627446454356e-05,0.0266193660769826
"GOBP_DOUBLE_STRAND_BREAK_REPAIR",-0.208841530357926,0.194749997723022,0.403591528080948,9.0858890026137e-05,0.0266193660769826
"GOBP_INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT",-0.282149281453447,0.235627976828961,0.517777258282408,8.92903466550338e-05,0.0266193660769826
"GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS",0.206080720535764,-0.19682007456332,-0.402900795099084,4.91760545294343e-05,0.0266193660769826
"GOBP_TELOMERE_ORGANIZATION",-0.255287707240776,0.281190496345653,0.536478203586429,7.63515427090055e-05,0.0266193660769826
"GOBP_INTERFERON_BETA_PRODUCTION",-0.228055599623597,0.312526893182192,0.540582492805789,6.07362548585653e-05,0.0266193660769826
"GOBP_NCRNA_PROCESSING",-0.31105535961452,0.314429098069144,0.625484457683665,2.04598037025292e-05,0.0266193660769826
"GOBP_NCRNA_METABOLIC_PROCESS",-0.273083154789321,0.264166370230409,0.53724952501973,8.02729328882279e-05,0.0266193660769826
"GOBP_NUCLEOSOME_ORGANIZATION",-0.263904464362872,0.250459275896169,0.514363740259041,9.45313131343469e-05,0.0266193660769826
"GOBP_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY",0.317422878917998,-0.336168995054079,-0.653591873972077,8.2663422509091e-05,0.0266193660769826
"GOBP_OXIDATIVE_RNA_DEMETHYLATION",-0.489016135297265,0.522590628288459,1.01160676358572,3.28937939537754e-05,0.0266193660769826
"GOBP_GENERATION_OF_NEURONS",0.114010096888289,-0.10945020535246,-0.223460302240749,5.39235863831055e-05,0.0266193660769826
"GOBP_REGULATION_OF_AXONOGENESIS",0.236724072011817,-0.246813664535379,-0.483537736547196,3.40756968028781e-05,0.0266193660769826
"GOBP_NEGATIVE_REGULATION_OF_AXONOGENESIS",0.33670183829178,-0.308998879168987,-0.645700717460767,2.3250991242248e-05,0.0266193660769826
"GOBP_NEGATIVE_CHEMOTAXIS",0.401354538802028,-0.375755789362653,-0.777110328164681,8.58761242760018e-05,0.0266193660769826
"GOBP_RELAXATION_OF_CARDIAC_MUSCLE",0.374260696924077,-0.322111009110886,-0.696371706034963,4.96929833047604e-05,0.0266193660769826
