"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.011224299565341,3,29,2,0.0689655172413793,0.666666666666667,"CORUM:6052","CORUM","BAG3-HSC70-HSPB8-CHIP complex",3383,1862,"CORUM,CORUM","BAG3,HSPB8","BAG3,HSPB8","ENSG00000151929,ENSG00000152137","CORUM - BAG3-HSC70-HSPB8-CHIP complex"
"query_1",TRUE,0.0337934272473324,3,29,1,0.0344827586206897,0.333333333333333,"CORUM:7428","CORUM","mtRNase P",3383,2837,"CORUM","HSD17B10","HSD17B10","ENSG00000072506","CORUM - mtRNase P"
"query_1",TRUE,0.0337934272473324,2,29,1,0.0344827586206897,0.5,"CORUM:6413","CORUM","PDGFB-PDGFRB complex",3383,2108,"CORUM","PDGFRB","PDGFRB","ENSG00000113721","CORUM - PDGFB-PDGFRB complex"
"query_1",TRUE,0.0337934272473324,3,29,1,0.0344827586206897,0.333333333333333,"CORUM:6935","CORUM","MYC-TRRAP-KAT2A complex",3383,2472,"CORUM","MYC","MYC","ENSG00000136997","CORUM - MYC-TRRAP-KAT2A complex"
"query_1",TRUE,0.0337934272473324,3,29,1,0.0344827586206897,0.333333333333333,"CORUM:6250","CORUM","LPA(2)-NHERF2-PLC-beta3 complex",3383,2005,"CORUM","PLCB3","PLCB3","ENSG00000149782","CORUM - LPA(2)-NHERF2-PLC-beta3 complex"
"query_1",TRUE,0.0337934272473324,3,29,1,0.0344827586206897,0.333333333333333,"CORUM:6702","CORUM","CXCR2-NHERF1-PLC-beta-3 complex",3383,2314,"CORUM","PLCB3","PLCB3","ENSG00000149782","CORUM - CXCR2-NHERF1-PLC-beta-3 complex"
"query_1",TRUE,0.0337934272473324,2,29,1,0.0344827586206897,0.5,"CORUM:6914","CORUM","ELN-FBLN5-FBN1 complex",3383,2459,"CORUM","FBLN5","FBLN5","ENSG00000140092","CORUM - ELN-FBLN5-FBN1 complex"
"query_1",TRUE,0.0337934272473324,2,29,1,0.0344827586206897,0.5,"CORUM:7429","CORUM","HSD17B10-TRMT10C complex",3383,2838,"CORUM","HSD17B10","HSD17B10","ENSG00000072506","CORUM - HSD17B10-TRMT10C complex"
"query_1",TRUE,0.0337934272473324,3,29,1,0.0344827586206897,0.333333333333333,"CORUM:6203","CORUM","TFAP2C-Myc-KDM5B complex",3383,1971,"CORUM","MYC","MYC","ENSG00000136997","CORUM - TFAP2C-Myc-KDM5B complex"
"query_1",TRUE,0.0337934272473324,2,29,1,0.0344827586206897,0.5,"CORUM:6108","CORUM","STIM1-TRPV4 complex",3383,1895,"CORUM","STIM1","STIM1","ENSG00000167323","CORUM - STIM1-TRPV4 complex"
"query_1",TRUE,0.0337934272473324,2,29,1,0.0344827586206897,0.5,"CORUM:7313","CORUM","ESYT1-ESYT2 complex",3383,2765,"CORUM","ESYT1","ESYT1","ENSG00000139641","CORUM - ESYT1-ESYT2 complex"
"query_1",TRUE,0.0337934272473324,2,29,1,0.0344827586206897,0.5,"CORUM:7314","CORUM","ESYT1-ESYT3 complex",3383,2766,"CORUM","ESYT1","ESYT1","ENSG00000139641","CORUM - ESYT1-ESYT3 complex"
"query_1",TRUE,0.0337934272473324,3,29,1,0.0344827586206897,0.333333333333333,"CORUM:6920","CORUM","ILK-LIMS2-PARVA complex",3383,2462,"CORUM","LIMS2","LIMS2","ENSG00000072163","CORUM - ILK-LIMS2-PARVA complex"
"query_1",TRUE,0.0337934272473324,3,29,1,0.0344827586206897,0.333333333333333,"CORUM:7042","CORUM","PDZK1-PLCB3- SSTR2 complex",3383,2544,"CORUM","PLCB3","PLCB3","ENSG00000149782","CORUM - PDZK1-PLCB3- SSTR2 complex"
"query_1",TRUE,0.0337934272473324,3,29,1,0.0344827586206897,0.333333333333333,"CORUM:5832","CORUM","PINK1-MIRO2-Milton complex",3383,1824,"CORUM","PINK1","PINK1","ENSG00000158828","CORUM - PINK1-MIRO2-Milton complex"
"query_1",TRUE,0.0337934272473324,2,29,1,0.0344827586206897,0.5,"CORUM:3052","CORUM","MYC-MAX complex",3383,1359,"CORUM","MYC","MYC","ENSG00000136997","CORUM - MYC-MAX complex"
