"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATP6V0B",4840.66771147114,-2.89815788188267,0.0523289576039048,-55.3834437868949,0,0
"ATP8A2",19010.4459223534,-2.01601607244969,0.0241327219730747,-83.5386938406282,0,0
"CA10",1965.71895239579,-3.25669104951,0.0737652110735062,-44.1494168065858,0,0
"CALM1",48328.7329675154,-2.05867986504808,0.0221107603824442,-93.1076014320456,0,0
"DDAH1",8586.94043949509,-4.15230906173037,0.041671282109257,-99.6443798115817,0,0
"GABBR1",10992.0151105477,-2.09130693531509,0.0378739986720815,-55.2174845181236,0,0
"GPR26",5527.27555865917,2.23370896233396,0.0452216477392567,49.3946831661971,0,0
"HPCAL4",5638.61732242129,-2.17808161951231,0.0414563792047342,-52.5391184974394,0,0
"KIAA1522",2434.31448913368,-2.40323964861211,0.0635286451236159,-37.8292287508386,0,0
"KIF5A",36337.8862135323,-2.37013634209459,0.0199811359355612,-118.618698643473,0,0
"LASP1",5024.73619187932,-3.45546018714332,0.0510031848000201,-67.7498905351095,0,0
"MTURN",10002.0035576414,-2.56041896073335,0.0376533297835913,-67.9998017558897,0,0
"NHLH1",2996.03056516089,-3.44912042228413,0.06883313756328,-50.1084295207853,0,0
"NKAIN3",7328.59758142296,-2.69748355253874,0.0398956670332388,-67.6134466003878,0,0
"P2RX3",10809.0937057665,-2.75294699970598,0.0347012457865746,-79.3328002296405,0,0
"PRPH",3126.3738260222,-2.16556784216187,0.0528661371247621,-40.9632320411686,0,0
"RIMS3",13425.4043600847,-2.81338794545833,0.0334548281931585,-84.0951246024832,0,0
"RNF187",4399.99369445905,-2.45717757613215,0.0481171106451156,-51.0666069343792,0,0
"SCN7A",2764.084137137,-2.33966799988153,0.0555303689821063,-42.1331254009035,0,0
"SDCBP",2602.3944265881,-3.34263786081317,0.0637677124078513,-52.4189708960238,0,0
"SLC9A7",4419.45548557015,-2.27576197465719,0.0559886668884144,-40.6468326740623,0,0
"SORCS1",2811.14180328144,2.37648987261656,0.0607616337478164,39.1116848911582,0,0
"ST8SIA2",3412.85499949739,-2.01876391592233,0.0512941632653811,-39.3566009738346,0,0
"PTPN9",3048.38596765601,-2.5488846839548,0.0680137686088579,-37.4760101680771,2.26540008067283e-307,5.81947429919048e-305
"GAA",3118.44539777051,2.00123306558503,0.0542352061140792,36.8991511044616,4.76819861337748e-298,1.12173127168814e-295
"IGFBP3",1041.69184679351,3.72377322791392,0.102351535392987,36.3821921538956,8.14251555521843e-290,1.78408902101546e-287
"CDK16",4347.65095346566,-2.20927181925664,0.0616600936992013,-35.829848557062,3.78875406895775e-281,7.98819478180536e-279
"SLC35A5",2328.64784329201,-2.25433150956951,0.0645626135426982,-34.9169803678814,4.10775922458147e-267,7.9829835574062e-265
"SLIT2",2528.46799921672,-2.00200187264995,0.0636143352086576,-31.4709234338975,2.17187694286525e-217,3.15190115559061e-215
"DAD1",1271.96247984734,-3.05733820448767,0.0978111876925994,-31.2575511719197,1.76276576232515e-214,2.50930267657355e-212
"BLCAP",8461.78060261481,-2.96120842419084,0.0996407614724568,-29.7188457859126,4.3837689062154e-194,5.18374874523851e-192
"CCNG1",1684.67658502243,-2.19378766963871,0.074649184745644,-29.3879655499751,7.82541630606127e-190,8.96872969354684e-188
"STC1",1110.62829305453,2.67432716632054,0.0932605922251469,28.6758544258894,7.63336731249995e-181,8.24145536555852e-179
"FITM2",1411.04796874218,-2.1719616352897,0.0759824019742362,-28.5850615255116,1.03041817784295e-179,1.10715460849097e-177
"DDN",809.862261258645,3.16067442976739,0.111478675117013,28.3522783747638,7.84579742961517e-177,8.19372554927427e-175
"ARHGAP1",1420.56618684926,-2.53862233395992,0.0896637105567594,-28.3127066479466,2.41078355772938e-176,2.50598147589274e-174
"NECAB1",1067.83186167804,-2.85254757223672,0.10225187157889,-27.8972651374494,2.87988105858934e-171,2.82291499028128e-169
"LGI3",786.795367070105,-3.16079277452765,0.115422400487663,-27.3845697297336,4.18752796465164e-165,3.915776672887e-163
