"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.036293496564116,2,95,2,0.0210526315789474,1,"CORUM:2426","CORUM","ITGA4-ITGB1-THBS1 complex",3383,1038,"CORUM,CORUM","ITGB1,THBS1","ITGB1,THBS1","ENSG00000150093,ENSG00000137801","CORUM - ITGA4-ITGB1-THBS1 complex"
"query_1",TRUE,0.036293496564116,2,95,2,0.0210526315789474,1,"CORUM:3140","CORUM","CRLR-RAMP2 complex",3383,1420,"CORUM,CORUM","RAMP2,CALCRL","RAMP2,CALCRL","ENSG00000131477,ENSG00000064989","CORUM - CRLR-RAMP2 complex"
"query_1",TRUE,0.036293496564116,2,95,2,0.0210526315789474,1,"CORUM:3035","CORUM","LAT2-ITGB1 complex",3383,1346,"CORUM,CORUM","ITGB1,SLC7A8","ITGB1,SLC7A8","ENSG00000150093,ENSG00000092068","CORUM - LAT2-ITGB1 complex"
"query_1",TRUE,0.036293496564116,2,95,2,0.0210526315789474,1,"CORUM:6140","CORUM","Cdt1-Geminin complex",3383,1921,"CORUM,CORUM","GMNN,CDT1","GMNN,CDT1","ENSG00000112312,ENSG00000167513","CORUM - Cdt1-Geminin complex"
"query_1",TRUE,0.036293496564116,2,95,2,0.0210526315789474,1,"CORUM:2428","CORUM","ITGA4-ITGB1-THBS2 complex",3383,1039,"CORUM,CORUM","ITGB1,THBS2","ITGB1,THBS2","ENSG00000150093,ENSG00000186340","CORUM - ITGA4-ITGB1-THBS2 complex"
"query_1",TRUE,0.036293496564116,2,95,2,0.0210526315789474,1,"CORUM:2439","CORUM","ITGA8-ITGB1 complex",3383,1048,"CORUM,CORUM","ITGB1,ITGA8","ITGB1,ITGA8","ENSG00000150093,ENSG00000077943","CORUM - ITGA8-ITGB1 complex"
"query_1",TRUE,0.0458073704257705,3,95,2,0.0210526315789474,0.666666666666667,"CORUM:1826","CORUM","SMAD3-HEF1-APC10-CDH1 complex",3383,841,"CORUM,CORUM","SMAD3,NEDD9","SMAD3,NEDD9","ENSG00000166949,ENSG00000111859","CORUM - SMAD3-HEF1-APC10-CDH1 complex"
"query_1",TRUE,0.0458073704257705,3,95,2,0.0210526315789474,0.666666666666667,"CORUM:2086","CORUM","NFKB1-NFKB2-RELA-RELB complex",3383,904,"CORUM,CORUM","RELB,NFKB2","RELB,NFKB2","ENSG00000104856,ENSG00000077150","CORUM - NFKB1-NFKB2-RELA-RELB complex"
"query_1",TRUE,0.0458073704257705,3,95,2,0.0210526315789474,0.666666666666667,"CORUM:6527","CORUM","FLRT3-LPHN3-UNC5B complex",3383,2202,"CORUM,CORUM","UNC5B,FLRT3","UNC5B,FLRT3","ENSG00000107731,ENSG00000125848","CORUM - FLRT3-LPHN3-UNC5B complex"
"query_1",TRUE,0.0458073704257705,10,95,3,0.0315789473684211,0.3,"CORUM:5194","CORUM","TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)",3383,1581,"CORUM,CORUM,CORUM","MAP3K14,USP2,NFKB2","MAP3K14,USP2,NFKB2","ENSG00000006062,ENSG00000036672,ENSG00000077150","CORUM - TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)"
