"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KLF10",1646.41640965139,3.56847819275854,0.0836902567071998,42.6391115663952,0,0
"KIF5B",9442.54232721002,0.949986166045618,0.0322213858646423,29.4830945520587,4.74250306977792e-191,4.67753077772196e-187
"NES",11172.0656138593,0.762706220301832,0.0279737052830106,27.2651124541964,1.10015555248256e-163,7.23388947609032e-160
"EGR1",715.592987512261,2.97616678292956,0.119106530175693,24.9874358571225,8.37296232946583e-138,4.12912637277608e-134
"MIAT",43425.9543930904,-0.520772167494501,0.0216472810711443,-24.057162919582,7.02449569013869e-128,2.77130403967351e-124
"JUN",7201.51610794377,0.838871994832482,0.0357019048554418,23.4965612683441,4.42264095243158e-122,1.45401692379442e-118
"PAPPA2",3084.76912012728,-1.17593499417815,0.05374473022784,-21.8800055222718,4.02794534088615e-106,1.13507499706172e-102
"ID4",8539.90172049761,-0.736665426638466,0.0379236619402971,-19.4249550003423,4.74801493477449e-84,1.17074178254202e-80
"GRIN3A",7628.03754390782,-0.660809717038347,0.0342800891388152,-19.2767794261688,8.41557682116835e-83,1.84450742638186e-79
"LGI2",17760.8576798574,-0.513499668928348,0.0271701589865455,-18.8993987551795,1.15359587125243e-79,2.27558321563255e-76
"APP",89848.3941149295,-0.33633989942159,0.0183583844049282,-18.3207787789486,5.64985457324904e-75,1.01317301192646e-71
"CADM2",6647.64515965856,-0.759909973242649,0.0428077028076887,-17.7517111034083,1.6718171098172e-70,2.74818869235451e-67
"ATP8A1",16746.3792320046,-0.486946603841492,0.0276292251217047,-17.6243308198666,1.60253599308957e-69,2.43166346151422e-66
"H3-3B",16697.4566976223,0.470075611439591,0.0270312706296343,17.3900671514956,9.81192216937301e-68,1.38249983366466e-64
"UBR4",17108.6823049736,0.439043148256635,0.0255484831934901,17.1847050539778,3.45700675585122e-66,4.54619435106141e-63
"SOX4",8332.48492497981,-0.576698144456496,0.0341891503152845,-16.8678700446872,7.75423988052677e-64,9.56000849270445e-61
"PCDH9",4714.71847959915,-0.78361508402988,0.0468038951484306,-16.7425185776692,6.4212811518419e-63,7.45095247066078e-60
"SLC3A2",5010.89596650449,0.639311805211112,0.0385694028544947,16.5756210336715,1.04576938938537e-61,1.14604705416754e-58
"LHX9",2896.15147668294,-0.877298134540778,0.0531540554294741,-16.5048203274875,3.38739762730345e-61,3.51683187348357e-58
"NNAT",14954.761423537,-0.471229960001183,0.0286038321799261,-16.4743645899268,5.60746245081306e-61,5.53064021523692e-58
"SON",13513.6603893289,0.445028774142146,0.0272256797017549,16.3459196985066,4.65099998398744e-60,4.3688393182922e-57
"CNTN1",37307.3834616613,-0.385091357893592,0.0240506270000966,-16.0116972373338,1.05881672163195e-57,9.4937357504145e-55
"NCAM2",6994.0590545738,-0.600881793132786,0.0380811491846009,-15.7789826725021,4.34128777979498e-56,3.7233149019233e-53
"CLIC1",3660.6357738547,0.813550113183533,0.0517096548785885,15.7330408623632,8.97931435286663e-56,7.3802481218603e-53
"CHL1",5332.73116847027,-0.634023350035615,0.0409227691123607,-15.4931683214005,3.85799916654205e-54,3.04411566236834e-51
"ATP8A2",26362.1972265144,-0.342685687586524,0.0223147907683695,-15.3568855358603,3.18512558297599e-53,2.41653027883786e-50
"ADGRG2",5194.59088369466,-0.672778089037087,0.043841608185922,-15.3456526089096,3.78731394407226e-53,2.76698351336183e-50
"CNTNAP5",5047.77126447695,-0.597758424799597,0.0394972687583077,-15.1341711361717,9.63874570494963e-52,6.79049634913702e-49
