"","22q001-A","22q001-B","22q001-C","22q001-214-KD-A","22q001-214-KD-B","22q001-214-KD-C"
"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",-0.10602505718814,-0.0322676158986744,-0.216693604133044,0.130415518724536,0.324153692560568,0.150770508815727
"GOBP_REPRODUCTION",-0.0964921897813222,-0.0406758854180261,-0.0494408365227297,0.0535050746544196,0.0259437505655038,0.0803803649127141
"GOBP_SINGLE_STRAND_BREAK_REPAIR",-0.17987305290727,-0.32073051984255,0.0498564322627619,0.227114746651006,0.122656619709582,0.0754012116464405
"GOBP_REGULATION_OF_DNA_RECOMBINATION",-0.147552174701214,-0.290184265846573,-0.184236566493506,0.144262845598442,0.14804987774833,0.313880878112398
"GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",0.0721350086950317,-0.623629172722661,-0.220700231984785,-0.172704391531689,0.411959812381374,0.19077355116778
"GOBP_MITOTIC_SPINDLE_ELONGATION",-0.540416920616052,0.394422594534541,-0.390014568917378,0.213430761316035,-0.460872659919146,0.497356794698177
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",-0.460345705281173,-0.507578396456947,-0.453962767613662,0.638671717802144,0.362113229814124,0.353100205747753
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",-0.543871028652236,-0.345230965074605,-0.594867047288972,0.642110827423946,0.317653265597427,0.543281637572679
"GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.113817553360753,0.127042576841219,-0.154239139506253,-0.343264687813879,0.302962676179906,0.0638635778127785
"GOBP_TRANSITION_METAL_ION_TRANSPORT",0.170537593176789,-0.0336879489635406,-0.00135325655229968,0.00150873852138064,0.0623828755097921,-0.190191319410344
"GOBP_UREA_CYCLE",-0.273806970609237,-0.366177931267207,-0.297017578817129,0.307032874247008,0.107345799710601,0.273620716136148
"GOBP_CITRULLINE_METABOLIC_PROCESS",0.0884920786856433,-0.0275415128137068,-0.30231864856356,0.161822574630125,-0.0151572802372839,0.0698263582607312
"GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.538040230546963,-0.489719159988087,-0.450885595067769,0.533739232961979,0.453994650027624,0.581613434307294
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.41957610462927,-0.585690718597889,-0.262571622358439,0.540005367328545,0.265608503719248,0.646163724075676
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.536546758113516,-0.170178757697861,-0.43318513314953,0.666066061993473,0.228224285451018,0.548907972235033
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",-0.314083646262508,-0.254786691252866,-0.249734017718107,0.295414620171335,0.246779690044271,0.276475872574867
"GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING",-0.215356324772632,-0.294202314829596,-0.2390664268163,0.198567805275971,0.260808212804375,0.293030549417768
"GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING",-0.453837469666651,-0.276213076644081,-0.159182537675555,0.15526737358806,0.330642669962917,0.379811731158009
"GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.20251500094431,-0.369995338035913,-0.191566508127798,0.339498536926418,0.00289589693888087,0.160708695132894
"GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS",-0.328998092001664,-0.0469356230718786,0.272260143378489,-0.0229175196609651,-0.0360989063554347,0.0691793866352692
"GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS",-0.355374242550988,-0.0796974091333994,0.216393604648671,-0.0732322988835576,0.151365569867531,-0.0336036571788571
"GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS",0.0323055076579966,0.255022938153063,0.28726880593285,0.261619570658551,-0.520202334770104,-0.244766992258344
"GOBP_SULFUR_AMINO_ACID_TRANSPORT",0.272249118582895,0.175029826906083,-0.0176197312384216,0.0271330023112552,-0.283258896847504,-0.295666237861775
"GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II",-0.138344232555965,-0.0392460829910786,-0.101933765053522,0.0705958635532982,0.155358274688364,0.0698126859364802
"GOBP_RRNA_MODIFICATION",-0.448390930231346,-0.266964657093565,-0.371291279532101,0.37153477648793,0.206319878725973,0.436757067755131
"GOBP_MAPK_CASCADE",0.0407860027354438,0.0365348332050695,0.0426550086443618,0.0378003104581345,-0.112439060443658,-0.0221615478570597
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",-0.373476788758555,-0.335854007081115,-0.24880378357529,0.341276793591135,0.393227412810321,0.310812211190775
"GOBP_PROTEIN_POLYUBIQUITINATION",-0.207121458871463,-0.045062861243358,-0.00860946489352479,0.0088445800608777,0.103866712714082,0.124766641129639
"GOBP_MEIOTIC_SPINDLE_ORGANIZATION",-0.342724567751488,-0.430794220111214,-0.00443430724489549,0.236192257186044,0.108595796102235,0.372616489973129
"GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION",-0.0948407460943287,-0.0628770140842751,-0.0269553969079496,0.12825492111916,-0.015241231620648,0.0645143617471146
"GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY",-0.416586200506273,-0.404377196778513,-0.511635059991448,0.420788734247865,0.340146796292413,0.548920801799841
"GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY",-0.303778547023946,-0.456883947450524,-0.198989159949879,0.240532385709316,0.35938488881583,0.36380334940283
"GOBP_ALLANTOIN_METABOLIC_PROCESS",-0.167377626926375,-0.29976292339911,-0.523693122090589,0.527361280212926,0.156383294611921,0.251804905863568
"GOBP_MITOCHONDRIAL_FISSION",-0.145727376065933,0.0271331282381785,-0.0223829618537797,-0.0812368024246183,0.136618831276951,0.10893102847137
"GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS",-0.0771687877096643,0.517580371663769,0.454846853388995,-0.315949685069872,-0.652275377234626,-0.0731731089666364
"GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS",0.12699835383309,0.0904330746252994,0.313147666496348,-0.121252993505958,-0.198722439162542,-0.194082475167843
"GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS",-0.101064914427484,-0.00649114085716804,-0.0857661349119938,0.0914898219142969,-0.183757514969461,0.0982420511865587
"GOBP_MITOTIC_CELL_CYCLE",-0.147310097830429,-0.149247829021065,-0.152668241357677,0.14124742106892,0.10115264002622,0.181194747355055
"GOBP_MITOTIC_CYTOKINESIS",-0.0253906302752777,-0.117224509886406,-0.140859835639506,0.151134929521911,-0.0455327106278263,0.0980441718791761
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",-0.322095074413685,-0.131625673115576,-0.0692840624031862,0.244713257121892,0.268660922305095,0.0867490591882169
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING",-0.295847708627243,0.0490076499865761,-0.0155478253801321,0.270311106522213,0.0260040405896982,0.0673677928571202
"GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA",-0.364504446536673,-0.668205102196229,-0.373317659389599,0.394477255843094,0.634312929953287,0.455289246809028
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC",-0.457113617793314,-0.254889533782313,-0.104333455358693,0.0385921639092065,0.205379865419078,0.421139410815124
"GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI",-0.587513204898679,-0.55172765129851,-0.533448293351042,0.542878006928406,0.377645224325835,0.573210934726337
"GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES",0.0336766625182038,-0.115313048644693,-0.0343540234909763,0.219067334182355,-0.0227324171283708,-0.020869420056603
"GOBP_RESPONSE_TO_OXYGEN_RADICAL",0.118763563495884,-0.0654993209559552,0.294035665516606,-0.215525101921853,-0.269647876054514,-0.100668534917444
"GOBP_PROTEIN_DENEDDYLATION",-0.474023821962529,-0.207310465866009,-0.325981786880345,0.464152147557246,0.615105776854636,-0.0791981993219291
"GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP",-0.176882129277753,0.653333333333335,-0.922940430926221,0.113206590621044,-0.49495564005123,0.734854245880863
"GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",-0.369883685838851,-0.344311763074423,-0.282917895902386,0.286441238642714,0.317486147317816,0.372025357464857
"GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",-0.209261893535716,0.0200825513438227,-0.00935626684596957,-0.0739083476785511,0.247406519672277,0.0965846674573277
"GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",-0.0958621577519935,0.100053531018559,0.0580408039190027,-0.16471365366015,0.168453271520629,0.00138233858863931
"GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY",-0.3815070320578,-0.479299740800986,-0.361580725004436,0.430343436387792,0.332592182768821,0.472142670877549
"GOBP_MRNA_3_SPLICE_SITE_RECOGNITION",-0.467485043629646,-0.570863750547361,-0.581389452332484,0.240958408511034,0.63774310504771,0.577821892935857
"GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION",-0.334153590953506,-0.235068467614336,-0.69208135190176,0.255469607415822,0.598549769281382,0.368591856396728
"GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION",-0.117694986212994,-0.407735450112377,-0.196324088487628,0.463631694709759,0.108507295141812,0.0748665180794131
"GOBP_MRNA_5_SPLICE_SITE_RECOGNITION",0.152421148713117,0.00935375835438002,0.304294700970411,-0.26068110501262,-0.180381164120684,-0.000903593265847574
"GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION",-0.423761097604891,-0.169866246139405,0.0968016556201471,0.0894320351989297,0.163351880178706,0.319987322619856
"GOBP_AUTOPHAGY_OF_MITOCHONDRION",-0.151522451846275,-0.0743009314309056,-0.256542063312727,0.294456726949356,0.138279030114854,0.0807953073036174
"GOBP_MITOPHAGY",-0.168219559845505,-0.0226810931710455,-0.00299485956521939,0.311440107046823,-0.0967928073065291,-0.105300257436394
"GOBP_PEXOPHAGY",-0.163329893635239,0.668090952217609,0.309054534601241,-0.435565201250565,0.228128270148502,-0.206841864741733
"GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.536782906736304,-0.402099795722666,-0.507557137505034,0.500475599827926,0.558554160279683,0.298020761737149
"GOBP_MATURATION_OF_5_8S_RRNA",-0.348847039391914,-0.485022509019735,-0.36945294588206,0.379770427764631,0.365851920129532,0.499714016979444
"GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.43561528981451,-0.325892492952982,-0.572610070211761,0.302875507336299,0.418218152152669,0.482767564806587
"GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.481870185228719,-0.577427848583695,-0.554379681032616,0.536355190040183,0.436936277553684,0.622981131696937
"GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.282209881046824,-0.437820649847629,-0.402375615855433,0.434642697012501,0.348093508643641,0.444050970265248
"GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING",-0.334238225256606,-0.430890458281624,-0.414693053925216,0.314562443825131,0.455152847995406,0.439173041692311
"GOBP_MATURATION_OF_LSU_RRNA",-0.503228582003248,-0.570613400164827,-0.504176990046982,0.4965070450681,0.38917018747037,0.624736253774947
"GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING",-0.420243017096226,-0.388173659165569,-0.509802131888498,0.329255295399059,0.542402528749784,0.410233839842841
