"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KLF10",3690.2896967028,3.95275445515906,0.0617619099853614,63.9998739691815,0,0
"TINCR",605.433337969404,3.69943778383764,0.134670275914431,27.4703364103023,3.97178366891725e-166,1.75799088753615e-162
"ATF3",795.855035889318,2.42855482938761,0.104333201362705,23.276912791595,7.59724772934863e-120,1.86816321664683e-116
"AEN",976.659977164246,2.28830272513928,0.109981091617252,20.8063285378441,3.79304820369916e-96,5.99599641400472e-93
"EGR1",758.011284382943,2.21458398595823,0.117301884599083,18.8793555493783,1.68631015180345e-79,1.69635136225283e-76
"H2AJ",548.292260519735,2.05313442012186,0.121147955495527,16.947330326162,2.01393342619637e-64,1.1142590163788e-61
"CCDC88B",397.980822936254,2.16046453658605,0.147005546504834,14.6964831460628,6.78954574050927e-49,1.92640303568219e-46
"NR1D1",217.64282989598,3.30106669097963,0.225466733050682,14.6410366013402,1.53706777967029e-48,4.14839597949795e-46
"EDA2R",357.831762176051,2.43534792505981,0.179310482376111,13.5817376250853,5.13925681980892e-42,9.47807438993261e-40
"TCHH",329.62075876164,2.46095437254759,0.184386651681038,13.3467056867255,1.23803987899461e-40,2.14055160640858e-38
"AOC3",279.96777440844,2.29767549888184,0.172251389610039,13.3390825123882,1.3713692282035e-40,2.33459787610551e-38
"LRRN4CL",148.851025318202,3.24543360066601,0.252503134791652,12.8530428081375,8.26924017730011e-38,1.19995315645546e-35
"MIR4435-2HG",234.809349412908,2.38483142111616,0.19454731501342,12.2583620388266,1.51531902572347e-34,1.91631573475921e-32
"CFAP53",211.186709427738,2.46809408059497,0.206832998511249,11.9327868297608,7.98546075893394e-33,9.10959959051377e-31
"GPR35",186.512229666257,2.49294066301562,0.221414858791324,11.2591389603402,2.08788699729005e-29,1.93334841577515e-27
"TNXB",274.61868650512,2.2601969593786,0.203901074473277,11.0847721877739,1.48728527447293e-28,1.30099250629883e-26
"HLF",191.15658500772,2.76987713836128,0.256187722763254,10.811904288329,3.02328007598255e-27,2.35592293526654e-25
"NLRP3",76.6894947420151,3.80104108984389,0.376665592718385,10.0912883027406,6.03719091982133e-24,3.79571227973199e-22
"GABRR2",86.969920281336,2.84733036622306,0.315491902826171,9.02505053447241,1.79612452861867e-19,7.64423691208843e-18
"CASS4",60.5783450085607,5.26734469877144,0.584926842759606,9.00513417014822,2.1540226598076e-19,9.1323133111498e-18
"PIWIL2",132.002112843155,2.87922579488257,0.327198290007927,8.79963582576428,1.37260849505574e-18,5.40519548115279e-17
"DCAF4L1",95.1429309865965,2.49205576063323,0.29015803242236,8.58861545147832,8.80235931170828e-18,3.25217051631746e-16
"MGAM2",63.1196822470169,3.49193367668141,0.419015624169749,8.33365983333067,7.83809162787995e-17,2.64428057647273e-15
"SMIM11",169.064961750075,2.39268305853426,0.29614801561676,8.07934861069806,6.51136397835762e-16,2.05274923368992e-14
"MYH8",130.872919695777,2.21313334875456,0.275861453494009,8.02262628839016,1.03507892983934e-15,3.21280950859388e-14
"LTA",45.4250004638662,5.20589707493695,0.655788019222796,7.93838393251938,2.04832468624008e-15,6.20129598237746e-14
"TMEM63A",90.7218065572876,2.68157051610572,0.338136801971017,7.93043082111945,2.18386936666383e-15,6.58463391738925e-14
"SPATA18",94.4697817848304,2.421712308384,0.306197960295076,7.90897596460226,2.59514706392875e-15,7.76124319889286e-14
"CSF1R",61.9016663034256,2.96750342181152,0.378905905838216,7.83176872170101,4.81053850194791e-15,1.40451223729036e-13
