"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.00354662308655906,2,2,1,0.5,0.5,"CORUM:7422","CORUM","PPP1R13L-CEP55 complex",3383,2832,"CORUM","CEP55","CEP55","ENSG00000138180","CORUM - PPP1R13L-CEP55 complex"
"query_1",TRUE,0.00885606940326517,10,2,1,0.5,0.1,"CORUM:7557","CORUM","LGR4-RSPO supercomplex",3383,2892,"CORUM","RSPO3","RSPO3","ENSG00000146374","CORUM - LGR4-RSPO supercomplex"
"query_1",TRUE,0.0338863559344605,14,29,2,0.0689655172413793,0.142857142857143,"GO:2000095","GO:BP","regulation of Wnt signaling pathway, planar cell polarity pathway",21026,25009,"TAS,IEA","RSPO3,GPC3","RSPO3,GPC3","ENSG00000146374,ENSG00000147257","GO:BP - regulation of Wnt signaling pathway, planar cell polarity pathway"
"query_1",TRUE,0.0338863559344605,15,29,2,0.0689655172413793,0.133333333333333,"GO:2000052","GO:BP","positive regulation of non-canonical Wnt signaling pathway",21026,24975,"ISS TAS IEA,IEA","RSPO3,GPC3","RSPO3,GPC3","ENSG00000146374,ENSG00000147257","GO:BP - positive regulation of non-canonical Wnt signaling pathway"
"query_1",TRUE,0.0338863559344605,2293,29,11,0.379310344827586,0.00479720889664195,"GO:0003008","GO:BP","system process",21026,1457,"TAS,IEA,IDA IMP IEA,IMP TAS IEA,IGI ISS TAS NAS,IGI ISS IEA,ISS IEA,IMP IBA TAS,IDA IBA IEA,IBA IEA,IBA NAS IEA","MYL9,SLC1A7,ANGPT1,RPE65,SLC5A1,MME,GPR4,SCN10A,TAS2R43,OR13C5,OR6A2","MYL9,SLC1A7,ANGPT1,RPE65,SLC5A1,MME,GPR4,SCN10A,TAS2R43,OR13C5,OR6A2","ENSG00000101335,ENSG00000162383,ENSG00000154188,ENSG00000116745,ENSG00000100170,ENSG00000196549,ENSG00000177464,ENSG00000185313,ENSG00000255374,ENSG00000277556,ENSG00000184933","GO:BP - system process"
"query_1",TRUE,0.0338863559344605,9,29,2,0.0689655172413793,0.222222222222222,"GO:2000096","GO:BP","positive regulation of Wnt signaling pathway, planar cell polarity pathway",21026,25010,"TAS,IEA","RSPO3,GPC3","RSPO3,GPC3","ENSG00000146374,ENSG00000147257","GO:BP - positive regulation of Wnt signaling pathway, planar cell polarity pathway"
"query_1",TRUE,0.0338863559344605,6540,29,19,0.655172413793103,0.00290519877675841,"GO:0007154","GO:BP","cell communication",21026,2705,"IDA ISS TAS NAS IEA,IBA IEA,IEA,IEA,IEA,IEA,IDA ISS IBA IEA,IDA IBA IEA,IBA TAS IEA,IEA,IDA IMP IBA TAS IEA,IMP,IDA,IBA TAS IEA,ISS IBA IEA,NAS,IC IEA,IEA,NAS IEA","RSPO3,GPR149,PBK,DEPDC1,CEP55,SLC1A7,GPC3,ANGPT1,LILRB3,MME,GPR4,SCN10A,CHP2,PKN3,TLR10,RAB38,TAS2R43,OR13C5,OR6A2","RSPO3,GPR149,PBK,DEPDC1,CEP55,SLC1A7,GPC3,ANGPT1,LILRB3,MME,GPR4,SCN10A,CHP2,PKN3,TLR10,RAB38,TAS2R43,OR13C5,OR6A2","ENSG00000146374,ENSG00000174948,ENSG00000168078,ENSG00000024526,ENSG00000138180,ENSG00000162383,ENSG00000147257,ENSG00000154188,ENSG00000204577,ENSG00000196549,ENSG00000177464,ENSG00000185313,ENSG00000166869,ENSG00000160447,ENSG00000174123,ENSG00000123892,ENSG00000255374,ENSG00000277556,ENSG00000184933","GO:BP - cell communication"
"query_1",TRUE,0.0338863559344605,6515,29,19,0.655172413793103,0.00291634689178818,"GO:0023052","GO:BP","signaling",21026,6607,"IDA ISS TAS NAS IEA,IBA IEA,IEA,IEA,IEA,IEA,IDA ISS IBA IEA,IDA IBA IEA,IBA TAS IEA,IEA,IDA IMP IBA TAS IEA,IMP,IDA,IBA TAS IEA,ISS IBA IEA,NAS,IC IEA,IEA,NAS IEA","RSPO3,GPR149,PBK,DEPDC1,CEP55,SLC1A7,GPC3,ANGPT1,LILRB3,MME,GPR4,SCN10A,CHP2,PKN3,TLR10,RAB38,TAS2R43,OR13C5,OR6A2","RSPO3,GPR149,PBK,DEPDC1,CEP55,SLC1A7,GPC3,ANGPT1,LILRB3,MME,GPR4,SCN10A,CHP2,PKN3,TLR10,RAB38,TAS2R43,OR13C5,OR6A2","ENSG00000146374,ENSG00000174948,ENSG00000168078,ENSG00000024526,ENSG00000138180,ENSG00000162383,ENSG00000147257,ENSG00000154188,ENSG00000204577,ENSG00000196549,ENSG00000177464,ENSG00000185313,ENSG00000166869,ENSG00000160447,ENSG00000174123,ENSG00000123892,ENSG00000255374,ENSG00000277556,ENSG00000184933","GO:BP - signaling"
"query_1",TRUE,0.00246740837148533,5866,28,18,0.642857142857143,0.00306853051483123,"GO:0005886","GO:CC","plasma membrane",22149,409,"IBA IEA,IEA,IBA TAS IEA,IDA ISS IBA TAS IEA,IDA,TAS IEA,IBA TAS IEA,IDA ISS IBA TAS IEA,IDA IEA,IDA IBA TAS NAS IEA,IDA IBA TAS IEA,IDA IBA IEA,IDA IBA IEA,IBA TAS NAS,IEA,TAS IEA,IDA IBA IEA,IBA IEA","GPR149,CEP55,SLC1A7,GPC3,ANGPT1,RPE65,LILRB3,SLC5A1,PLEKHH2,MME,GPR4,SCN10A,CHP2,TLR10,RAB38,TAS2R43,OR13C5,OR6A2","GPR149,CEP55,SLC1A7,GPC3,ANGPT1,RPE65,LILRB3,SLC5A1,PLEKHH2,MME,GPR4,SCN10A,CHP2,TLR10,RAB38,TAS2R43,OR13C5,OR6A2","ENSG00000174948,ENSG00000138180,ENSG00000162383,ENSG00000147257,ENSG00000154188,ENSG00000116745,ENSG00000204577,ENSG00000100170,ENSG00000152527,ENSG00000196549,ENSG00000177464,ENSG00000185313,ENSG00000166869,ENSG00000174123,ENSG00000123892,ENSG00000255374,ENSG00000277556,ENSG00000184933","GO:CC - plasma membrane"
"query_1",TRUE,0.00246740837148533,6347,28,19,0.678571428571429,0.0029935402552387,"GO:0071944","GO:CC","cell periphery",22149,2725,"IBA IEA,IEA,IEA,IBA TAS IEA,IDA ISS IBA TAS IEA,IDA IBA,TAS IEA,IBA TAS IEA,IDA ISS IBA TAS IEA,IDA ISS IEA,IDA IBA TAS NAS IEA,IDA IBA TAS IEA,IDA IBA IEA,IDA IBA IEA,IBA TAS NAS,IEA,TAS IEA,IDA IBA IEA,IBA IEA","GPR149,MYL9,CEP55,SLC1A7,GPC3,ANGPT1,RPE65,LILRB3,SLC5A1,PLEKHH2,MME,GPR4,SCN10A,CHP2,TLR10,RAB38,TAS2R43,OR13C5,OR6A2","GPR149,MYL9,CEP55,SLC1A7,GPC3,ANGPT1,RPE65,LILRB3,SLC5A1,PLEKHH2,MME,GPR4,SCN10A,CHP2,TLR10,RAB38,TAS2R43,OR13C5,OR6A2","ENSG00000174948,ENSG00000101335,ENSG00000138180,ENSG00000162383,ENSG00000147257,ENSG00000154188,ENSG00000116745,ENSG00000204577,ENSG00000100170,ENSG00000152527,ENSG00000196549,ENSG00000177464,ENSG00000185313,ENSG00000166869,ENSG00000174123,ENSG00000123892,ENSG00000255374,ENSG00000277556,ENSG00000184933","GO:CC - cell periphery"
