"pathway","ref_mean","cmp_mean","mean_diff","p_value","FDR"
"GOBP_MRNA_EXPORT_FROM_NUCLEUS",-0.350706331594851,0.34605933566225,0.696765667257101,4.25118262580753e-06,0.0138653248089764
"GOBP_HISTONE_LYSINE_METHYLATION",-0.2525055854206,0.271913070762396,0.524418656182996,3.2945124286419e-06,0.0138653248089764
"GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION",0.455050291800912,-0.481035299158173,-0.936085590959084,3.25651569983009e-06,0.0138653248089764
"GOCC_SMALL_SUBUNIT_PROCESSOME",-0.46399482391651,0.501971394609152,0.965966218525662,6.59060975804562e-06,0.0138653248089764
"GOMF_CHEMOREPELLENT_ACTIVITY",0.441465181777905,-0.453314781714925,-0.89477996349283,5.46062176252528e-06,0.0138653248089764
"GOBP_PROTEIN_METHYLATION",-0.206850930788966,0.212660604854181,0.419511535643147,1.44622524445268e-05,0.0144741934860763
"GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING",0.32066513240635,-0.432611540841859,-0.753276673248209,1.40772406097504e-05,0.0144741934860763
"GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE",-0.228585368727578,0.266029938387403,0.494615307114981,2.56147559341716e-05,0.0144741934860763
"GOBP_NEGATIVE_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY",-0.558700686044856,0.605385175708222,1.16408586175308,1.15364599978032e-05,0.0144741934860763
"GOBP_PROTEIN_LOCALIZATION_TO_POSTSYNAPSE",0.335779836171035,-0.362450648834496,-0.698230485005532,1.03257754170939e-05,0.0144741934860763
"GOBP_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_EXONUCLEOLYTIC",-0.333977455630002,0.40932667116896,0.743304126798962,2.31665174499868e-05,0.0144741934860763
"GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS",-0.197604860040829,0.190878757195456,0.388483617236285,1.98846667287142e-05,0.0144741934860763
"GOCC_NUCLEAR_SPECK",-0.226795507949103,0.228054282524955,0.454849790474059,2.52989330494541e-05,0.0144741934860763
"GOCC_PRERIBOSOME",-0.466384350777632,0.490860477862214,0.957244828639846,8.59653129048844e-06,0.0144741934860763
"GOCC_H3_HISTONE_ACETYLTRANSFERASE_COMPLEX",-0.468873335231831,0.476146306597984,0.945019641829815,2.63368165564411e-05,0.0144741934860763
"GOCC_VESICLE_TETHERING_COMPLEX",-0.300792887161994,0.283439046353739,0.584231933515733,2.20185389949824e-05,0.0144741934860763
"GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX",-0.231179947438201,0.241878378562809,0.47305832600101,2.21101033839253e-05,0.0144741934860763
"GOMF_EXORIBONUCLEASE_ACTIVITY",-0.337222497903147,0.412262592207216,0.749485090110363,2.4048705773857e-05,0.0144741934860763
"GOMF_DENEDDYLASE_ACTIVITY",-0.567851601782042,0.550049648438218,1.11790125022026,1.95955987984593e-05,0.0144741934860763
"GOMF_HISTONE_H4K12_ACETYLTRANSFERASE_ACTIVITY",-0.539602311670047,0.515733603958077,1.05533591562812,2.75200940889368e-05,0.0144741934860763
"GOBP_REGULATION_OF_DNA_REPLICATION",-0.212030496367613,0.205934997484819,0.417965493852432,3.16769629958778e-05,0.0144873901632017
"GOCC_NUCLEAR_BODY",-0.209720672518694,0.210239533672958,0.419960206191652,3.08207875765375e-05,0.0144873901632017
"GOCC_SMC5_SMC6_COMPLEX",-0.553298109341902,0.534932175034477,1.08823028437638,2.96075033162642e-05,0.0144873901632017
"GOCC_CHROMOSOME_TELOMERIC_REGION",-0.239400182035,0.275519132789203,0.514919314824203,3.66808618189183e-05,0.0148847152092119
"GOCC_DNA_REPLICATION_FACTOR_C_COMPLEX",-0.609437699796288,0.611112678461392,1.22055037825768,3.67908161840013e-05,0.0148847152092119
"GOMF_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE",-0.415957377615078,0.425224956472856,0.841182334087934,3.46247969299297e-05,0.0148847152092119
"GOMF_RNA_EXONUCLEASE_ACTIVITY_PRODUCING_5_PHOSPHOMONOESTERS",-0.331673602017634,0.40615041851657,0.737824020534205,4.02714523394205e-05,0.0156894595243839
"GOBP_CARDIAC_ATRIUM_MORPHOGENESIS",0.352243186142452,-0.301413375170642,-0.653656561313094,4.68895902391717e-05,0.015905497347466
"GOBP_HISTONE_MODIFICATION",-0.196749883167511,0.196680310742983,0.393430193910494,4.57204140470963e-05,0.015905497347466
"GOBP_REGULATION_OF_VESICLE_FUSION",0.354358610164483,-0.389580362687919,-0.743938972852402,4.83863404429046e-05,0.015905497347466
"GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I",-0.463918587077205,0.465445681020712,0.929364268097918,4.30064163397645e-05,0.015905497347466
"GOBP_RIBOSOME_ASSOCIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",-0.55808296352902,0.53178967891172,1.08987264244074,4.56311647890825e-05,0.015905497347466
"GOBP_REGULATION_OF_RYANODINE_SENSITIVE_CALCIUM_RELEASE_CHANNEL_ACTIVITY",0.293652477013632,-0.341324184445371,-0.634976661459003,5.09677215572835e-05,0.0162463473654868
"GOBP_HISTONE_H3_K4_TRIMETHYLATION",-0.380711437905149,0.356827975792339,0.737539413697488,5.50862497295829e-05,0.0170427135560436
"GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA",-0.533285971685793,0.490938651267394,1.02422462295319,7.99577497891986e-05,0.0182207508929758
"GOBP_METHYLATION",-0.199962235168967,0.204811185588836,0.404773420757802,7.69845810056408e-05,0.0182207508929758
"GOBP_NEGATIVE_CHEMOTAXIS",0.468241814984875,-0.47626070685086,-0.944502521835734,8.14122342399338e-05,0.0182207508929758
"GOBP_NEGATIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION",0.345638557998078,-0.458328932973842,-0.80396749097192,6.15976582588673e-05,0.0182207508929758
"GOBP_REGULATION_OF_MRNA_CATABOLIC_PROCESS",-0.186511729456471,0.177986795692448,0.364498525148918,7.22270524496419e-05,0.0182207508929758
"GOBP_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS",-0.270690148778135,0.311479361895673,0.582169510673807,6.91108462740113e-05,0.0182207508929758
"GOBP_MESENCHYMAL_CELL_MIGRATION",0.357656321392856,-0.350606483199956,-0.708262804592812,7.13285326063618e-05,0.0182207508929758
"GOBP_REGULATION_OF_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY",0.475994767657754,-0.509176660209736,-0.985171427867491,7.94121313121935e-05,0.0182207508929758
"GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM",0.208960583715625,-0.252819207038337,-0.461779790753963,7.61607695761254e-05,0.0182207508929758
"GOBP_NEURON_PROJECTION_MAINTENANCE",0.391503707737793,-0.420487578960574,-0.811991286698367,7.09644973069764e-05,0.0182207508929758
"GOCC_RNA_POLYMERASE_I_COMPLEX",-0.612762194882232,0.559304152105879,1.17206634698811,7.44570617974967e-05,0.0182207508929758
"GOCC_PERISYNAPTIC_EXTRACELLULAR_MATRIX",0.535168195718661,-0.54830342330855,-1.08347161902721,7.66696703102812e-05,0.0182207508929758
"GOCC_B_WICH_COMPLEX",-0.490728460263196,0.536922535427532,1.02765099569073,6.60253304035503e-05,0.0182207508929758
"GOBP_PEPTIDYL_LYSINE_METHYLATION",-0.218446952606446,0.232485802877479,0.450932755483925,8.80240956899384e-05,0.0188964380114788
"GOBP_TAXIS",0.189316922668447,-0.197914969642852,-0.387231892311299,8.73760282014454e-05,0.0188964380114788
"GOBP_RNA_EXPORT_FROM_NUCLEUS",-0.360110275377224,0.33927786889136,0.699388144268585,9.3339516914481e-05,0.0192517329102632
"GOBP_REGULATION_OF_SYNAPSE_PRUNING",0.537456279178223,-0.566887123436464,-1.10434340261469,9.2079434245659e-05,0.0192517329102632
"GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING",-0.493024475725497,0.517595652073024,1.01062012779852,0.000103328462153061,0.0198607888667204
"GOBP_MRNA_CATABOLIC_PROCESS",-0.221960325392463,0.229678814219988,0.451639139612451,0.000107930538218346,0.0198607888667204
"GOBP_REGULATION_OF_MRNA_EXPORT_FROM_NUCLEUS",-0.566543981353637,0.54453028325916,1.1110742646128,0.000103295027692192,0.0198607888667204
"GOBP_PEPTIDYL_LYSINE_TRIMETHYLATION",-0.303564311266372,0.26810264203261,0.571666953298982,0.000112802890139399,0.0198607888667204
