"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AEN",2445.87817068073,3.72722683432382,0.0782464563291467,47.6344490112767,0,0
"ATF3",1874.51046800425,3.75854336158067,0.0836351974501937,44.9397320287185,0,0
"DGCR8",9836.20521685526,3.57447151454483,0.0406416811185597,87.9508774284558,0,0
"EGR1",1851.81264378102,3.62530021143438,0.0918842254412472,39.4550881179542,0,0
"FOS",2243.38772549148,2.54119375220131,0.067652918299156,37.5622192817218,0,0
"KIF5B",27924.196742306,2.87956770557689,0.0369358259366069,77.9613730722877,0,0
"KLF10",9642.38110444011,5.34493980454266,0.0533399279195837,100.205231109438,0,0
"TINCR",1528.54936618993,5.05140605389786,0.113446927430991,44.5266008369474,0,0
"CREB5",1992.97978758078,2.65474921570452,0.072082112083763,36.8295148263632,6.22370041748909e-297,4.74207073685059e-294
"TNFRSF10B",2183.51135961063,2.4939260615292,0.068256619267954,36.5374975830377,2.81680777674935e-292,1.90776131146396e-289
"IQCN",1528.22770744293,3.2724697409668,0.090130817344403,36.3080002754465,1.20982797763201e-288,7.37450643765592e-286
"PPM1D",2358.67048075096,2.26578753543283,0.0629668991470214,35.9837877698637,1.49999161661905e-283,8.31199899918312e-281
"PAPPA2",1925.26654930261,-2.63700993673628,0.0732866366055027,-35.982138884762,1.59175478311729e-283,8.62448113821462e-281
"MIDEAS",2508.07914673257,2.30748856091883,0.0643204590101857,35.8748770830976,7.53070954957113e-282,3.99160348342703e-279
"CRY1",2684.38828477913,2.19688342779574,0.0655966954354978,33.4907637223275,6.56895589889698e-246,2.54229020201438e-243
"NR1D1",852.313642944852,5.32789661456192,0.159405522143005,33.4235385508301,6.23973833809478e-245,2.34057384860657e-242
"NR1D2",1899.37989049216,2.41705215758305,0.0745655877779287,32.4151157338358,1.68092075436369e-230,5.61427531957473e-228
"USP36",3231.28482800245,2.05204568709156,0.0653196452654658,31.4154444463351,1.2450846646373e-216,3.89200696066495e-214
"HRK",1967.72721379438,2.71009801484806,0.088130823509573,30.7508531853635,1.19108494707489e-207,3.30011740677046e-205
"EDA2R",946.648610743562,3.94704492586937,0.12934781645049,30.5149714481663,1.64960833904872e-204,4.46897228029843e-202
