"","22q002-A","22q002-B","22q002-C","22q002-DGCR8-OE-A","22q002-DGCR8-OE-B","22q002-DGCR8-OE-C"
"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",-0.28828067602622,-0.187265215626525,-0.432678097008869,0.11731945050431,0.351461751058489,0.327607630103331
"GOBP_REPRODUCTION",-0.00893103728805028,-0.0978739226962266,-0.0755831590401405,0.00325139496369092,0.049763216061764,0.044443479744642
"GOBP_SINGLE_STRAND_BREAK_REPAIR",-0.353810377833096,-0.00270672885718293,-0.0941724077246861,0.28290334615132,-0.0897290209856889,0.27642811643469
"GOBP_REGULATION_OF_DNA_RECOMBINATION",-0.333492115549619,-0.246234250425228,-0.292435723558573,0.266185658803997,0.213902868682884,0.287421178837778
"GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",-0.0548918724630525,-0.438505552306502,0.342067801250886,0.472295330167491,-0.259848487628357,0.0687116170185254
"GOBP_MITOTIC_SPINDLE_ELONGATION",0.106249959377664,-0.190885345410124,0.172704178992966,0.134136214930568,-0.445300053427864,0.147353303241743
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",0.327578271637217,-0.503798556509754,-0.302170648353501,0.353555805797722,0.31410712657711,-0.0480291949274506
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",0.384860889294339,-0.337097370790191,-0.0849380758925966,0.186089812502974,0.17271007049771,-0.160945057746798
"GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.394384696253678,0.392007376957486,0.197219035807647,-0.256040433782933,-0.46516824291568,-0.46851563197736
"GOBP_TRANSITION_METAL_ION_TRANSPORT",0.0262633505293155,-0.0296916364251652,-0.0286577151893029,-0.159194106972939,-0.0508097798964486,0.103593405897038
"GOBP_UREA_CYCLE",-0.165464377477171,0.0415090889925521,0.214464483591148,0.243642579192418,-0.202850400081398,-0.134134509205735
"GOBP_CITRULLINE_METABOLIC_PROCESS",0.272537897445979,-0.0762287683597683,0.321436790059385,-0.215367184461225,-0.0655641450921275,0.124420956585253
"GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.441004379587232,-0.47172813211981,-0.404642287038364,0.348407031636047,0.375997825124771,0.490781283975027
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.321420618879359,-0.362996136988843,-0.215398470434111,0.0427671011125549,0.248165427223583,0.49122390380742
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.18910590492876,-0.412550408646657,-0.39112451626476,0.102631711281619,0.0529319094605611,0.479678487987049
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",-0.0844125665106326,-0.195570943767109,-0.178414633044259,0.123247578831794,0.149971099338,0.125355292001976
"GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING",-0.162588355801326,-0.211637940575797,-0.0498490194148043,0.176474882173507,0.0676237569679929,0.21699592417796
"GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING",-0.524024746449194,-0.439634390860361,0.179412265734301,0.39104264476913,0.427212218894937,0.187553633865771
"GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",-0.152581415466295,-0.116046872529695,-0.0989809567122027,-0.114840930137453,0.00762657810773759,0.210063208709088
