"X","term_name","source","p_value","gene","gene_module","gene_log2FC","padj","22q001-A","22q001-B","22q001-C","22q001-DGCR8-OE-A","22q001-DGCR8-OE-B","22q001-DGCR8-OE-C","ref_mean","comp_mean"
1,"M1 immune system process","GO:BP",0.00156741169706172,"TRIM56","TRIM56_M1",1.27813151002529,2.11806115518211e-10,0.456481259721182,-0.0546247185248818,0.388313015983309,-0.416414600508237,-0.227492759586723,-0.146262197084649,0.263389852393203,-0.263389852393203
2,"M1 immune system process","GO:BP",0.00156741169706172,"IGF2","IGF2_M1",4.18061396888521,1.44697359139455e-08,0.0799985809461266,-0.234142524682309,0.400330172165921,0.222098820934884,-0.234142524682309,-0.234142524682309,0.082062076143246,-0.0820620761432451
3,"M1 immune system process","GO:BP",0.00156741169706172,"SIX1","SIX1_M1",8.14474949748422,5.36780487222202e-08,0.347331316035278,0.497530537476742,0.473752334604184,-0.422346304348125,-0.335040079332343,-0.561227804435736,0.439538062705401,-0.439538062705401
4,"M1 immune system process","GO:BP",0.00156741169706172,"CXCR4","CXCR4_M1",1.54081070781431,3.218704730156e-06,0.121086636318943,0.129496271602867,0.0559213768466975,-0.223126106809084,-0.0685626432407958,-0.0148155347186307,0.102168094922836,-0.102168094922837
6,"M1 immune system process","GO:BP",0.00156741169706172,"RBM47","RBM47_M1",1.51404232903691,2.05126472356165e-05,-0.0955320604683285,-0.0955320604683285,0.223615841234031,-0.0955320604683285,-0.0955320604683285,0.158512400639284,0.0108505734324581,-0.0108505734324578
9,"M1 immune system process","GO:BP",0.00156741169706172,"SOX13","SOX13_M1",1.4038604644205,0.000164413282397213,0.145442273746799,0.115775240707226,0.231313944620828,-0.0532379480656555,-0.0636669981237823,-0.375626512885413,0.164177153024951,-0.16417715302495
11,"M1 immune system process","GO:BP",0.00156741169706172,"PDPN","PDPN_M1",1.37683394125294,0.00020263354342181,0.0217772313543572,0.218116051312566,0.025873427721625,-0.234886314736596,-0.234886314736596,0.204005919084648,0.0885889034628494,-0.0885889034628482
17,"M1 immune system process","GO:BP",0.00156741169706172,"SOCS3","SOCS3_M1",1.25164725047815,0.00207868319364024,0.0733076863544015,0.319993893930833,-0.0482658415651622,-0.42649058698006,0.0208358183270114,0.0606190299329743,0.115011912906691,-0.115011912906691
18,"M1 immune system process","GO:BP",0.00156741169706172,"CMTM7","CMTM7_M1",2.77129321469908,0.00588276453382672,-0.128653503990715,0.287220146936568,-0.12288363142964,0.151434674644016,-0.0547745823800723,-0.132343103780166,0.0118943371720711,-0.0118943371720741
21,"M2 cytokine production","GO:BP",0.0207970963379881,"TRIM56","TRIM56_M2",1.27813151002529,2.11806115518211e-10,0.456481259721182,-0.0546247185248818,0.388313015983309,-0.416414600508237,-0.227492759586723,-0.146262197084649,0.263389852393203,-0.263389852393203
23,"M2 cytokine production","GO:BP",0.0207970963379881,"RBM47","RBM47_M2",1.51404232903691,2.05126472356165e-05,-0.0955320604683285,-0.0955320604683285,0.223615841234031,-0.0955320604683285,-0.0955320604683285,0.158512400639284,0.0108505734324581,-0.0108505734324578
28,"M3 response to cytokine","GO:BP",0.000176105486992348,"TRIM56","TRIM56_M3",1.27813151002529,2.11806115518211e-10,0.456481259721182,-0.0546247185248818,0.388313015983309,-0.416414600508237,-0.227492759586723,-0.146262197084649,0.263389852393203,-0.263389852393203
29,"M3 response to cytokine","GO:BP",0.000176105486992348,"CXCR4","CXCR4_M3",1.54081070781431,3.218704730156e-06,0.121086636318943,0.129496271602867,0.0559213768466975,-0.223126106809084,-0.0685626432407958,-0.0148155347186307,0.102168094922836,-0.102168094922837
30,"M3 response to cytokine","GO:BP",0.000176105486992348,"PCK2","PCK2_M3",1.05487755772177,1.26934807579734e-05,0.227092362394863,-0.140594401398585,-0.0729584716803107,-0.0613833661405643,0.0845748688381125,-0.036730992013517,0.00451316310532264,-0.00451316310532294
31,"M3 response to cytokine","GO:BP",0.000176105486992348,"RBM47","RBM47_M3",1.51404232903691,2.05126472356165e-05,-0.0955320604683285,-0.0955320604683285,0.223615841234031,-0.0955320604683285,-0.0955320604683285,0.158512400639284,0.0108505734324581,-0.0108505734324578
36,"M3 response to cytokine","GO:BP",0.000176105486992348,"SOCS3","SOCS3_M3",1.25164725047815,0.00207868319364024,0.0733076863544015,0.319993893930833,-0.0482658415651622,-0.42649058698006,0.0208358183270114,0.0606190299329743,0.115011912906691,-0.115011912906691
38,"M4 PI3K-Akt signaling pathway","KEGG",1.31525780087059e-05,"IGF2","IGF2_M4",4.18061396888521,1.44697359139455e-08,0.0799985809461266,-0.234142524682309,0.400330172165921,0.222098820934884,-0.234142524682309,-0.234142524682309,0.082062076143246,-0.0820620761432451
39,"M4 PI3K-Akt signaling pathway","KEGG",1.31525780087059e-05,"PCK2","PCK2_M4",1.05487755772177,1.26934807579734e-05,0.227092362394863,-0.140594401398585,-0.0729584716803107,-0.0613833661405643,0.0845748688381125,-0.036730992013517,0.00451316310532264,-0.00451316310532294
44,"M4 PI3K-Akt signaling pathway","KEGG",1.31525780087059e-05,"CREB3L2","CREB3L2_M4",1.08033267821423,0.00208380471002964,0.26615959625541,0.094595215689111,0.111983906467593,-0.0906755505330654,-0.155192983735299,-0.226870184143747,0.157579572804038,-0.157579572804037
46,"M5 regulation of MAPK cascade","GO:BP",0.00935534845600345,"IGF2","IGF2_M5",4.18061396888521,1.44697359139455e-08,0.0799985809461266,-0.234142524682309,0.400330172165921,0.222098820934884,-0.234142524682309,-0.234142524682309,0.082062076143246,-0.0820620761432451
47,"M5 regulation of MAPK cascade","GO:BP",0.00935534845600345,"KLHL31","KLHL31_M5",4.44746632540022,8.53347709748152e-06,0.290249425900808,-0.00783730645060299,-0.0502692374308022,-0.207296494281757,0.044237348163886,-0.0690837359015353,0.0773809606731343,-0.0773809606731355
54,"M6 nervous system development","GO:BP",5.08802963855904e-13,"WLS","WLS_M6",2.44203475538613,5.21832383401108e-08,0.529409967918012,-0.0166319557065835,0.293326303112572,-0.254147625476331,-0.197053839727643,-0.354902850120031,0.268701438441333,-0.268701438441335
55,"M6 nervous system development","GO:BP",5.08802963855904e-13,"SIX1","SIX1_M6",8.14474949748422,5.36780487222202e-08,0.347331316035278,0.497530537476742,0.473752334604184,-0.422346304348125,-0.335040079332343,-0.561227804435736,0.439538062705401,-0.439538062705401
56,"M6 nervous system development","GO:BP",5.08802963855904e-13,"ID3","ID3_M6",3.90844798832457,1.60986913348304e-06,0.0775790902189373,0.115372545641828,0.234066929412215,-0.163209707057318,-0.262697682071435,-0.0011111761442244,0.14233952175766,-0.142339521757659
57,"M6 nervous system development","GO:BP",5.08802963855904e-13,"CXCR4","CXCR4_M6",1.54081070781431,3.218704730156e-06,0.121086636318943,0.129496271602867,0.0559213768466975,-0.223126106809084,-0.0685626432407958,-0.0148155347186307,0.102168094922836,-0.102168094922837
58,"M6 nervous system development","GO:BP",5.08802963855904e-13,"PCDH18","PCDH18_M6",1.83558087827231,3.56125443430623e-06,0.503111304213066,0.20158095975335,0.156199729628813,0.122180505175011,-0.365244632285015,-0.617827866485229,0.286963997865077,-0.286963997865077
61,"M6 nervous system development","GO:BP",5.08802963855904e-13,"PCDHGB4","PCDHGB4_M6",1.69360761983706,3.69277254103013e-05,0.354953117673661,0.281224985518131,0.333585064082316,-0.278096295875768,-0.54453178510443,-0.147135086293913,0.323254389091369,-0.32325438909137
65,"M6 nervous system development","GO:BP",5.08802963855904e-13,"SOX13","SOX13_M6",1.4038604644205,0.000164413282397213,0.145442273746799,0.115775240707226,0.231313944620828,-0.0532379480656555,-0.0636669981237823,-0.375626512885413,0.164177153024951,-0.16417715302495
73,"M6 nervous system development","GO:BP",5.08802963855904e-13,"ANXA2","ANXA2_M6",1.35242458938101,0.00193734176881244,0.472936103234343,0.370673585397201,0.376178795462286,-0.389009731875801,-0.408615249633236,-0.422163502584793,0.40659616136461,-0.40659616136461
74,"M6 nervous system development","GO:BP",5.08802963855904e-13,"TBX3","TBX3_M6",2.39920244649992,0.00214774713943635,0.12688840095055,0.24287868385111,0.20709177296351,-0.16236767151276,-0.280390035496177,-0.134101150756226,0.192286285921724,-0.192286285921721
78,"M6 nervous system development","GO:BP",5.08802963855904e-13,"VCL","VCL_M6",1.10200982514672,0.0150219722244367,0.0634865873628527,0.0237033249583121,0.0455708546903288,-0.0911436674348955,0.0101495732087642,-0.0517666727853658,0.0442535890038312,-0.0442535890038324
80,"M6 nervous system development","GO:BP",5.08802963855904e-13,"PCDHGB1","PCDHGB1_M6",1.25064988894922,0.0203977906819726,0.0491707955710643,0.0860885606499524,0.0796694479897946,0.0539773886571719,-0.106124231461395,-0.162781961406581,0.0716429347369371,-0.0716429347369347
83,"M6 nervous system development","GO:BP",5.08802963855904e-13,"HHIP","HHIP_M6",1.64998081216485,0.0482582926796021,0.179015006363433,0.235093883852652,0.0979778485623619,-0.190255646075015,-0.0806097759701885,-0.241221316733236,0.170695579592815,-0.170695579592813
84,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"VGLL3","VGLL3_M7",4.65753199401788,3.36421126796504e-13,0.15416411856535,0.00564743405421542,0.0142514996299976,0.0976449723640114,-0.170678146017785,-0.101029878595791,0.0580210174165211,-0.0580210174165217
85,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"IGF2","IGF2_M7",4.18061396888521,1.44697359139455e-08,0.0799985809461266,-0.234142524682309,0.400330172165921,0.222098820934884,-0.234142524682309,-0.234142524682309,0.082062076143246,-0.0820620761432451
86,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"SIX1","SIX1_M7",8.14474949748422,5.36780487222202e-08,0.347331316035278,0.497530537476742,0.473752334604184,-0.422346304348125,-0.335040079332343,-0.561227804435736,0.439538062705401,-0.439538062705401
87,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"ID3","ID3_M7",3.90844798832457,1.60986913348304e-06,0.0775790902189373,0.115372545641828,0.234066929412215,-0.163209707057318,-0.262697682071435,-0.0011111761442244,0.14233952175766,-0.142339521757659
88,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"RBM47","RBM47_M7",1.51404232903691,2.05126472356165e-05,-0.0955320604683285,-0.0955320604683285,0.223615841234031,-0.0955320604683285,-0.0955320604683285,0.158512400639284,0.0108505734324581,-0.0108505734324578
91,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"SOX13","SOX13_M7",1.4038604644205,0.000164413282397213,0.145442273746799,0.115775240707226,0.231313944620828,-0.0532379480656555,-0.0636669981237823,-0.375626512885413,0.164177153024951,-0.16417715302495
97,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"ANXA2","ANXA2_M7",1.35242458938101,0.00193734176881244,0.472936103234343,0.370673585397201,0.376178795462286,-0.389009731875801,-0.408615249633236,-0.422163502584793,0.40659616136461,-0.40659616136461
98,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"CREB3L2","CREB3L2_M7",1.08033267821423,0.00208380471002964,0.26615959625541,0.094595215689111,0.111983906467593,-0.0906755505330654,-0.155192983735299,-0.226870184143747,0.157579572804038,-0.157579572804037
99,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"TBX3","TBX3_M7",2.39920244649992,0.00214774713943635,0.12688840095055,0.24287868385111,0.20709177296351,-0.16236767151276,-0.280390035496177,-0.134101150756226,0.192286285921724,-0.192286285921721
103,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"PDE3A","PDE3A_M7",1.03564777678883,0.0121761436635515,0.0372618371616635,0.135946538852525,0.077151540721828,-0.0595730936391581,0.00362898165742553,-0.194415804754288,0.0834533055786721,-0.0834533055786736
104,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"KANK2","KANK2_M7",1.21402884185199,0.0129434386531749,0.137042031498876,0.144749343373148,-0.0984602384854307,-0.130299415290104,0.0703956759821924,-0.123427397078684,0.0611103787955309,-0.061110378795532
