"X","term_name","source","p_value","gene","gene_module","gene_log2FC","padj","22q002-A","22q002-B","22q002-C","22q002-185-OE-A","22q002-185-OE-B","22q002-185-OE-C","ref_mean","comp_mean"
1,"M1 immune system process","GO:BP",0.00156741169706172,"TRIM56","TRIM56_M1",1.27813151002529,2.11806115518211e-10,0.313798762084679,0.349014999380801,0.393099472446114,-0.296115478283775,-0.363935759236595,-0.395861996391223,0.351971077970531,-0.351971077970531
3,"M1 immune system process","GO:BP",0.00156741169706172,"SIX1","SIX1_M1",8.14474949748422,5.36780487222202e-08,0.238262607987037,0.225867603644714,0.251300411983872,-0.212670914977444,-0.325219660647829,-0.177540047990346,0.238476874538541,-0.23847687453854
4,"M1 immune system process","GO:BP",0.00156741169706172,"CXCR4","CXCR4_M1",1.54081070781431,3.218704730156e-06,0.644690592822032,0.628774677384948,0.935327738454376,-0.881219919456709,-0.565780875164275,-0.761792214040374,0.736264336220452,-0.736264336220452
5,"M1 immune system process","GO:BP",0.00156741169706172,"SERPINE1","SERPINE1_M1",2.38135026174165,1.47402448959599e-05,0.287180002366373,0.196060184983541,-0.0515641190242899,-0.0801380120052544,-0.0425059074470395,-0.309032148873328,0.143892022775208,-0.143892022775207
6,"M1 immune system process","GO:BP",0.00156741169706172,"RBM47","RBM47_M1",1.51404232903691,2.05126472356165e-05,-0.123168506619437,0.0723184844570817,0.163903506149228,-0.123168506619437,-0.123168506619437,0.133283529251995,0.0376844946622909,-0.037684494662293
7,"M1 immune system process","GO:BP",0.00156741169706172,"ITGB8","ITGB8_M1",1.68202251050562,2.92209850795987e-05,0.394049506222443,0.228837178194663,0.194103396515111,-0.284080008931452,-0.134086459848046,-0.398823612152727,0.272330026977405,-0.272330026977408
8,"M1 immune system process","GO:BP",0.00156741169706172,"TGFBR2","TGFBR2_M1",1.82742195002922,4.2843592796252e-05,-0.179945356450253,0.405422336520158,0.124268248620621,-0.102514036653166,-0.184878404842859,-0.0623527871944995,0.116581742896842,-0.116581742896842
10,"M1 immune system process","GO:BP",0.00156741169706172,"CCR7","CCR7_M1",1.82878653235917,0.000164696144852758,-0.162809821412857,0.227273982377628,0.242507119645156,-0.162809821412857,-0.162809821412857,0.0186483622157878,0.102323760203309,-0.102323760203309
11,"M1 immune system process","GO:BP",0.00156741169706172,"PDPN","PDPN_M1",1.37683394125294,0.00020263354342181,-0.0576009881942925,0.644299152320523,0.398657571697559,-0.520294585478807,-0.183966369420901,-0.281094780924087,0.328451911941263,-0.328451911941265
12,"M1 immune system process","GO:BP",0.00156741169706172,"FN1","FN1_M1",1.89654278624972,0.000237458541642925,0.275857224506534,0.125323175297153,0.284235728367682,-0.107854696505694,-0.240101223575747,-0.33746020808992,0.22847204272379,-0.228472042723787
