"gene","module"
"AADAT","black"
"ABHD17A","black"
"ABHD5","black"
"ACD","black"
"ACTA2-AS1","black"
"ACYP2","black"
"ADNP-AS1","black"
"ADSS2","black"
"AFTPH-DT","black"
"AGAP14P","black"
"AGBL5-IT1","black"
"AGK","black"
"AGPS","black"
"AIDAP2","black"
"AIM2","black"
"AK6","black"
"AK8","black"
"AK9","black"
"AKIRIN1","black"
"AKTIP","black"
"ANAPC13","black"
"ANK1","black"
"ANKMY1","black"
"ANKRD34A","black"
"ANKRD54","black"
"ANKS1B","black"
"ANKS3","black"
"ANTKMT","black"
"AOAH","black"
"AP1M1","black"
"AP1M2","black"
"AP2S1","black"
"AP3D1","black"
"AP3M2","black"
"AP4S1","black"
"APBB2","black"
"ARHGAP27","black"
"ARHGAP8","black"
"ARHGEF33","black"
"ARHGEF4","black"
"ARL16","black"
"ARMC6","black"
"ARNILA","black"
"ARNTL","black"
"ARPC5L","black"
"ARPP19","black"
"ASB16-AS1","black"
"ASH1L-AS1","black"
"ATP5MK","black"
"ATP5PD","black"
"ATP5PO","black"
"ATP6V0D1","black"
"ATP6V1D","black"
"ATP6V1E2","black"
"ATP6V1F","black"
"ATPAF1","black"
"ATXN1","black"
"AVIL","black"
"B3GALT6","black"
"B3GNT3","black"
"BCAR1","black"
"BCAS2","black"
"BCDIN3D-AS1","black"
"BCL7C","black"
"BCS1L","black"
"BEAN1","black"
"BEND3P3","black"
"BEND5","black"
"BLOC1S1","black"
"BLOC1S2","black"
"BLOC1S4","black"
"BLOC1S6","black"
"BMS1P11","black"
"BNIP1","black"
"BOD1","black"
"BORCS7","black"
"BPIFB9P","black"
"BRI3","black"
"BRK1","black"
"BRMS1L","black"
"BTBD3","black"
"BTF3L4P2","black"
"BTRC","black"
"BUD31","black"
"C11orf49","black"
"C17orf113","black"
"C17orf75","black"
"C19orf25","black"
"C1D","black"
"C2orf15","black"
"C2orf16","black"
"C2orf49-DT","black"
"C4orf33","black"
"C5orf51","black"
"C8orf44","black"
"CAB39L","black"
"CABLES2","black"
"CACNG2-DT","black"
"CACYBP","black"
"CALB2","black"
"CALML3-AS1","black"
"CAMSAP1-DT","black"
"CARS1","black"
"CBFA2T3","black"
"CBLN4","black"
"CBR3-AS1","black"
"CBWD2","black"
"CBWD5","black"
"CBX5","black"
"CC2D1A","black"
"CCDC115","black"
"CCDC136","black"
"CCDC146","black"
"CCDC157","black"
"CCDC167","black"
"CCDC30","black"
"CCDC6","black"
"CCDC73","black"
"CCDC74B","black"
"CCDC96","black"
"CCL25","black"
"CCN2-AS1","black"
"CD24","black"
"CDC42BPA","black"
"CDK10","black"
"CDKN2AIPNL","black"
"CERK","black"
"CFAP36","black"
"CFAP61","black"
"CFLAR","black"
"CHCHD7","black"
"CHKB","black"
"CIRBP","black"
"CISD1","black"
"CITED2","black"
"CLOCK","black"
"CLPP","black"
"CLTA","black"
"CLUHP3","black"
"CMPK1","black"
"CNTN2","black"
"COA3","black"
"COA7","black"
"COA8","black"
"COMMD1","black"
"COMMD5","black"
"COMMD9","black"
"COPS8","black"
"COPS9","black"
"COQ4","black"
"COTL1","black"
"COX11","black"
"COX19","black"
"COX5A","black"
"COX7A2L","black"
"COX7B","black"
"CPB2-AS1","black"
"CPNE2","black"
"CPTP","black"
"CRBN","black"
"CREBL2","black"
"CSKMT","black"
"CSNK2B","black"
"CTDNEP1","black"
"CTNNA2","black"
"CTNNA2-AS1","black"
"CTSF","black"
"CTXN2-AS1","black"
"CUEDC1","black"
"CYBC1","black"
"CYP4A11","black"
"DBIL5P","black"
"DCAF17","black"
"DCLK2","black"
"DCTN1-AS1","black"
"DCUN1D4","black"
"DCXR","black"
"DDA1","black"
"DDAH1","black"
"DENND10","black"
"DENR","black"
"DESI1","black"
"DGUOK","black"
"DIRAS2","black"
"DMPK","black"
"DNAAF11","black"
"DNAJC27-AS1","black"
"DNAJC8","black"
"DNAJC8P1","black"
"DPH3","black"
"DPM2","black"
"DPP8","black"
"DPRXP4","black"
"DR1","black"
"DSEL-AS1","black"
"DSTYK","black"
"DTNBP1","black"
"DUBR","black"
"DUS4L","black"
"DUSP23","black"
"DYNLT2","black"
"DYRK3-AS1","black"
"EAF1","black"
"ECHDC1","black"
"EEF1A1P12","black"
"EEF1E1","black"
"EFCAB5","black"
"EID1","black"
"EIF4G2","black"
"ELAVL2","black"
"ELOC","black"
"ELOCP2","black"
"EMBP1","black"
"EMC9","black"
"EN2","black"
"ENDOV","black"
"ENTPD1","black"
"EPB41L4A-DT","black"
"EPB41L4B","black"
"EPM2A","black"
"EPM2AIP1","black"
"ERH","black"
"ERICD","black"
"ERVK3-1","black"
"ERVK9-11","black"
"ESF1","black"
"ETFB","black"
"EVL","black"
"EXOC3-AS1","black"
"EXOSC6","black"
"FAAP100","black"
"FABP5P8","black"
"FAHD1","black"
"FAM133DP","black"
"FAM136DP","black"
"FAM13B","black"
"FAM149B1","black"
"FAM151B-DT","black"
"FAM174C","black"
"FAM184A","black"
"FAM193B","black"
"FAM204A","black"
"FAM222A","black"
"FAM50B","black"
"FAM87A","black"
"FASTK","black"
"FBLL1","black"
"FBXL15","black"
"FBXL18","black"
"FBXO25","black"
"FBXO38-DT","black"
"FBXO9","black"
"FBXW5","black"
"FBXW9","black"
"FCRL6","black"
"FDX1","black"
"FGF7P6","black"
"FGR","black"
"FHIP2B","black"
"FHL1","black"
"FIBP","black"
"FLCN","black"
"FOSL1","black"
"FOXD4","black"
"FOXP2","black"
"FTH1P19","black"
"FTH1P7","black"
"FTO","black"
"GABARAPL2","black"
"GABRQ","black"
"GADD45GIP1","black"
"GAN","black"
"GAPT","black"
"GCSIR","black"
"GDAP1","black"
"GGPS1","black"
"GIPC2","black"
"GLI4","black"
"GLYATL2","black"
"GNAQP1","black"
"GNB2","black"
"GOSR2","black"
"GPER1","black"
"GPHN","black"
"GPR137","black"
"GRPEL1","black"
"GRPEL2","black"
"GUCY1A2","black"
"GVQW3","black"
"H2BC19P","black"
"H2BC6","black"
"HCG17","black"
"HDAC8","black"
"HDDC2","black"
"HIKESHI","black"
"HIPK2","black"
"HLA-DPB2","black"
"HLA-DRA","black"
"HLA-K","black"
"HMOX2","black"
"HOMER1","black"
"HOMER2","black"
"HRAS","black"
"HS6ST3","black"
"HSH2D","black"
"HSPA8P11","black"
"HSPBP1","black"
"IDNK","black"
"IFIT5","black"
"IFT22","black"
"IGBP1-AS1","black"
"IKZF3","black"
"IKZF4","black"
"ILF3-DT","black"
"IMPA1","black"
"IRF4","black"
"IRX4-AS1","black"
"ISOC2","black"
"ITFG1-AS1","black"
"ITGAE","black"
"JDP2","black"
"KAT2A","black"
"KBTBD8","black"
"KCNIP4","black"
"KCTD1","black"
"KCTD12","black"
"KDSR-DT","black"
"KIAA0040","black"
"KIAA0825","black"
"KIAA0895L","black"
"KIAA2026","black"
"KIF26B","black"
"KLF12","black"
"KLF15","black"
"KLHL5","black"
"KRAS","black"
"KRBOX5","black"
"KRT10","black"
"KRT222","black"
"LAMTOR1","black"
"LAMTOR3","black"
"LAMTOR4","black"
"LANCL2","black"
"LARP6","black"
"LBH","black"
"LCMT1","black"
"LGALS9","black"
"LIMD1-AS1","black"
"LIN7C","black"
"LINC00539","black"
"LINC00581","black"
"LINC00641","black"
"LINC00663","black"
"LINC00665","black"
"LINC00680","black"
"LINC00852","black"
"LINC00900","black"
"LINC01122","black"
"LINC01140","black"
"LINC01257","black"
"LINC01289","black"
"LINC01331","black"
"LINC01354","black"
"LINC01505","black"
"LINC01597","black"
"LINC01686","black"
"LINC01719","black"
"LINC01881","black"
"LINC01886","black"
"LINC01963","black"
"LINC01982","black"
"LINC02223","black"
"LINC02265","black"
"LINC02427","black"
"LINC02481","black"
"LINC02482","black"
"LINC02520","black"
"LINC02680","black"
"LINC02734","black"
"LIPT2","black"
"LONRF3","black"
"LPXN","black"
"LRRC37A5P","black"
"LRRC51","black"
"LSM1","black"
"LURAP1L-AS1","black"
"LY6G5B","black"
"LYPLA2","black"
"LYRM1","black"
"MACROH2A2","black"
"MAFG-DT","black"
"MAFK","black"
"MAGI2-AS3","black"
"MAN1B1-DT","black"
"MAP1LC3B","black"
"MAP2","black"
"MAP3K9-DT","black"
"MAPK10","black"
"MAPRE3","black"
"MARCHF8","black"
"MAX","black"
"MBD2","black"
"MCAT","black"
"MCRIP1","black"
"MDGA1","black"
"MEA1","black"
"MECP2","black"
"MED29","black"
"MED31","black"
"METTL22","black"
"METTL2A","black"
"METTL2B","black"
"METTL6","black"
"MFF-DT","black"
"MIB2","black"
"MICALL2","black"
"MICOS10","black"
"MIF-AS1","black"
"MIIP","black"
"MINDY2","black"
"MIPEPP3","black"
"MIR1244-2","black"
"MIR149","black"
"MIR193BHG","black"
"MIR3677HG","black"
"MKX","black"
"MLST8","black"
"MOCS2","black"
"MOK","black"
"MORC2-AS1","black"
"MORN2","black"
"MOSPD3","black"
"MPC1-DT","black"
"MPHOSPH6","black"
"MPHOSPH8","black"
"MREG","black"
"MRFAP1L1","black"
"MRNIP","black"
"MRPL1","black"
"MRPL12","black"
"MRPL52","black"
"MRPL54","black"
"MRPL57","black"
"MRPS14","black"
"MRPS16","black"
"MRPS18C","black"
"MRPS21","black"
"MRPS23","black"
"MRPS25","black"
"MRPS34","black"
"MSANTD2","black"
"MSRB2","black"
"MSTO2P","black"
"MT2A","black"
"MTFR1L","black"
"MTHFD2L","black"
"MTRF1L","black"
"MTUS1","black"
"MTX2","black"
"NAA10","black"
"NAA20","black"
"NALF1","black"
"NAPG","black"
"NAXD","black"
"NDUFA12","black"
"NDUFA3","black"
"NDUFA5","black"
"NDUFA9","black"
