"module","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adj"
"MEdarkgreen",0.341231648748892,0.170615824374446,-0.170615824374446,5.00822511538117,0.000266506044439237,12.5476227789465,0.193495280033908,0.488968017463876,"Welch Two Sample t-test","two.sided",0.00612963902210246
"MEskyblue3",-0.332010105082801,-0.1660050525414,0.1660050525414,-4.70136163768548,0.000197757948960032,17.2623590399362,-0.480832944312668,-0.183187265852933,"Welch Two Sample t-test","two.sided",0.00612963902210246
"MElightcyan",-0.274031370023966,-0.137015685011983,0.137015685011983,-3.28960292443486,0.00622123740320001,12.3798537155104,-0.454915676070822,-0.0931470639771094,"Welch Two Sample t-test","two.sided",0.0944933611609334
"MEsienna3",0.269821013105223,0.134910506552612,-0.134910506552612,3.20977236920165,0.0102710175174928,9.26802731107979,0.0804937757913548,0.459148250419092,"Welch Two Sample t-test","two.sided",0.0944933611609334
"MEturquoise",0.259699440521911,0.129849720260956,-0.129849720260956,3.02626700476398,0.00962535191998611,13.1515397265996,0.0745240804343061,0.444874800609517,"Welch Two Sample t-test","two.sided",0.0944933611609334
"MEyellowgreen",0.23809008305588,0.11904504152794,-0.11904504152794,2.6682996251539,0.0167147159814562,16.1747142062816,0.049098676621922,0.427081489489837,"Welch Two Sample t-test","two.sided",0.128146155857831
"MEmagenta",-0.209724192184266,-0.104862096092133,0.104862096092133,-2.25268539222206,0.0428208329452122,12.5872357674826,-0.41152624372485,-0.00792214064368161,"Welch Two Sample t-test","two.sided",0.281394045068537
"MEyellow",0.208287640036927,0.104143820018464,-0.104143820018464,2.23296198163192,0.0522036106444689,9.07579821043425,-0.00245495522882425,0.419030235302679,"Welch Two Sample t-test","two.sided",0.300170761205696
"MEgrey",-0.190944367878662,-0.0954721839393309,0.0954721839393309,-2.00322983140365,0.0672040470860971,12.5667703696538,-0.397590904093465,0.0157021683361419,"Welch Two Sample t-test","two.sided",0.343487351773385
"MEdarkorange2",-0.183699320727383,-0.0918496603636917,0.0918496603636917,-1.91142393764068,0.087822133687369,9.12277055380588,-0.400661035367165,0.0332623939123984,"Welch Two Sample t-test","two.sided",0.361947611988237
"MEpurple",-0.180721815117069,-0.0903609075585348,0.0903609075585347,-1.87433595394897,0.0827159148887215,13.4820425097523,-0.388268098208571,0.0268244679744324,"Welch Two Sample t-test","two.sided",0.361947611988237
"MEwhite",0.179072581225213,0.0895362906126065,-0.0895362906126065,1.8539469778188,0.0944211161708444,9.6801173759931,-0.0371110716765249,0.395256234126951,"Welch Two Sample t-test","two.sided",0.361947611988237
"MEblue",-0.157234963604305,-0.0786174818021524,0.0786174818021524,-1.59339226811606,0.12849056855168,17.9894302652304,-0.364561382872555,0.0500914556639457,"Welch Two Sample t-test","two.sided",0.454658934875175
"MEbrown",0.148264548090983,0.0741322740454915,-0.0741322740454915,1.490877878969,0.156703196850937,15.0135145739818,-0.0636868354911232,0.360215931673089,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEcyan",0.107433640472332,0.0537168202361659,-0.053716820236166,1.04995150677514,0.320973656134381,9.04821316792443,-0.123848012713483,0.338715293658147,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEdarkmagenta",0.110554791324325,0.0552773956621626,-0.0552773956621626,1.08241022367235,0.306624516768282,9.19960208621838,-0.119734612508167,0.340844195156817,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEdarkolivegreen",-0.099440701207091,-0.0497203506035454,0.0497203506035456,-0.967600719804663,0.358382364978066,9.05249315743176,-0.331718132466547,0.132836730052365,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEdarkorange",0.109859861082549,0.0549299305412743,-0.0549299305412743,1.07516793591299,0.310119344249686,9.05255802694161,-0.121081270381519,0.340800992546616,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEdarkturquoise",-0.113893635983172,-0.0569468179915862,0.0569468179915862,-1.11733169172304,0.292717997477088,9.02345281257797,-0.344392121650685,0.116604849684341,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEgreenyellow",0.112497474676694,0.0562487373383471,-0.056248737338347,1.10270352531488,0.298651071355152,9.03802239402983,-0.118139189360222,0.34313413871361,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEgrey60",-0.138132011301113,-0.0690660056505562,0.0690660056505563,-1.37780527035919,0.186505196506202,16.6463525732419,-0.349994622701844,0.073730600099619,"Welch Two Sample t-test","two.sided",0.466938859344311
"MElightgreen",-0.100886634023885,-0.0504433170119425,0.0504433170119428,-0.982418974310678,0.35151595290934,9.0173867483353,-0.33312396589997,0.131350697852199,"Welch Two Sample t-test","two.sided",0.466938859344311
"MElightsteelblue1",-0.145969632972166,-0.0729848164860831,0.072984816486083,-1.46502542260861,0.175254816043703,9.48629028247648,-0.36961344510065,0.0776741791563181,"Welch Two Sample t-test","two.sided",0.466938859344311
"MElightyellow",-0.0979846545953829,-0.0489923272976915,0.0489923272976914,-0.95271275259693,0.365430411660765,9.07117734754026,-0.330365137688073,0.134395828497308,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEmidnightblue",-0.107853729749598,-0.0539268648747991,0.0539268648747994,-1.05431005823031,0.319123001490319,9.03330827339394,-0.339137704402629,0.123430244903432,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEorange",0.105280946546354,0.0526404732731771,-0.052640473273177,1.02766544092967,0.330808450556899,9.04342132013821,-0.126300109997059,0.336862003089767,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEpaleturquoise",-0.116724977831287,-0.0583624889156436,0.0583624889156436,-1.1471122001355,0.280794907996035,9.03774324677551,-0.346765462357229,0.113315506694655,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEpink",0.113475986467229,0.0567379932336146,-0.0567379932336145,1.11295191462329,0.294443582792603,9.04103544208832,-0.117012876080454,0.343964849014912,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEred",0.111802634899866,0.0559013174499329,-0.055901317449933,1.09543713059241,0.301685324496082,9.02838327195282,-0.118967322730595,0.342572592530327,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEroyalblue",0.115665863147616,0.0578329315738077,-0.0578329315738078,1.13595394638887,0.285256114658273,9.01990127422242,-0.114595571252148,0.345927297547379,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEsaddlebrown",-0.117222066899498,-0.058611033449749,0.0586110334497489,-1.15235690619261,0.278596274341177,9.08429921646393,-0.347012080346344,0.112567946547349,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEsalmon",0.120160205150961,0.0600801025754803,-0.0600801025754803,1.18345826513175,0.266817832652619,9.03870512897748,-0.109373820862844,0.349694231164766,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEskyblue",-0.0982361528703851,-0.0491180764351926,0.0491180764351925,-0.955281897712657,0.364198994715384,9.07087150836983,-0.330587702571365,0.134115396830595,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEsteelblue",0.101895528757068,0.0509477643785343,-0.0509477643785342,0.992778582233062,0.346674069995917,9.02997309822208,-0.13016741794611,0.333958475460247,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEtan",0.111821985033817,0.0559109925169082,-0.0559109925169084,1.09563936508945,0.301585734819222,9.03352322769548,-0.118925366365972,0.342569336433606,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEviolet",-0.104125863510706,-0.052062931755353,0.0520629317553529,-1.01574042289463,0.336141008766864,9.04881471683478,-0.335834188028144,0.127582461006733,"Welch Two Sample t-test","two.sided",0.466938859344311
"MEdarkred",-0.0953593870285315,-0.0476796935142658,0.0476796935142657,-0.925953646304052,0.378473575976232,9.06048854838494,-0.328090896534481,0.137372122477419,"Welch Two Sample t-test","two.sided",0.470534716078559
