"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-185-5p",700.050169862646,-1.15407115531342,0.112548621235379,-10.2539786151609,1.13570295495436e-24,1.32650105138669e-21
"hsa-miR-185-3p",55.014735116265,-1.39576820389295,0.147723122438176,-9.44854252236029,3.43581257788536e-21,2.00651454548505e-18
"hsa-miR-23b-3p",3145.13211263833,0.683503469858271,0.0945999043740262,7.22520254519345,5.0035552239266e-13,1.94805083384875e-10
"hsa-miR-199b-5p",472.775043572108,4.63954083060199,0.670437670401837,6.92016728090654,4.51110635366045e-12,1.31724305526885e-09
"hsa-miR-29a-3p",903.256205158553,0.541985829128251,0.0809187562790098,6.69790113010971,2.11434230787392e-11,3.75904146056137e-09
"hsa-miR-503-5p",240.460591793523,5.80413013585563,0.867761992490973,6.68861990508994,2.25285019040493e-11,3.75904146056137e-09
"hsa-miR-4473",166.924658155436,-0.997690033570937,0.148230091757174,-6.73068485449851,1.68866360116081e-11,3.75904146056137e-09
"hsa-miR-206",9730.38512531297,6.65394097342309,1.00392816167421,6.62790548910053,3.40483340330828e-11,4.97105676883009e-09
"hsa-miR-1306-5p",58.4339858404737,-1.02270349114202,0.155038333343742,-6.59645565767622,4.21103371733663e-11,5.46498597983243e-09
"hsa-miR-1-3p",19645.9329419922,5.54079118764633,0.843135136987799,6.57165256739444,4.97598636235574e-11,5.8119520712315e-09
"hsa-miR-199a-3p",8554.25979535376,4.97550495646604,0.765453337014032,6.50007611943408,8.02793807019195e-11,7.8138597216535e-09
"hsa-miR-199b-3p",8554.25979535376,4.97550495646604,0.765453337014032,6.50007611943408,8.02793807019195e-11,7.8138597216535e-09
"hsa-miR-130b-5p",1765.74359859524,-0.670178361116376,0.10422476561259,-6.43012586478218,1.27498327413721e-10,1.14552343399404e-08
"hsa-miR-143-3p",1538.39816321755,4.49894274554538,0.709009415998366,6.34539209780501,2.21859652692744e-10,1.85094338817946e-08
"hsa-miR-199a-5p",5145.6889927635,5.53593723963767,0.877116352451313,6.31151981623209,2.76308412902513e-10,2.15152150846756e-08
"hsa-miR-27b-3p",26697.1075924923,0.812324279195464,0.132421402022745,6.13438814864639,8.54875650268041e-10,6.2405922469567e-08
"hsa-miR-133a-3p",228.621308726166,6.07414660591525,1.01892037130528,5.9613555455114,2.50154001939887e-09,1.71870514273993e-07
"hsa-miR-214-3p",131.894441164462,4.84220824515394,0.826871495127565,5.85605898097493,4.73979947455364e-09,2.91879339822451e-07
"hsa-miR-424-3p",125.527963927584,4.65648180457076,0.795195416349222,5.85577042929759,4.7480372060159e-09,2.91879339822451e-07
"hsa-miR-133b",188.049034223244,6.2198558519332,1.07418824314533,5.790284795634,7.02671767320744e-09,4.10360312115314e-07
"hsa-miR-214-5p",227.162037336875,4.87146175392338,0.849739506661088,5.73288839195554,9.87346065532335e-09,5.49152478353223e-07
"hsa-miR-483-5p",79.24943356292,5.91531856987254,1.05661183849317,5.59838377195202,2.16359380681481e-08,1.14867162107259e-06
"hsa-miR-372-3p",38.9779862431027,4.26683445731295,0.774829442890839,5.50680475098321,3.65405141695054e-08,1.85562263260793e-06
"hsa-miR-296-5p",74.3582929823165,1.24805911535106,0.227614643016677,5.48321100439751,4.17674340441581e-08,2.03268179014903e-06
