"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.000322016397858268,1538,165,33,0.2,0.0214564369310793,"GO:0055085","GO:BP","transmembrane transport",21017,14236,"IBA IEA,TAS IEA,ISS IEA,IDA IMP ISS IBA TAS IEA,IDA IEA,TAS IEA,TAS IEA,ISS IEA,IMP,IEA,IMP,IEA,IBA IEA,IBA NAS IEA,IBA,TAS IEA,IEA,NAS,NAS,IDA,IMP,IMP,ISS IBA IEA,IDA IEA,IDA IEA,IDA IEA,IMP IBA IEA,IBA IEA,TAS IEA,TAS IEA,IMP IBA IEA,IBA IEA,IDA","ATP2C1,ATP8A1,CAPN3,CFTR,CLCN3,CLCN4,CLCN5,ERO1A,GPD1L,GPR155,HSPA5,IL13,KCNH3,MICU3,NALF2,NIPA1,PLP2,PPP3CA,PPP3CB,PTPN3,RHOQ,SCARB1,SLC19A2,SLC35B4,SLC37A3,SLC39A9,SLC46A3,SLC6A15,SLC9B1,SLC9B2,TAP2,TIMM23B,TMEM30A","ATP2C1,ATP8A1,CAPN3,CFTR,CLCN3,CLCN4,CLCN5,ERO1A,GPD1L,GPR155,HSPA5,IL13,KCNH3,MICU3,NALF2,NIPA1,PLP2,PPP3CA,PPP3CB,PTPN3,RHOQ,SCARB1,SLC19A2,SLC35B4,SLC37A3,SLC39A9,SLC46A3,SLC6A15,SLC9B1,SLC9B2,TAP2,TIMM23B,TMEM30A","ENSG00000017260,ENSG00000124406,ENSG00000092529,ENSG00000001626,ENSG00000109572,ENSG00000073464,ENSG00000171365,ENSG00000197930,ENSG00000152642,ENSG00000163328,ENSG00000044574,ENSG00000169194,ENSG00000135519,ENSG00000155970,ENSG00000130054,ENSG00000170113,ENSG00000102007,ENSG00000138814,ENSG00000107758,ENSG00000070159,ENSG00000119729,ENSG00000073060,ENSG00000117479,ENSG00000205060,ENSG00000157800,ENSG00000029364,ENSG00000139508,ENSG00000072041,ENSG00000164037,ENSG00000164038,ENSG00000204267,ENSG00000204152,ENSG00000112697","GO:BP - transmembrane transport"
"query_1",TRUE,0.000364429083257042,4341,165,62,0.375757575757576,0.0142824234047454,"GO:0006810","GO:BP","transport",21017,2490,"IDA IMP,IDA ISS,IEA,IEA,IDA IMP ISS IBA IEA,IDA ISS IBA TAS NAS IEA,ISS IEA,IBA IEA,IDA IMP IGI ISS IBA TAS IEA,IBA IEA,IDA IEA,IDA IMP TAS IEA,IMP TAS IEA,IEA,ISS IBA IEA,IMP IBA IC IEA,ISS IEA,IEA,IMP,IEA,IEA,IMP,IEA,IDA,IBA TAS IEA,IDA IMP IBA IEA,IMP,IMP ISS IBA TAS IEA,IBA NAS IEA,IEA,IBA,IBA TAS IEA,TAS,IEA,ISS IEA,TAS IEA,ISS NAS IEA,ISS NAS IEA,IDA,IMP IBA,ISS IBA IEA,IDA IMP IEP ISS IBA IC IEA,IMP ISS IBA NAS IEA,IEA,IDA IMP ISS IBA NAS IEA,IDA IEA,IDA IEA,IDA IEA,IMP IBA IEA,IDA ISS IBA TAS NAS IEA,TAS IEA,IDA TAS IEA,IBA IEA,ISS IEA,IEA,IDA IMP IBA IEA,IBA IEA,IDA IBA IEA,IDA IBA IEA,IBA IEA,IDA IMP ISS IBA NAS IEA,IBA","ACSL3,ACSL4,AGTPBP1,ARMCX3,ATP2C1,ATP8A1,CAPN3,CASK,CFTR,CHML,CLCN3,CLCN4,CLCN5,COMT,DDX25,EPS15,ERO1A,GOLT1B,GPD1L,GPR155,GRM2,HSPA5,IL13,IRGM,KCNH3,KDELR2,KLF7,LAMP2,MICU3,MTMR9,NALF2,NIPA1,NPPB,NPTX1,PER1,PLP2,PPP3CA,PPP3CB,PTPN3,RHOQ,RIMS4,SCARB1,SCARB2,SERPINA5,SLC19A2,SLC35B4,SLC37A3,SLC39A9,SLC46A3,SLC6A15,SLC9B1,SLC9B2,SNX32,STAP1,STX16-NPEPL1,TAP2,TIMM23B,TMEM30A,TRAK1,TRAK2,WASHC1,XKR7","ACSL3,ACSL4,AGTPBP1,ARMCX3,ATP2C1,ATP8A1,CAPN3,CASK,CFTR,CHML,CLCN3,CLCN4,CLCN5,COMT,DDX25,EPS15,ERO1A,GOLT1B,GPD1L,GPR155,GRM2,HSPA5,IL13,IRGM,KCNH3,KDELR2,KLF7,LAMP2,MICU3,MTMR9,NALF2,NIPA1,NPPB,NPTX1,PER1,PLP2,PPP3CA,PPP3CB,PTPN3,RHOQ,RIMS4,SCARB1,SCARB2,SERPINA5,SLC19A2,SLC35B4,SLC37A3,SLC39A9,SLC46A3,SLC6A15,SLC9B1,SLC9B2,SNX32,STAP1,STX16-NPEPL1,TAP2,TIMM23B,TMEM30A,TRAK1,TRAK2,WASHC1,XKR7","ENSG00000123983,ENSG00000068366,ENSG00000135049,ENSG00000102401,ENSG00000017260,ENSG00000124406,ENSG00000092529,ENSG00000147044,ENSG00000001626,ENSG00000203668,ENSG00000109572,ENSG00000073464,ENSG00000171365,ENSG00000093010,ENSG00000109832,ENSG00000085832,ENSG00000197930,ENSG00000111711,ENSG00000152642,ENSG00000163328,ENSG00000164082,ENSG00000044574,ENSG00000169194,ENSG00000237693,ENSG00000135519,ENSG00000136240,ENSG00000118263,ENSG00000005893,ENSG00000155970,ENSG00000104643,ENSG00000130054,ENSG00000170113,ENSG00000120937,ENSG00000171246,ENSG00000179094,ENSG00000102007,ENSG00000138814,ENSG00000107758,ENSG00000070159,ENSG00000119729,ENSG00000101098,ENSG00000073060,ENSG00000138760,ENSG00000188488,ENSG00000117479,ENSG00000205060,ENSG00000157800,ENSG00000029364,ENSG00000139508,ENSG00000072041,ENSG00000164037,ENSG00000164038,ENSG00000172803,ENSG00000035720,ENSG00000254995,ENSG00000204267,ENSG00000204152,ENSG00000112697,ENSG00000182606,ENSG00000115993,ENSG00000181404,ENSG00000260903","GO:BP - transport"
"query_1",TRUE,0.000364429083257042,1026,165,25,0.151515151515152,0.0243664717348928,"GO:0048878","GO:BP","chemical homeostasis",21017,13119,"IDA IMP ISS IBA,ISS IEA,IMP IGI ISS IEA,TAS,IEA,ISS IEA,ISS IEA,IEA,IMP ISS IEA,IEA,IEA,IMP,IDA,IDA,IBA NAS,IEA,TAS,IEA,IEA,ISS IEA,ISS IEA,IDA,ISS,ISS IEA,IMP","ATP2C1,CAPN3,CFTR,CLCN3,COMT,DGAT2,ERO1A,FECH,FITM2,GRM2,IL13,KLF7,LACC1,LAMP2,MICU3,MIR320B2,NPPB,NPTX1,PPP3CA,PPP3CB,SCARB1,SLC39A9,SLC9B1,SLC9B2,TENT4B","ATP2C1,CAPN3,CFTR,CLCN3,COMT,DGAT2,ERO1A,FECH,FITM2,GRM2,IL13,KLF7,LACC1,LAMP2,MICU3,MIR320B2,NPPB,NPTX1,PPP3CA,PPP3CB,SCARB1,SLC39A9,SLC9B1,SLC9B2,TENT4B","ENSG00000017260,ENSG00000092529,ENSG00000001626,ENSG00000109572,ENSG00000093010,ENSG00000062282,ENSG00000197930,ENSG00000066926,ENSG00000197296,ENSG00000164082,ENSG00000169194,ENSG00000118263,ENSG00000179630,ENSG00000005893,ENSG00000155970,ENSG00000221406,ENSG00000120937,ENSG00000171246,ENSG00000138814,ENSG00000107758,ENSG00000073060,ENSG00000029364,ENSG00000164037,ENSG00000164038,ENSG00000121274","GO:BP - chemical homeostasis"
"query_1",TRUE,0.000364429083257042,5521,165,73,0.442424242424242,0.0132222423474008,"GO:0051179","GO:BP","localization",21017,13558,"IDA IMP,IDA ISS,IEA,IEA,IDA IMP ISS IBA IEA,IDA ISS IBA TAS NAS IEA,ISS IEA,IBA IEA,IDA IMP IGI ISS IBA TAS IEA,IBA IEA,IDA IEA,IDA IMP TAS IEA,IMP TAS IEA,IEA,ISS IBA IEA,ISS IEA,IMP IBA IC IEA,ISS IEA,IMP ISS IBA IEA,IEA,IMP,IEA,IEA,IMP,IEA,IDA,IBA TAS IEA,IDA IMP IBA IEA,IMP,IMP,IMP ISS IBA TAS IEA,IEA,IMP,IBA NAS IEA,IEA,IBA,IBA TAS IEA,TAS,IEA,ISS IEA,TAS IEA,ISS NAS IEA,IDA ISS NAS IEA,IDA,IDA,IMP IBA IEA,ISS IBA IEA,IDA IMP IEP ISS IBA IC IEA,IMP ISS IBA NAS IEA,IEA,IDA IMP ISS IBA NAS IEA,IDA IEA,IDA IEA,IDA IEA,IMP IBA IEA,IDA ISS IBA TAS NAS IEA,TAS IEA,IDA TAS IEA,IDA,IBA IEA,IBA,ISS IEA,IEA,IDA IMP IBA IEA,IBA IEA,IDA IMP IBA IEA,IDA ISS IBA IEA,IBA IEA,IDA IBA,IDA IMP ISS IBA NAS IEA,IBA,IMP IBA IEA,IMP IBA IEA","ACSL3,ACSL4,AGTPBP1,ARMCX3,ATP2C1,ATP8A1,CAPN3,CASK,CFTR,CHML,CLCN3,CLCN4,CLCN5,COMT,DDX25,DGAT2,EPS15,ERO1A,FITM2,GOLT1B,GPD1L,GPR155,GRM2,HSPA5,IL13,IRGM,KCNH3,KDELR2,KLF7,KLHL21,LAMP2,LGI1,MFHAS1,MICU3,MTMR9,NALF2,NIPA1,NPPB,NPTX1,PER1,PLP2,PPP3CA,PPP3CB,PTPN3,PTPRK,RHOQ,RIMS4,SCARB1,SCARB2,SERPINA5,SLC19A2,SLC35B4,SLC37A3,SLC39A9,SLC46A3,SLC6A15,SLC9B1,SLC9B2,SMAD7,SNX32,SPCS3,STAP1,STX16-NPEPL1,TAP2,TIMM23B,TMEM30A,TRAK1,TRAK2,TTC7B,WASHC1,XKR7,ZDHHC22,ZDHHC23","ACSL3,ACSL4,AGTPBP1,ARMCX3,ATP2C1,ATP8A1,CAPN3,CASK,CFTR,CHML,CLCN3,CLCN4,CLCN5,COMT,DDX25,DGAT2,EPS15,ERO1A,FITM2,GOLT1B,GPD1L,GPR155,GRM2,HSPA5,IL13,IRGM,KCNH3,KDELR2,KLF7,KLHL21,LAMP2,LGI1,MFHAS1,MICU3,MTMR9,NALF2,NIPA1,NPPB,NPTX1,PER1,PLP2,PPP3CA,PPP3CB,PTPN3,PTPRK,RHOQ,RIMS4,SCARB1,SCARB2,SERPINA5,SLC19A2,SLC35B4,SLC37A3,SLC39A9,SLC46A3,SLC6A15,SLC9B1,SLC9B2,SMAD7,SNX32,SPCS3,STAP1,STX16-NPEPL1,TAP2,TIMM23B,TMEM30A,TRAK1,TRAK2,TTC7B,WASHC1,XKR7,ZDHHC22,ZDHHC23","ENSG00000123983,ENSG00000068366,ENSG00000135049,ENSG00000102401,ENSG00000017260,ENSG00000124406,ENSG00000092529,ENSG00000147044,ENSG00000001626,ENSG00000203668,ENSG00000109572,ENSG00000073464,ENSG00000171365,ENSG00000093010,ENSG00000109832,ENSG00000062282,ENSG00000085832,ENSG00000197930,ENSG00000197296,ENSG00000111711,ENSG00000152642,ENSG00000163328,ENSG00000164082,ENSG00000044574,ENSG00000169194,ENSG00000237693,ENSG00000135519,ENSG00000136240,ENSG00000118263,ENSG00000162413,ENSG00000005893,ENSG00000108231,ENSG00000147324,ENSG00000155970,ENSG00000104643,ENSG00000130054,ENSG00000170113,ENSG00000120937,ENSG00000171246,ENSG00000179094,ENSG00000102007,ENSG00000138814,ENSG00000107758,ENSG00000070159,ENSG00000152894,ENSG00000119729,ENSG00000101098,ENSG00000073060,ENSG00000138760,ENSG00000188488,ENSG00000117479,ENSG00000205060,ENSG00000157800,ENSG00000029364,ENSG00000139508,ENSG00000072041,ENSG00000164037,ENSG00000164038,ENSG00000101665,ENSG00000172803,ENSG00000129128,ENSG00000035720,ENSG00000254995,ENSG00000204267,ENSG00000204152,ENSG00000112697,ENSG00000182606,ENSG00000115993,ENSG00000165914,ENSG00000181404,ENSG00000260903,ENSG00000177108,ENSG00000184307","GO:BP - localization"
"query_1",TRUE,0.000678330273181378,723,165,20,0.121212121212121,0.0276625172890733,"GO:0055082","GO:BP","intracellular chemical homeostasis",21017,14235,"IDA IMP ISS IBA,ISS IEA,IMP IGI ISS IEA,TAS,ISS IEA,ISS IEA,ISS IEA,IEA,IEA,IMP,IDA,IDA,IBA NAS,IEA,IEA,IEA,ISS IEA,IDA,ISS,IEA","ATP2C1,CAPN3,CFTR,CLCN3,DGAT2,ERO1A,FITM2,GRM2,IL13,KLF7,LACC1,LAMP2,MICU3,MIR320B2,NPTX1,PPP3CA,PPP3CB,SLC39A9,SLC9B1,SLC9B2","ATP2C1,CAPN3,CFTR,CLCN3,DGAT2,ERO1A,FITM2,GRM2,IL13,KLF7,LACC1,LAMP2,MICU3,MIR320B2,NPTX1,PPP3CA,PPP3CB,SLC39A9,SLC9B1,SLC9B2","ENSG00000017260,ENSG00000092529,ENSG00000001626,ENSG00000109572,ENSG00000062282,ENSG00000197930,ENSG00000197296,ENSG00000164082,ENSG00000169194,ENSG00000118263,ENSG00000179630,ENSG00000005893,ENSG00000155970,ENSG00000221406,ENSG00000171246,ENSG00000138814,ENSG00000107758,ENSG00000029364,ENSG00000164037,ENSG00000164038","GO:BP - intracellular chemical homeostasis"
"query_1",TRUE,0.00069817297219381,733,165,20,0.121212121212121,0.0272851296043656,"GO:0008610","GO:BP","lipid biosynthetic process",21017,3206,"IBA,IMP TAS,IDA TAS,IDA,ISS IEA,IEA,IEA,IDA ISS IBA TAS IEA,IDA IGI IBA TAS IEA,ISS IBA IEA,TAS,TAS IEA,ISS IEA,IDA IBA IEA,IDA IEA,IDA IMP IBA IEA,IDA IBA IEA,TAS IC,IDA TAS IEA,IDA IBA","ABHD2,ACSL3,ACSL4,B3GALT2,B4GALT5,CFTR,CRPPA,DGAT2,ELOVL6,FITM2,MBTPS2,MTMR7,SCARB1,SCD,SCD5,SELENOI,ST3GAL2,ST3GAL5,ST8SIA3,TTC7B","ABHD2,ACSL3,ACSL4,B3GALT2,B4GALT5,CFTR,CRPPA,DGAT2,ELOVL6,FITM2,MBTPS2,MTMR7,SCARB1,SCD,SCD5,SELENOI,ST3GAL2,ST3GAL5,ST8SIA3,TTC7B","ENSG00000140526,ENSG00000123983,ENSG00000068366,ENSG00000162630,ENSG00000158470,ENSG00000001626,ENSG00000214960,ENSG00000062282,ENSG00000170522,ENSG00000197296,ENSG00000012174,ENSG00000003987,ENSG00000073060,ENSG00000099194,ENSG00000145284,ENSG00000138018,ENSG00000157350,ENSG00000115525,ENSG00000177511,ENSG00000165914","GO:BP - lipid biosynthetic process"
"query_1",TRUE,0.000860326633215067,826,165,21,0.127272727272727,0.0254237288135593,"GO:0019725","GO:BP","cellular homeostasis",21017,6020,"IDA IMP ISS IBA,ISS TAS IEA,IMP IGI ISS IEA,IMP TAS IEA,ISS IEA,IMP ISS IEA,ISS IEA,IEA,IEA,IMP,IDA,IDA IEA,IBA NAS,IEA,IEA,IEA,ISS IEA,IDA,ISS,IEA,IMP IBA IEA","ATP2C1,CAPN3,CFTR,CLCN3,DGAT2,ERO1A,FITM2,GRM2,IL13,KLF7,LACC1,LAMP2,MICU3,MIR320B2,NPTX1,PPP3CA,PPP3CB,SLC39A9,SLC9B1,SLC9B2,TXNRD2","ATP2C1,CAPN3,CFTR,CLCN3,DGAT2,ERO1A,FITM2,GRM2,IL13,KLF7,LACC1,LAMP2,MICU3,MIR320B2,NPTX1,PPP3CA,PPP3CB,SLC39A9,SLC9B1,SLC9B2,TXNRD2","ENSG00000017260,ENSG00000092529,ENSG00000001626,ENSG00000109572,ENSG00000062282,ENSG00000197930,ENSG00000197296,ENSG00000164082,ENSG00000169194,ENSG00000118263,ENSG00000179630,ENSG00000005893,ENSG00000155970,ENSG00000221406,ENSG00000171246,ENSG00000138814,ENSG00000107758,ENSG00000029364,ENSG00000164037,ENSG00000164038,ENSG00000184470","GO:BP - cellular homeostasis"
"query_1",TRUE,0.000860326633215067,4869,165,65,0.393939393939394,0.013349763811871,"GO:0051234","GO:BP","establishment of localization",21017,13584,"IDA IMP,IDA ISS,IEA,IEA,IDA IMP ISS IBA IEA,IDA ISS IBA TAS NAS IEA,ISS IEA,IBA IEA,IDA IMP IGI ISS IBA TAS IEA,IBA IEA,IDA IEA,IDA IMP TAS IEA,IMP TAS IEA,IEA,ISS IBA IEA,IMP IBA IC IEA,ISS IEA,IEA,IMP,IEA,IEA,IMP,IEA,IDA,IBA TAS IEA,IDA IMP IBA IEA,IMP,IMP ISS IBA TAS IEA,IBA NAS IEA,IEA,IBA,IBA TAS IEA,TAS,IEA,ISS IEA,TAS IEA,ISS NAS IEA,ISS NAS IEA,IDA,IMP IBA,ISS IBA IEA,IDA IMP IEP ISS IBA IC IEA,IMP ISS IBA NAS IEA,IEA,IDA IMP ISS IBA NAS IEA,IDA IEA,IDA IEA,IDA IEA,IMP IBA IEA,IDA ISS IBA TAS NAS IEA,TAS IEA,IDA TAS IEA,IBA IEA,IBA,ISS IEA,IEA,IDA IMP IBA IEA,IBA IEA,IDA IBA IEA,IDA ISS IBA IEA,IBA IEA,IDA IMP ISS IBA NAS IEA,IBA,IBA,IBA","ACSL3,ACSL4,AGTPBP1,ARMCX3,ATP2C1,ATP8A1,CAPN3,CASK,CFTR,CHML,CLCN3,CLCN4,CLCN5,COMT,DDX25,EPS15,ERO1A,GOLT1B,GPD1L,GPR155,GRM2,HSPA5,IL13,IRGM,KCNH3,KDELR2,KLF7,LAMP2,MICU3,MTMR9,NALF2,NIPA1,NPPB,NPTX1,PER1,PLP2,PPP3CA,PPP3CB,PTPN3,RHOQ,RIMS4,SCARB1,SCARB2,SERPINA5,SLC19A2,SLC35B4,SLC37A3,SLC39A9,SLC46A3,SLC6A15,SLC9B1,SLC9B2,SNX32,SPCS3,STAP1,STX16-NPEPL1,TAP2,TIMM23B,TMEM30A,TRAK1,TRAK2,WASHC1,XKR7,ZDHHC22,ZDHHC23","ACSL3,ACSL4,AGTPBP1,ARMCX3,ATP2C1,ATP8A1,CAPN3,CASK,CFTR,CHML,CLCN3,CLCN4,CLCN5,COMT,DDX25,EPS15,ERO1A,GOLT1B,GPD1L,GPR155,GRM2,HSPA5,IL13,IRGM,KCNH3,KDELR2,KLF7,LAMP2,MICU3,MTMR9,NALF2,NIPA1,NPPB,NPTX1,PER1,PLP2,PPP3CA,PPP3CB,PTPN3,RHOQ,RIMS4,SCARB1,SCARB2,SERPINA5,SLC19A2,SLC35B4,SLC37A3,SLC39A9,SLC46A3,SLC6A15,SLC9B1,SLC9B2,SNX32,SPCS3,STAP1,STX16-NPEPL1,TAP2,TIMM23B,TMEM30A,TRAK1,TRAK2,WASHC1,XKR7,ZDHHC22,ZDHHC23","ENSG00000123983,ENSG00000068366,ENSG00000135049,ENSG00000102401,ENSG00000017260,ENSG00000124406,ENSG00000092529,ENSG00000147044,ENSG00000001626,ENSG00000203668,ENSG00000109572,ENSG00000073464,ENSG00000171365,ENSG00000093010,ENSG00000109832,ENSG00000085832,ENSG00000197930,ENSG00000111711,ENSG00000152642,ENSG00000163328,ENSG00000164082,ENSG00000044574,ENSG00000169194,ENSG00000237693,ENSG00000135519,ENSG00000136240,ENSG00000118263,ENSG00000005893,ENSG00000155970,ENSG00000104643,ENSG00000130054,ENSG00000170113,ENSG00000120937,ENSG00000171246,ENSG00000179094,ENSG00000102007,ENSG00000138814,ENSG00000107758,ENSG00000070159,ENSG00000119729,ENSG00000101098,ENSG00000073060,ENSG00000138760,ENSG00000188488,ENSG00000117479,ENSG00000205060,ENSG00000157800,ENSG00000029364,ENSG00000139508,ENSG00000072041,ENSG00000164037,ENSG00000164038,ENSG00000172803,ENSG00000129128,ENSG00000035720,ENSG00000254995,ENSG00000204267,ENSG00000204152,ENSG00000112697,ENSG00000182606,ENSG00000115993,ENSG00000181404,ENSG00000260903,ENSG00000177108,ENSG00000184307","GO:BP - establishment of localization"
"query_1",TRUE,0.0010502564418888,1379,165,28,0.16969696969697,0.0203045685279188,"GO:0006629","GO:BP","lipid metabolic process",21017,2342,"IDA IBA IEA,TAS IEA,IBA,IMP ISS IBA TAS IEA,IDA IMP IBA TAS IEA,IDA IEA,ISS IEA,IEA,IEA,IEA,IDA IBA IEA,IDA ISS IBA TAS IEA,IDA IGI IBA TAS IEA,IEA,IMP ISS IBA IEA,TAS IEA,IBA TAS IEA,IDA,ISS IEA,ISS IEA,TAS,IDA IBA IEA,IDA IEA,IDA IMP IBA IEA,IDA IBA IEA,TAS IC IEA,IDA TAS IEA,IDA IBA","ABHD2,ACAD8,ACBD4,ACSL3,ACSL4,B3GALT2,B4GALT5,CFTR,COMT,CRPPA,CYP4A22,DGAT2,ELOVL6,FECH,FITM2,MBTPS2,MTMR7,MTMR9,NCEH1,SCARB1,SCARB2,SCD,SCD5,SELENOI,ST3GAL2,ST3GAL5,ST8SIA3,TTC7B","ABHD2,ACAD8,ACBD4,ACSL3,ACSL4,B3GALT2,B4GALT5,CFTR,COMT,CRPPA,CYP4A22,DGAT2,ELOVL6,FECH,FITM2,MBTPS2,MTMR7,MTMR9,NCEH1,SCARB1,SCARB2,SCD,SCD5,SELENOI,ST3GAL2,ST3GAL5,ST8SIA3,TTC7B","ENSG00000140526,ENSG00000151498,ENSG00000181513,ENSG00000123983,ENSG00000068366,ENSG00000162630,ENSG00000158470,ENSG00000001626,ENSG00000093010,ENSG00000214960,ENSG00000162365,ENSG00000062282,ENSG00000170522,ENSG00000066926,ENSG00000197296,ENSG00000012174,ENSG00000003987,ENSG00000104643,ENSG00000144959,ENSG00000073060,ENSG00000138760,ENSG00000099194,ENSG00000145284,ENSG00000138018,ENSG00000157350,ENSG00000115525,ENSG00000177511,ENSG00000165914","GO:BP - lipid metabolic process"
"query_1",TRUE,0.0010502564418888,1711,165,32,0.193939393939394,0.0187025131502046,"GO:0042592","GO:BP","homeostatic process",21017,10252,"IDA,ISS IEA,IDA IMP ISS IBA,ISS TAS IEA,IMP IGI ISS IEA,IMP TAS IEA,IEA,ISS IEA,ISS IEA,IMP ISS IEA,IEA,IMP ISS IEA,IEA,ISS IEA,IMP,IDA,IDA IEA,IMP,IBA NAS,IEA,TAS,IEA,IEA,ISS IEA,ISS IEA,ISS,IMP ISS IEA,IDA,ISS,ISS IEA,IMP,IMP IBA IEA","ACVR1B,ADAMTS5,ATP2C1,CAPN3,CFTR,CLCN3,COMT,DGAT2,ELOVL6,ERO1A,FECH,FITM2,GRM2,IL13,KLF7,LACC1,LAMP2,MFHAS1,MICU3,MIR320B2,NPPB,NPTX1,PPP3CA,PPP3CB,SCARB1,SCD,SH2B3,SLC39A9,SLC9B1,SLC9B2,TENT4B,TXNRD2","ACVR1B,ADAMTS5,ATP2C1,CAPN3,CFTR,CLCN3,COMT,DGAT2,ELOVL6,ERO1A,FECH,FITM2,GRM2,IL13,KLF7,LACC1,LAMP2,MFHAS1,MICU3,MIR320B2,NPPB,NPTX1,PPP3CA,PPP3CB,SCARB1,SCD,SH2B3,SLC39A9,SLC9B1,SLC9B2,TENT4B,TXNRD2","ENSG00000135503,ENSG00000154736,ENSG00000017260,ENSG00000092529,ENSG00000001626,ENSG00000109572,ENSG00000093010,ENSG00000062282,ENSG00000170522,ENSG00000197930,ENSG00000066926,ENSG00000197296,ENSG00000164082,ENSG00000169194,ENSG00000118263,ENSG00000179630,ENSG00000005893,ENSG00000147324,ENSG00000155970,ENSG00000221406,ENSG00000120937,ENSG00000171246,ENSG00000138814,ENSG00000107758,ENSG00000073060,ENSG00000099194,ENSG00000111252,ENSG00000029364,ENSG00000164037,ENSG00000164038,ENSG00000121274,ENSG00000184470","GO:BP - homeostatic process"
